State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Soil_pH,Year,Yield_kg_per_acre
Andhra Pradesh,Maize,Sandy,DAP,130,10,22,208,29.39,6.36,2015,1581
Rajasthan,Soybean,Sandy,NPK,74,51,152,162,34.41,5.73,2009,1899
Odisha,Groundnut,Sandy,NPK,117,9,156,218,22.54,7.3,2019,3290
Gujarat,Rice,Black,Organic,99,17,75,124,24.82,7.86,2024,2963
Haryana,Groundnut,Sandy,Organic,97,73,112,70,26.54,7.42,2011,1974
Andhra Pradesh,Rice,Red Soil,Organic,28,23,68,179,34.44,7.06,2000,3749
Odisha,Tea,Sandy,NPK,120,112,184,232,31.17,7.28,2018,1771
Maharashtra,Jute,Black,Organic,121,6,181,298,19.25,6.44,2009,1578
Uttar Pradesh,Barley,Clay,DAP,110,54,141,224,22.73,6.18,2015,829
Rajasthan,Cotton,Loamy,Compost,70,101,28,232,26.66,7.91,2021,3241
Bihar,Soybean,Red Soil,Organic,117,60,65,222,33.07,6.08,2014,2828
Andhra Pradesh,Wheat,Clay,Urea,127,109,63,143,34.05,5.72,2011,1391
Rajasthan,Sugarcane,Loamy,Organic,21,35,25,145,28.22,5.89,2016,1212
Odisha,Groundnut,Sandy,DAP,16,52,86,124,19.24,7.5,2008,1710
Haryana,Coffee,Black,Compost,56,64,158,276,27.72,7.81,2014,2034
Bihar,Jute,Loamy,Compost,133,29,33,174,24.02,6.54,2015,4344
Kerala,Cotton,Black,Organic,21,97,185,155,19.66,5.72,2004,4886
West Bengal,Wheat,Loamy,Urea,108,59,33,77,36.71,6.27,2020,3020
Bihar,Groundnut,Loamy,Compost,45,62,90,160,24.94,7.89,2013,889
Punjab,Barley,Black,Urea,62,119,105,182,33.27,5.52,2014,3129
Tamil Nadu,Groundnut,Clay,Compost,138,79,33,295,33.88,6.99,2024,1470
Kerala,Soybean,Clay,Compost,124,40,22,212,29.57,5.9,2014,2525
Andhra Pradesh,Maize,Sandy,Urea,21,96,163,199,33.6,5.91,2008,1326
Rajasthan,Coffee,Black,NPK,82,70,152,88,35.81,6.62,2007,2953
Maharashtra,Maize,Sandy,NPK,60,76,62,278,30.91,5.88,2003,1174
Bihar,Groundnut,Red Soil,NPK,47,43,134,84,29.54,7.55,2024,4130
West Bengal,Tea,Red Soil,DAP,129,63,149,291,27.71,6.85,2008,1973
Bihar,Tea,Loamy,Organic,68,88,31,252,25.87,6.0,2003,3723
Kerala,Groundnut,Sandy,DAP,38,92,118,163,24.86,6.89,2024,5903
Madhya Pradesh,Barley,Black,Organic,16,71,113,94,26.81,7.23,2017,2904
Maharashtra,Cotton,Sandy,Organic,31,34,171,105,26.61,7.21,2002,1213
Karnataka,Barley,Sandy,Urea,120,40,166,219,28.11,6.11,2001,1633
Tamil Nadu,Sugarcane,Black,NPK,125,6,95,110,26.84,7.34,2016,1001
Bihar,Tea,Clay,NPK,58,26,73,298,36.11,6.58,2024,2114
Gujarat,Soybean,Loamy,Urea,107,39,26,142,30.71,7.5,2014,2061
Uttar Pradesh,Groundnut,Sandy,Compost,40,29,147,251,29.64,7.99,2017,2611
Madhya Pradesh,Coffee,Black,Organic,125,21,70,96,27.35,7.9,2024,1534
Gujarat,Soybean,Sandy,Organic,66,78,186,89,26.92,5.83,2014,5026
Odisha,Coffee,Black,Organic,94,9,85,157,18.02,6.82,2004,3158
Punjab,Cotton,Sandy,DAP,57,56,190,253,28.29,5.96,2022,992
Madhya Pradesh,Soybean,Clay,DAP,74,31,104,147,22.82,7.61,2000,2654
Punjab,Sugarcane,Clay,Compost,11,52,164,183,31.53,7.61,2022,1511
Andhra Pradesh,Barley,Black,NPK,85,34,144,97,30.06,5.68,2022,2820
Uttar Pradesh,Groundnut,Red Soil,NPK,78,78,59,169,25.17,7.14,2024,2489
Bihar,Cotton,Red Soil,Urea,100,67,158,233,21.03,7.9,2016,2394
Bihar,Soybean,Sandy,Organic,49,74,74,216,22.57,6.08,2000,4865
Karnataka,Soybean,Sandy,Compost,48,75,72,101,34.1,6.8,2018,2192
Andhra Pradesh,Groundnut,Sandy,Urea,132,24,68,168,37.27,7.1,2015,1405
Maharashtra,Pulses,Red Soil,Urea,131,18,67,265,20.2,6.65,2014,1650
Odisha,Rice,Loamy,NPK,56,20,147,288,27.54,7.35,2007,1591
Gujarat,Maize,Sandy,Organic,57,59,58,89,32.72,6.12,2018,4214
Odisha,Rice,Loamy,Compost,10,97,126,179,32.15,5.98,2023,1076
Kerala,Rice,Loamy,NPK,11,75,118,225,37.95,7.08,2005,789
West Bengal,Groundnut,Black,DAP,46,54,96,74,31.54,6.57,2011,2044
Tamil Nadu,Coffee,Loamy,NPK,102,62,82,275,37.98,7.91,2005,1064
Punjab,Cotton,Red Soil,DAP,54,80,21,267,27.64,6.43,2000,1087
Rajasthan,Groundnut,Black,Urea,96,48,90,157,23.18,5.56,2018,1859
Tamil Nadu,Soybean,Sandy,Urea,99,38,114,193,22.82,7.23,2006,1920
Kerala,Cotton,Loamy,Urea,38,39,25,257,35.49,6.53,2021,3273
Kerala,Wheat,Red Soil,Urea,48,13,175,188,35.26,5.5,2021,3017
West Bengal,Wheat,Clay,DAP,31,94,101,296,22.55,6.22,2008,2151
Rajasthan,Soybean,Black,DAP,78,92,137,199,32.57,7.12,2010,2259
Maharashtra,Maize,Black,DAP,89,102,89,127,19.24,5.62,2010,5660
Tamil Nadu,Barley,Red Soil,Compost,23,70,54,199,25.14,7.11,2008,1932
Madhya Pradesh,Tea,Clay,Organic,60,74,178,152,21.84,7.92,2004,1813
Tamil Nadu,Barley,Clay,Urea,119,95,88,294,32.66,6.07,2008,2569
West Bengal,Wheat,Clay,Urea,82,87,190,234,20.11,6.52,2011,2027
Andhra Pradesh,Wheat,Loamy,Organic,95,44,77,181,37.81,6.26,2018,923
Gujarat,Soybean,Black,Urea,53,95,65,254,34.41,6.51,2002,1230
Odisha,Maize,Loamy,Organic,63,7,14,220,29.61,7.61,2001,1626
Punjab,Cotton,Clay,Urea,30,69,169,111,22.78,6.68,2006,4392
Maharashtra,Coffee,Red Soil,Urea,135,53,178,188,26.7,6.46,2011,1875
Kerala,Sugarcane,Loamy,Urea,14,16,75,196,37.07,7.11,2010,1706
Karnataka,Wheat,Black,Compost,26,91,137,283,32.74,5.89,2015,759
Gujarat,Tea,Clay,DAP,34,10,123,69,33.6,7.16,2004,2658
Kerala,Jute,Black,DAP,37,42,80,271,35.78,7.78,2002,4352
Bihar,Rice,Sandy,NPK,90,95,25,275,33.24,6.05,2003,3123
Karnataka,Coffee,Clay,Urea,126,101,178,142,29.16,6.71,2000,2710
Andhra Pradesh,Maize,Clay,Compost,66,113,71,274,21.73,5.6,2019,1596
Madhya Pradesh,Coffee,Sandy,Urea,95,64,34,113,27.68,7.88,2021,549
Madhya Pradesh,Coffee,Black,Urea,99,70,153,230,33.98,5.52,2021,2051
Haryana,Wheat,Sandy,NPK,23,47,153,272,22.36,6.96,2019,1664
Madhya Pradesh,Sugarcane,Black,Compost,62,6,146,244,25.73,5.93,2022,3067
Andhra Pradesh,Pulses,Sandy,Compost,113,64,63,240,35.55,6.22,2012,31982
Karnataka,Groundnut,Sandy,NPK,138,70,39,197,18.88,6.63,2016,2739
Tamil Nadu,Groundnut,Clay,NPK,90,61,48,249,34.31,6.05,2017,81068
Uttar Pradesh,Barley,Clay,Compost,54,17,165,271,20.57,6.75,2000,4443
Kerala,Jute,Red Soil,Organic,10,23,27,156,24.41,7.7,2009,871
Odisha,Tea,Red Soil,Organic,135,26,15,210,32.13,6.26,2012,1946
West Bengal,Groundnut,Sandy,Organic,61,94,66,162,34.25,5.92,2002,1381
Rajasthan,Soybean,Loamy,Urea,132,31,62,157,30.86,6.45,2004,5714
Uttar Pradesh,Jute,Clay,NPK,84,43,93,62,21.8,5.92,2017,2050
Kerala,Maize,Loamy,Compost,108,12,179,167,22.27,6.62,2010,2194
West Bengal,Coffee,Black,NPK,17,59,164,219,34.53,5.54,2016,4875
Bihar,Tea,Black,NPK,53,12,70,260,35.32,6.87,2008,2696
Rajasthan,Cotton,Clay,NPK,64,26,40,113,25.96,7.57,2009,1465
Kerala,Sugarcane,Red Soil,Urea,132,68,45,221,34.92,6.73,2003,1893
Uttar Pradesh,Sugarcane,Loamy,Compost,50,99,110,237,26.71,6.03,2005,793
Gujarat,Wheat,Black,Organic,90,47,73,212,18.73,6.63,2003,4698
West Bengal,Barley,Loamy,Organic,126,77,136,125,19.06,7.59,2002,887
Haryana,Barley,Loamy,Compost,123,69,168,86,35.33,5.61,2009,556
Kerala,Groundnut,Sandy,NPK,69,108,81,136,28.47,6.56,2017,2780
Tamil Nadu,Groundnut,Loamy,Compost,44,117,35,109,33.52,7.66,2015,3407
Uttar Pradesh,Groundnut,Black,Organic,44,62,134,299,37.11,6.42,2003,3272
Gujarat,Jute,Loamy,Compost,112,49,122,230,37.27,6.13,2022,2559
Bihar,Barley,Red Soil,NPK,102,59,34,205,37.79,5.75,2009,801
Kerala,Coffee,Loamy,DAP,125,34,78,251,21.69,6.97,2001,2913
Madhya Pradesh,Groundnut,Clay,Organic,88,12,62,158,31.65,7.47,2018,1319
Odisha,Groundnut,Loamy,DAP,23,115,124,66,34.43,6.46,2018,2787
Bihar,Barley,Black,DAP,138,118,59,269,21.06,6.73,2020,1737
Gujarat,Cotton,Clay,Urea,42,18,197,133,27.5,6.12,2014,4749
Maharashtra,Jute,Black,Compost,138,37,143,279,20.41,7.95,2006,2825
Odisha,Sugarcane,Clay,Organic,45,19,82,272,31.33,6.17,2004,1185
Punjab,Sugarcane,Red Soil,Urea,47,12,105,79,36.95,5.75,2017,1781
Haryana,Maize,Black,NPK,118,108,113,205,32.85,7.45,2024,1958
Karnataka,Barley,Clay,NPK,31,36,33,294,35.44,6.17,2004,2738
Rajasthan,Groundnut,Sandy,Urea,98,33,199,99,18.2,6.87,2009,1658
Madhya Pradesh,Tea,Sandy,NPK,122,46,187,210,27.96,6.26,2018,1556
Uttar Pradesh,Sugarcane,Red Soil,DAP,20,46,145,114,30.33,6.93,2018,2556
Andhra Pradesh,Soybean,Black,Compost,113,92,92,198,24.73,6.9,2005,2227
Uttar Pradesh,Tea,Red Soil,Urea,68,29,190,290,34.88,7.96,2000,1613
Andhra Pradesh,Rice,Sandy,Urea,72,112,165,209,28.25,7.76,2012,1506
Andhra Pradesh,Cotton,Loamy,NPK,92,76,141,79,20.57,5.96,2018,6952
West Bengal,Tea,Sandy,Urea,56,62,110,194,35.6,6.73,2005,1147
Punjab,Soybean,Clay,DAP,127,117,17,240,33.03,5.82,2018,2075
West Bengal,Jute,Black,Urea,63,79,94,84,26.03,7.07,2024,1731
Kerala,Maize,Loamy,Organic,17,50,147,256,37.35,6.85,2007,1492
Bihar,Groundnut,Red Soil,Urea,93,117,93,257,32.76,6.66,2011,1146
Odisha,Groundnut,Loamy,DAP,12,18,93,197,35.6,6.53,2021,2138
Bihar,Groundnut,Black,Compost,38,89,177,125,21.58,6.76,2001,2305
Rajasthan,Maize,Sandy,NPK,22,36,78,184,28.29,5.85,2005,819
Bihar,Cotton,Red Soil,Compost,126,75,183,111,30.12,6.67,2023,3222
Gujarat,Tea,Black,Organic,138,41,84,119,29.66,5.83,2003,1828
Haryana,Sugarcane,Red Soil,Urea,69,34,111,239,20.45,7.31,2024,2791
Gujarat,Rice,Loamy,DAP,63,113,90,124,21.7,6.97,2023,3296
Punjab,Rice,Clay,DAP,22,76,31,53,27.67,6.15,2016,4711
Odisha,Soybean,Loamy,DAP,118,77,17,176,25.38,7.24,2009,4038
West Bengal,Wheat,Clay,Organic,118,69,196,231,21.27,7.53,2003,1289
Bihar,Tea,Clay,Urea,73,77,20,278,36.3,5.8,2004,687
Andhra Pradesh,Rice,Loamy,NPK,70,98,42,226,35.73,6.82,2005,2476
Madhya Pradesh,Groundnut,Clay,Organic,117,44,84,247,24.36,5.78,2011,3157
Kerala,Sugarcane,Sandy,Organic,90,53,83,183,28.21,6.21,2003,4205
Andhra Pradesh,Tea,Red Soil,Organic,131,55,166,56,33.88,6.59,2005,1753
Karnataka,Wheat,Sandy,DAP,68,17,78,181,29.71,7.74,2020,1388
Kerala,Tea,Red Soil,NPK,71,90,121,284,31.66,5.71,2012,2779
Haryana,Pulses,Loamy,Compost,78,47,46,62,25.64,6.05,2018,1672
Odisha,Sugarcane,Loamy,Compost,138,27,144,69,20.47,7.08,2024,4760
Karnataka,Tea,Red Soil,Urea,127,108,30,192,33.56,7.16,2018,3473
Uttar Pradesh,Pulses,Black,NPK,37,95,129,201,29.29,6.73,2014,1984
Madhya Pradesh,Rice,Loamy,NPK,135,36,151,181,33.04,7.09,2020,1015
Gujarat,Maize,Sandy,NPK,21,30,74,133,28.89,6.63,2010,691
Tamil Nadu,Groundnut,Sandy,DAP,64,67,56,194,33.32,6.15,2022,1922
Karnataka,Tea,Loamy,DAP,92,56,40,216,29.5,6.55,2019,1661
Punjab,Rice,Red Soil,Urea,21,102,42,83,28.9,7.71,2005,1911
Tamil Nadu,Tea,Red Soil,Organic,79,13,194,185,19.83,7.95,2005,2057
Kerala,Sugarcane,Sandy,Organic,119,65,186,198,25.9,7.6,2004,1236
Tamil Nadu,Groundnut,Loamy,NPK,111,53,148,274,27.35,7.16,2009,1214
Karnataka,Wheat,Sandy,DAP,48,31,95,137,28.07,5.63,2005,1629
Maharashtra,Pulses,Red Soil,NPK,49,25,183,270,18.71,6.86,2012,1333
Gujarat,Pulses,Clay,Urea,106,23,134,225,24.32,7.21,2001,1347
Punjab,Groundnut,Loamy,Urea,33,103,37,263,23.18,7.83,2021,3119
Haryana,Soybean,Red Soil,DAP,42,106,175,267,21.41,7.89,2022,3528
Kerala,Maize,Clay,Urea,60,103,162,244,27.51,5.63,2014,85024
Haryana,Wheat,Clay,DAP,137,84,81,207,33.95,7.73,2004,2119
Rajasthan,Coffee,Sandy,NPK,46,59,77,246,21.93,6.77,2007,3152
Madhya Pradesh,Cotton,Clay,DAP,112,52,111,76,26.64,7.05,2015,3082
Madhya Pradesh,Tea,Clay,Compost,23,108,81,234,25.19,6.68,2016,715
West Bengal,Rice,Clay,NPK,128,46,101,160,24.84,5.98,2002,601
Rajasthan,Cotton,Red Soil,NPK,56,119,196,255,31.42,5.64,2000,1152
Rajasthan,Sugarcane,Black,Urea,40,117,168,291,20.21,5.74,2020,1490
Kerala,Tea,Loamy,DAP,102,46,107,192,21.03,6.14,2019,3268
West Bengal,Groundnut,Loamy,DAP,21,5,111,218,37.18,7.83,2015,2673
Kerala,Pulses,Red Soil,DAP,102,103,143,181,30.21,5.93,2000,3436
Kerala,Barley,Black,DAP,100,77,27,105,26.15,7.38,2012,2489
Punjab,Pulses,Clay,NPK,38,61,38,187,35.35,6.2,2022,2614
Odisha,Maize,Red Soil,Urea,122,14,194,108,24.9,7.5,2016,1799
Odisha,Wheat,Loamy,DAP,51,6,113,72,28.64,6.29,2020,784
Andhra Pradesh,Cotton,Loamy,Urea,99,114,184,215,30.09,6.25,2021,2628
Odisha,Wheat,Black,Urea,48,79,78,251,21.69,6.26,2022,1680
Punjab,Maize,Red Soil,NPK,125,93,15,95,36.23,6.84,2002,81003
Madhya Pradesh,Pulses,Sandy,Urea,84,35,31,278,27.76,6.76,2024,2778
Maharashtra,Wheat,Loamy,DAP,108,67,169,83,25.1,7.83,2018,875
Tamil Nadu,Pulses,Red Soil,Urea,93,15,67,79,18.54,6.82,2009,2784
Bihar,Rice,Sandy,NPK,69,66,69,287,27.17,7.62,2013,1073
Rajasthan,Maize,Sandy,Organic,94,116,139,62,22.14,7.44,2017,1984
Karnataka,Jute,Clay,Urea,55,88,116,125,28.88,7.89,2012,1843
West Bengal,Barley,Red Soil,DAP,61,117,188,134,28.91,7.17,2022,1836
Rajasthan,Soybean,Sandy,Urea,82,16,157,250,33.96,7.35,2022,36297
Kerala,Cotton,Black,NPK,114,8,78,273,34.2,5.73,2009,1084
Andhra Pradesh,Jute,Loamy,Organic,122,96,154,87,31.16,6.46,2007,1556
West Bengal,Groundnut,Sandy,NPK,108,12,167,69,21.17,5.72,2019,2413
Odisha,Sugarcane,Red Soil,Urea,101,92,138,280,30.23,6.48,2023,797
Odisha,Jute,Clay,Compost,82,82,78,190,30.97,7.86,2022,2148
Gujarat,Sugarcane,Sandy,Compost,88,65,143,149,37.07,5.62,2014,1706
Bihar,Coffee,Red Soil,DAP,13,14,154,195,36.26,7.55,2005,1391
Tamil Nadu,Cotton,Black,DAP,54,114,92,109,19.17,6.23,2024,1814
Gujarat,Groundnut,Sandy,Compost,34,17,84,107,27.16,5.81,2021,1018
Punjab,Soybean,Sandy,Organic,123,51,198,161,34.97,7.31,2021,1070
Kerala,Soybean,Loamy,NPK,113,30,157,277,24.27,6.64,2022,2976
Karnataka,Barley,Clay,Urea,41,102,180,292,23.78,6.77,2006,1329
Rajasthan,Groundnut,Sandy,Compost,28,24,174,189,36.19,6.88,2002,1509
Karnataka,Cotton,Loamy,DAP,56,88,184,132,25.73,6.09,2009,4422
Rajasthan,Barley,Black,NPK,39,25,58,273,33.29,5.78,2000,1716
Maharashtra,Rice,Clay,DAP,114,71,54,65,34.88,6.28,2001,1890
Madhya Pradesh,Sugarcane,Black,Urea,44,32,107,129,25.77,7.45,2012,57814
Kerala,Barley,Clay,NPK,124,61,193,263,33.33,7.84,2018,1927
Odisha,Sugarcane,Black,Compost,96,44,173,229,25.33,6.85,2019,3092
Madhya Pradesh,Tea,Clay,Organic,30,28,131,205,34.98,5.66,2022,3075
Karnataka,Tea,Loamy,DAP,91,107,96,67,34.78,5.53,2018,2849
Haryana,Maize,Clay,DAP,50,23,127,87,23.34,6.25,2018,1104
Maharashtra,Sugarcane,Red Soil,DAP,72,47,165,191,22.07,5.88,2001,6826
Andhra Pradesh,Pulses,Sandy,Organic,109,58,158,153,31.34,6.06,2016,2095
Bihar,Maize,Black,Urea,15,112,76,282,26.84,6.08,2004,2411
Rajasthan,Pulses,Sandy,Urea,73,76,35,196,24.68,6.95,2001,2148
Punjab,Jute,Red Soil,Compost,68,21,52,238,26.76,6.18,2015,2478
Karnataka,Coffee,Loamy,Urea,25,34,167,57,25.86,7.29,2017,1528
Tamil Nadu,Soybean,Red Soil,Urea,127,81,111,236,32.1,7.46,2010,1650
West Bengal,Barley,Loamy,Organic,114,92,73,91,36.3,5.58,2020,1599
Gujarat,Pulses,Sandy,Compost,48,30,42,192,25.54,6.34,2014,5047
Kerala,Cotton,Sandy,NPK,90,100,64,108,18.94,6.9,2006,2485
West Bengal,Rice,Red Soil,NPK,127,42,146,137,29.76,6.09,2008,1455
Punjab,Tea,Sandy,Compost,114,99,193,228,34.65,7.48,2018,2378
Uttar Pradesh,Maize,Red Soil,Organic,103,90,145,115,19.54,6.52,2017,983
Punjab,Sugarcane,Clay,DAP,120,17,83,243,21.12,6.77,2019,2915
Andhra Pradesh,Tea,Clay,Organic,136,56,55,224,22.88,6.07,2017,3012
West Bengal,Cotton,Loamy,Compost,78,47,196,234,27.86,7.92,2000,2106
West Bengal,Groundnut,Clay,Compost,69,56,135,165,33.55,7.61,2002,1283
Rajasthan,Cotton,Loamy,DAP,104,12,120,209,20.63,7.69,2004,3122
Andhra Pradesh,Cotton,Loamy,DAP,85,10,46,233,31.69,7.06,2009,1701
Haryana,Cotton,Sandy,Organic,135,69,17,92,34.84,6.11,2000,1515
Odisha,Cotton,Red Soil,Organic,113,77,118,223,22.77,6.16,2000,1103
Punjab,Tea,Red Soil,DAP,95,104,113,139,20.43,7.6,2010,1838
Karnataka,Soybean,Red Soil,NPK,113,25,167,186,18.9,7.1,2023,761
Maharashtra,Jute,Sandy,NPK,20,25,27,195,29.69,7.96,2002,1902
Tamil Nadu,Barley,Sandy,NPK,22,40,111,198,36.05,6.53,2010,756
Punjab,Jute,Red Soil,Compost,10,23,154,80,20.94,6.75,2020,3321
Madhya Pradesh,Barley,Black,Organic,111,112,49,193,19.31,6.58,2016,2221
Gujarat,Soybean,Red Soil,NPK,113,42,26,233,22.75,7.78,2007,2928
Gujarat,Soybean,Red Soil,NPK,122,14,122,133,34.4,6.25,2018,1608
Kerala,Soybean,Sandy,DAP,39,63,53,130,24.63,6.77,2024,2629
Karnataka,Groundnut,Loamy,Compost,65,83,68,181,24.88,7.46,2012,2023
Madhya Pradesh,Tea,Red Soil,DAP,114,59,152,162,29.95,5.65,2008,1498
Kerala,Groundnut,Clay,DAP,139,87,18,226,30.55,7.8,2024,3082
Odisha,Maize,Loamy,Organic,43,49,11,63,37.05,5.76,2015,1655
Kerala,Coffee,Red Soil,NPK,110,92,118,253,18.83,5.97,2020,2639
Madhya Pradesh,Wheat,Clay,NPK,50,77,149,66,26.91,6.02,2010,688
Maharashtra,Coffee,Red Soil,Compost,19,102,160,290,26.98,6.83,2007,1287
Karnataka,Cotton,Black,DAP,44,107,17,235,36.79,5.75,2009,2228
Andhra Pradesh,Maize,Black,Urea,63,95,90,143,33.24,5.97,2012,722
Uttar Pradesh,Jute,Sandy,NPK,78,64,157,107,18.5,6.92,2015,2025
Bihar,Sugarcane,Sandy,NPK,78,72,74,215,22.92,5.82,2024,2015
Uttar Pradesh,Soybean,Sandy,NPK,123,107,102,242,25.66,7.67,2020,4399
Maharashtra,Sugarcane,Red Soil,Compost,48,119,172,71,29.06,6.91,2012,1576
Kerala,Maize,Red Soil,DAP,81,70,128,107,37.33,6.27,2017,2051
Rajasthan,Maize,Red Soil,Compost,13,117,61,220,18.78,7.49,2019,4245
Tamil Nadu,Jute,Loamy,Urea,62,43,66,252,20.25,7.51,2017,2263
Madhya Pradesh,Wheat,Red Soil,Organic,26,93,74,79,32.38,5.97,2000,1861
West Bengal,Sugarcane,Sandy,Compost,30,10,173,290,18.28,6.54,2021,3152
Uttar Pradesh,Jute,Black,Urea,70,55,38,102,19.07,6.95,2010,1222
Kerala,Maize,Red Soil,Organic,114,117,37,164,36.69,6.62,2016,3102
Rajasthan,Barley,Clay,Compost,26,55,81,75,23.7,5.75,2011,824
Gujarat,Wheat,Red Soil,Compost,58,77,129,227,30.85,5.93,2022,2373
Punjab,Maize,Clay,Organic,123,109,188,269,19.51,6.46,2019,2849
Rajasthan,Soybean,Sandy,Urea,12,31,92,269,26.01,7.25,2017,2153
Karnataka,Groundnut,Sandy,Organic,98,56,80,89,21.4,7.88,2023,2350
Madhya Pradesh,Cotton,Loamy,DAP,30,93,99,145,30.51,7.57,2019,845
Uttar Pradesh,Wheat,Loamy,DAP,122,52,90,80,21.95,6.34,2019,1783
Punjab,Cotton,Clay,Compost,61,38,147,190,36.9,7.51,2004,2032
Madhya Pradesh,Maize,Clay,Urea,42,25,45,157,30.21,6.71,2005,1112
Punjab,Tea,Sandy,DAP,139,70,19,241,36.35,7.69,2019,1753
Odisha,Groundnut,Loamy,DAP,107,64,22,236,35.17,7.18,2020,2777
Bihar,Coffee,Black,NPK,34,62,148,110,28.33,6.74,2014,1737
Karnataka,Sugarcane,Clay,NPK,48,13,40,299,22.67,7.86,2011,1005
Haryana,Cotton,Clay,Compost,10,14,66,118,30.63,6.3,2004,1264
Madhya Pradesh,Sugarcane,Clay,Organic,24,20,102,164,20.17,7.27,2008,926
Madhya Pradesh,Coffee,Clay,NPK,127,101,125,64,35.62,6.16,2008,3828
Maharashtra,Groundnut,Loamy,Urea,102,54,78,177,20.61,7.36,2009,4108
Uttar Pradesh,Coffee,Sandy,DAP,75,77,94,231,20.68,7.18,2006,4090
Madhya Pradesh,Maize,Clay,Organic,79,108,128,257,21.78,5.84,2018,1299
Madhya Pradesh,Barley,Sandy,NPK,98,21,194,73,25.7,6.82,2007,676
Madhya Pradesh,Maize,Loamy,Organic,47,41,126,296,30.71,6.96,2004,2035
Bihar,Barley,Black,Organic,71,30,152,119,28.12,5.82,2020,1159
Karnataka,Jute,Red Soil,DAP,67,18,120,261,34.08,7.04,2021,6034
Haryana,Soybean,Red Soil,Organic,131,89,56,161,28.83,6.97,2007,2947
Haryana,Groundnut,Loamy,Urea,135,119,97,77,18.45,5.72,2001,1537
Kerala,Jute,Loamy,Urea,127,79,35,256,23.93,7.79,2011,509
Rajasthan,Groundnut,Red Soil,NPK,40,63,125,203,32.21,5.8,2011,1963
Andhra Pradesh,Rice,Clay,Organic,116,107,112,148,25.64,7.16,2000,4146
Maharashtra,Sugarcane,Sandy,Compost,133,5,82,276,21.61,7.76,2004,2377
Haryana,Maize,Clay,Organic,36,14,21,298,28.27,5.93,2021,740
Kerala,Wheat,Loamy,DAP,38,83,55,260,20.4,6.44,2016,991
Punjab,Coffee,Clay,NPK,103,111,174,187,35.59,7.06,2016,5942
Rajasthan,Maize,Loamy,NPK,87,97,175,265,27.5,7.14,2003,1280
Punjab,Coffee,Clay,DAP,78,45,182,99,23.5,7.75,2009,1373
Karnataka,Sugarcane,Black,NPK,38,52,43,224,33.49,6.67,2023,3836
Rajasthan,Pulses,Loamy,DAP,109,29,146,171,26.41,5.78,2003,3517
Andhra Pradesh,Cotton,Sandy,Urea,55,53,154,257,34.57,6.45,2013,1810
Karnataka,Rice,Red Soil,Urea,126,101,85,204,37.07,6.47,2013,43086
Haryana,Tea,Sandy,Compost,49,105,157,181,31.68,7.36,2006,807
West Bengal,Tea,Loamy,Compost,78,18,118,71,26.75,6.42,2008,79875
Kerala,Jute,Sandy,Urea,97,117,63,153,36.18,6.3,2021,1876
