id,soil_ph,soil_moisture,avg_temperature,total_rainfall,fertilizer_amount,pesticide_usage,sunlight_hours,nitrogen_content,phosphorus_content,potassium_content,irrigation_frequency,crop_type,region,season,harvest_date,field_id,yield_tpha
54,8.43,12.07,27.67,260.28,76.17,8.48,1659.03,1.96,0.4,0.74,3,Wheat,South,Spring,2021-05-14,F0073,3.62
55,4.74,47.96,24.16,1195.77,178.35,1.01,2517.51,1.91,1.48,1.5,4,Soybean,Central,Summer,2021-07-29,F0348,7.91
56,6.72,18.61,14.57,196.9,60.46,11.15,2380.92,2.9,1.08,1.91,1,Corn,Central,Spring,2021-01-11,F0184,4.91
57,5.52,41.82,24.61,1197.12,171.42,4.89,2852.55,2.99,0.2,1.78,4,Barley,North,Spring,2021-02-15,F0271,6.37
58,4.65,35.12,30.01,276.68,253.81,7.86,2212.16,1.81,0.47,1.62,1,Soybean,Central,Summer,2021-05-15,F0407,7.12
59,8.24,38.56,28.87,849.5,275.48,1.3,1730.71,1.17,0.25,1.84,2,Soybean,North,Autumn,2021-09-01,F0245,7.15
60,8.21,20.09,14.25,550.92,233.95,9.42,1205.73,1.92,0.57,1.16,5,Wheat,East,Spring,2021-11-24,F0059,4.99
61,5.86,43.14,27.62,189.28,167.44,3.35,1940.81,1.53,0.85,1.92,3,Soybean,North,Autumn,2021-06-02,F0475,6.43
62,5.53,35.37,17.11,698.67,284.03,0.39,2032.27,0.99,0.96,1.91,1,Rice,North,Summer,2021-11-13,F0031,8.36
63,5.43,23.46,15.71,858.35,244.86,6.1,1670.61,1.89,1.19,0.83,5,Wheat,South,Summer,2021-02-23,F0350,8.23
64,6.05,29.52,12.45,772.11,123.51,8.79,2548.34,1.28,1.24,1.86,1,Wheat,South,Autumn,2021-02-07,F0211,6.65
65,5.47,42.13,30.35,667.07,77.26,7.85,2320.29,1.25,0.83,1.77,1,Soybean,South,Spring,2021-12-21,F0301,4.75
66,5.87,11.27,21.3,659.74,55.72,2.5,2203.11,0.71,0.68,1.26,5,Barley,South,Summer,2021-08-04,F0379,5.58
67,5.05,38.28,13.65,1067.94,272.73,9.68,1748.83,1.73,1.18,1.81,4,Wheat,West,Summer,2021-07-01,F0422,8.86
68,6.62,15.43,22.76,280.7,260.3,11.58,2554.32,2.11,1.3,0.55,2,Barley,North,Spring,2021-04-29,F0304,5.5
69,6.67,27.28,17.31,1171.7,189.43,12.68,1220.65,2.53,1.48,1.09,4,Rice,Central,Autumn,2021-09-24,F0102,7.21
70,6.14,16.3,28.7,1090.97,193.15,13.19,1045.33,2.75,1.4,1.45,2,Barley,North,Spring,2021-08-06,F0025,6.39
71,5.08,46.25,13.46,358.36,240.11,10.07,2608.91,2.41,0.32,1.79,4,Rice,North,Autumn,2021-09-03,F0416,8.01
72,6.41,18.21,11.89,170.97,254.14,3.66,1142.85,1.04,0.25,1.41,1,Corn,East,Spring,2021-03-13,F0048,6.95
73,5.73,38.62,23.62,600.06,196.26,2.27,2698.96,2.13,0.7,1.23,3,Corn,West,Autumn,2021-05-15,F0382,7.42
74,8.11,23.55,12.42,1184.13,178.65,7.57,2309.58,2.0,0.75,1.28,6,Corn,North,Spring,2021-01-10,F0477,6.99
75,4.97,23.18,23.49,221.97,259.16,13.76,1628.27,2.81,1.01,0.69,6,Corn,West,Summer,2021-09-12,F0236,6.74
76,7.25,27.27,16.01,493.68,63.49,13.66,2737.82,0.91,1.19,1.87,2,Soybean,West,Autumn,2021-08-27,F0130,5.18
77,4.57,10.15,13.72,483.13,146.97,7.88,2632.92,1.11,0.49,1.17,4,Soybean,Central,Summer,2021-11-28,F0431,5.59
78,5.83,43.12,31.99,1048.23,88.98,12.85,1121.02,1.92,1.31,1.24,2,Wheat,West,Autumn,2021-07-31,F0234,4.62
79,6.38,48.04,22.78,817.19,120.33,12.49,2455.83,1.35,0.98,1.45,1,Wheat,Central,Spring,2021-08-01,F0361,4.93
80,6.25,40.19,16.48,1112.29,55.45,6.53,2023.12,2.42,1.42,1.43,1,Soybean,East,Summer,2021-06-25,F0374,5.31
81,6.69,29.86,25.42,410.92,188.17,12.37,1768.61,1.87,1.17,1.85,3,Rice,East,Autumn,2021-03-31,F0116,6.23
82,8.06,16.68,21.88,787.51,203.02,3.98,1795.03,2.06,1.23,0.66,3,Rice,South,Autumn,2021-10-06,F0367,7.08
83,4.98,47.07,23.4,1030.49,112.63,6.95,1013.95,2.35,0.44,1.57,6,Wheat,Central,Summer,2021-09-26,F0168,6.45
84,7.39,15.79,11.75,830.01,176.66,0.53,2057.76,0.82,0.22,1.92,2,Barley,South,Summer,2021-06-04,F0228,6.88
85,7.76,28.43,33.95,1055.56,65.6,12.54,2204.76,2.21,0.49,1.97,2,Corn,East,Spring,2021-05-06,F0010,5.16
86,7.45,35.36,17.78,855.47,216.23,14.51,2895.16,1.98,0.21,0.9,4,Corn,East,Summer,2021-09-05,F0134,5.7
87,6.21,25.66,25.75,747.77,298.53,3.84,1334.45,2.77,1.3,0.55,2,Rice,South,Summer,2021-10-06,F0309,8.84
88,6.72,46.68,11.84,391.34,204.91,5.13,1844.71,1.23,1.19,0.64,3,Corn,East,Summer,2021-09-25,F0018,5.55
89,8.36,46.98,19.86,140.22,276.87,8.59,1781.17,2.0,1.43,1.49,4,Wheat,East,Summer,2021-02-19,F0227,6.1
90,5.5,16.4,19.75,741.04,97.45,9.64,1656.31,1.26,0.56,1.3,5,Soybean,Central,Spring,2021-07-13,F0037,4.88
91,5.41,49.71,10.03,159.37,177.79,2.05,1766.81,1.42,0.47,0.98,3,Wheat,South,Autumn,2021-05-09,F0230,6.69
92,5.9,15.56,11.9,979.65,284.52,9.49,2827.91,1.4,0.78,1.13,5,Wheat,West,Spring,2021-11-11,F0458,5.87
93,5.94,44.91,29.56,655.99,297.94,4.46,2707.51,2.85,0.74,1.97,4,Soybean,Central,Autumn,2021-01-13,F0108,7.91
94,7.79,10.89,25.91,761.24,73.8,3.62,2981.94,1.15,0.67,1.05,2,Soybean,North,Summer,2021-11-09,F0251,5.65
95,5.42,27.7,20.81,305.0,115.26,9.04,2017.43,2.27,0.77,1.35,5,Wheat,East,Spring,2021-06-03,F0016,5.62
96,5.65,20.95,26.4,582.35,101.79,10.41,1420.46,1.98,0.96,1.38,4,Wheat,South,Summer,2021-12-22,F0183,6.2
97,8.06,36.96,27.65,310.14,190.06,3.44,1033.8,1.62,1.36,0.67,3,Corn,West,Autumn,2021-02-10,F0394,6.99
98,7.43,13.25,12.04,248.5,53.82,11.13,2325.32,1.58,1.31,1.58,3,Wheat,West,Summer,2021-04-14,F0288,3.46
99,6.67,31.67,17.73,655.36,51.16,13.13,1173.06,2.46,0.36,0.75,1,Wheat,South,Summer,2021-01-18,F0196,3.33
100,7.73,31.79,30.5,671.82,291.43,1.23,2128.69,0.67,1.3,1.94,6,Barley,South,Spring,2021-10-11,F0119,6.91
101,7.57,46.2,29.86,494.68,274.78,14.42,2182.79,0.88,1.35,1.68,1,Rice,East,Autumn,2021-06-23,F0221,7.86
102,6.1,13.36,27.98,938.93,91.62,10.65,2126.59,2.74,1.06,1.41,5,Soybean,East,Summer,2021-05-04,F0355,5.07
103,5.37,31.8,27.34,1009.75,160.04,12.84,1197.48,2.06,1.04,1.0,6,Barley,Central,Summer,2021-11-01,F0271,6.88
104,6.52,13.73,19.47,309.35,147.13,14.83,1587.56,1.71,0.81,1.66,1,Barley,Central,Summer,2021-09-08,F0139,5.52
105,6.28,35.71,14.88,261.83,71.93,11.71,2144.7,1.98,1.13,0.69,1,Corn,West,Summer,2021-07-17,F0186,5.49
106,5.98,19.83,21.3,335.94,61.23,10.71,1568.29,2.14,0.37,0.97,3,Soybean,West,Summer,2021-08-14,F0406,4.07
107,5.4,44.76,28.44,1077.41,130.55,4.72,2062.69,1.39,0.74,0.56,6,Barley,South,Summer,2021-09-13,F0304,5.84
108,7.86,15.16,33.34,858.44,154.04,11.3,2775.08,1.95,0.89,1.89,6,Wheat,West,Summer,2021-09-21,F0189,5.21
109,7.7,42.07,17.3,859.26,182.86,6.54,2898.16,0.55,0.45,1.01,1,Soybean,East,Autumn,2021-06-06,F0096,6.57
110,6.62,44.27,16.04,839.68,185.4,7.52,1362.02,2.96,1.05,0.56,6,Barley,West,Autumn,2021-11-07,F0462,7.68
111,5.37,44.35,19.59,1066.29,150.59,13.56,1106.89,0.93,1.25,0.84,1,Barley,East,Spring,2021-11-14,F0136,5.51
112,5.22,25.77,30.67,292.93,258.2,13.31,2276.11,1.12,1.26,0.96,5,Soybean,East,Summer,2021-07-13,F0344,7.18
113,7.29,36.53,26.99,828.86,140.53,1.62,1984.79,1.29,1.19,1.95,6,Rice,Central,Spring,2021-08-01,F0406,7.09
114,5.02,27.63,32.56,1053.46,87.19,14.02,1663.75,0.83,1.43,0.93,3,Corn,East,Summer,2021-03-19,F0245,4.83
115,7.9,23.5,29.4,838.46,146.32,10.16,2158.69,1.94,0.27,1.46,4,Wheat,West,Summer,2021-12-13,F0095,5.17
116,6.51,10.29,26.4,394.41,93.18,3.37,1429.81,1.0,0.72,1.01,6,Corn,West,Spring,2021-05-01,F0029,3.83
117,7.33,18.4,28.09,1026.88,240.25,13.04,1881.75,0.93,1.37,1.59,1,Barley,West,Spring,2021-03-11,F0188,7.43
118,5.12,33.03,13.89,917.38,94.28,14.69,1962.93,0.55,1.08,1.05,4,Barley,Central,Autumn,2021-06-18,F0025,5.15
119,6.37,26.23,21.71,827.48,148.78,7.79,2078.37,1.57,1.41,1.7,1,Wheat,Central,Autumn,2021-02-16,F0324,6.27
120,7.99,49.28,34.76,454.19,68.58,7.52,2885.2,2.65,1.36,1.03,5,Wheat,North,Summer,2021-08-31,F0280,4.78
121,6.59,15.07,12.21,733.5,149.78,10.24,1603.19,1.49,0.67,0.98,6,Corn,West,Spring,2021-11-07,F0326,5.78
122,6.87,30.68,24.54,495.9,63.18,1.2,1462.39,2.56,1.33,1.54,6,Barley,South,Spring,2021-01-30,F0239,5.05
123,7.29,13.92,26.85,1061.52,217.46,6.68,1009.23,1.71,0.64,1.99,4,Wheat,South,Spring,2021-11-08,F0143,6.81
124,6.95,39.0,18.99,916.4,65.5,11.69,2485.97,1.28,1.14,0.6,5,Wheat,South,Autumn,2021-09-13,F0492,5.58
125,5.3,18.57,29.79,415.86,241.02,3.24,2028.08,2.65,0.92,0.93,2,Rice,East,Summer,2021-03-14,F0369,6.84
126,7.19,44.88,22.28,110.99,179.14,13.99,2344.78,0.8,0.8,0.94,6,Rice,West,Spring,2021-01-13,F0064,5.66
127,5.3,44.99,28.73,598.33,288.49,3.21,2926.26,1.45,1.14,1.89,4,Soybean,Central,Autumn,2021-10-17,F0353,7.96
128,7.96,39.63,23.07,121.48,146.48,6.75,1086.65,0.75,1.13,1.01,6,Rice,South,Summer,2021-11-11,F0340,4.63
129,6.05,34.39,16.1,1084.9,157.5,5.18,2167.28,1.65,0.76,1.54,1,Corn,North,Summer,2021-11-10,F0468,7.04
130,5.51,22.39,10.01,648.34,103.59,6.03,2116.44,2.9,1.06,1.83,3,Wheat,East,Spring,2021-02-23,F0337,5.22
131,5.54,39.67,26.96,880.05,249.73,2.05,2607.45,2.42,1.11,1.57,2,Barley,East,Autumn,2021-09-02,F0313,8.4
132,5.9,21.34,20.11,360.91,242.74,12.73,2334.11,2.52,0.47,0.57,6,Barley,West,Summer,2021-01-01,F0326,6.45
133,7.31,12.14,11.62,1162.04,132.28,11.34,2903.5,2.61,0.35,1.37,6,Wheat,West,Spring,2021-04-27,F0326,6.12
134,6.46,27.32,14.17,779.7,229.83,10.98,2364.36,2.49,0.22,1.41,2,Rice,Central,Summer,2021-08-13,F0205,7.82
135,5.75,16.44,22.32,619.02,194.11,13.67,1957.72,2.23,0.91,1.54,1,Rice,Central,Spring,2021-02-07,F0481,5.9
136,6.34,16.79,21.84,950.34,287.47,2.57,1157.22,2.36,0.31,1.47,6,Soybean,South,Spring,2021-08-16,F0133,6.88
137,8.13,25.8,11.53,768.96,248.52,1.42,1280.36,1.32,1.39,1.5,5,Rice,West,Summer,2021-09-25,F0127,7.62
138,5.18,37.18,18.14,578.23,69.64,1.48,2413.68,2.3,0.56,1.26,1,Corn,West,Summer,2021-09-08,F0470,5.62
139,7.21,43.28,29.66,873.21,54.78,3.42,2003.88,2.22,0.75,1.88,3,Soybean,North,Autumn,2021-03-11,F0494,4.6
140,8.48,17.82,15.81,380.57,293.03,10.41,1502.19,2.98,0.65,1.1,6,Rice,East,Autumn,2021-07-03,F0179,7.1
141,5.38,12.53,28.83,1148.09,195.82,1.85,1082.77,1.68,1.12,1.96,6,Soybean,South,Spring,2021-03-21,F0275,6.86
142,8.41,15.09,11.2,621.08,202.9,3.24,1342.38,1.0,0.54,1.65,6,Corn,East,Autumn,2021-07-07,F0491,8.14
143,7.89,43.17,19.09,891.7,77.77,10.67,1753.53,2.2,1.12,1.71,4,Corn,North,Autumn,2021-09-14,F0345,5.39
144,5.91,17.68,21.33,1069.53,189.68,4.5,2952.53,2.04,0.34,0.88,1,Corn,Central,Autumn,2021-06-22,F0007,7.03
145,5.96,31.47,32.39,288.22,178.8,9.97,1146.94,2.12,1.38,1.54,5,Corn,Central,Spring,2021-03-01,F0374,6.76
146,8.22,43.88,19.82,396.28,80.49,7.53,2545.58,2.69,0.65,1.18,3,Corn,West,Spring,2021-01-01,F0162,5.28
147,5.26,47.69,29.79,853.73,236.34,9.35,1058.69,0.55,1.19,1.23,4,Barley,East,Autumn,2021-05-18,F0427,6.64
148,7.49,16.69,33.31,420.4,174.67,5.67,1958.56,1.06,0.56,1.63,5,Corn,Central,Autumn,2021-08-15,F0260,5.75
149,5.08,31.28,23.79,1006.68,131.52,14.86,1017.2,1.52,1.5,1.67,3,Barley,Central,Summer,2021-08-11,F0201,5.18
150,8.09,12.16,16.84,998.11,200.28,12.82,1931.82,2.53,0.44,0.59,6,Rice,South,Autumn,2021-12-26,F0232,6.08
151,7.6,35.03,27.47,419.56,135.92,6.5,2014.53,1.99,0.51,1.52,2,Soybean,Central,Spring,2021-06-05,F0332,6.96
152,5.27,29.97,25.64,439.08,246.76,0.61,2273.23,2.4,1.22,1.7,4,Barley,East,Spring,2021-06-10,F0004,7.61
153,7.44,28.12,24.8,832.56,100.67,12.85,1715.36,1.64,0.26,1.55,1,Soybean,South,Summer,2021-11-13,F0300,5.27
154,8.09,36.01,29.07,1001.31,234.23,9.32,2909.21,1.02,0.22,1.22,4,Corn,Central,Spring,2021-05-05,F0124,6.06
155,4.89,21.45,13.75,698.41,209.15,8.35,2269.22,1.78,0.81,1.77,2,Wheat,East,Spring,2021-09-22,F0132,6.82
156,5.95,34.76,20.01,537.27,241.57,12.83,2209.99,1.2,0.81,1.26,6,Corn,South,Autumn,2021-07-30,F0254,7.64
157,5.24,35.35,31.09,466.34,288.33,5.14,1381.11,2.84,0.93,0.92,2,Soybean,North,Autumn,2021-02-09,F0208,6.65
158,5.21,39.71,21.28,114.48,284.61,12.36,1503.45,2.46,0.83,1.02,3,Soybean,West,Autumn,2021-12-21,F0253,6.92
159,7.35,21.21,24.14,1156.65,121.07,12.26,1445.85,2.67,0.96,0.57,5,Soybean,Central,Spring,2021-10-16,F0350,5.67
160,6.01,48.19,15.1,753.25,108.54,8.08,1985.67,2.47,1.35,0.89,5,Barley,West,Summer,2021-06-23,F0487,6.74
161,8.42,37.1,34.64,961.21,278.52,3.06,1287.38,1.57,0.52,1.86,5,Rice,East,Summer,2021-01-27,F0104,8.8
162,7.81,47.52,19.8,1139.9,279.73,11.0,1591.56,1.87,1.23,1.63,5,Soybean,North,Summer,2021-03-23,F0294,7.34
163,5.83,22.22,29.33,345.03,133.5,3.2,2864.53,1.07,1.23,1.91,3,Barley,North,Spring,2021-01-24,F0358,5.97
164,6.75,21.42,25.29,429.27,215.28,9.38,1093.45,0.77,1.06,1.83,3,Soybean,East,Summer,2021-12-22,F0442,6.8
165,5.54,25.04,31.08,721.82,109.22,12.82,2948.0,0.56,0.88,1.15,3,Rice,North,Summer,2021-08-28,F0002,5.28
166,7.34,15.57,13.94,337.3,127.22,5.84,2831.04,1.23,0.96,1.32,1,Rice,East,Autumn,2021-02-08,F0365,6.7
167,7.91,33.62,32.37,945.88,293.64,1.35,2968.92,2.51,1.32,1.26,4,Wheat,South,Summer,2021-09-10,F0297,6.28
168,4.64,12.89,21.24,426.86,163.33,13.2,1545.53,1.08,1.11,1.46,6,Rice,West,Spring,2021-07-01,F0226,5.27
169,6.15,28.01,16.52,298.96,84.62,9.8,1963.47,0.73,1.2,1.3,3,Barley,West,Spring,2021-09-22,F0106,4.54
170,8.36,28.95,19.08,488.91,291.33,12.16,1949.51,1.67,0.51,1.25,6,Barley,West,Spring,2021-10-03,F0095,7.67
171,6.09,20.13,29.08,1141.73,221.73,7.76,2598.89,1.62,1.02,1.3,2,Soybean,North,Summer,2021-11-11,F0151,7.06
172,6.95,30.86,34.63,770.41,255.07,8.59,1499.78,1.37,0.95,1.81,2,Corn,Central,Autumn,2021-12-13,F0443,6.83
173,6.6,25.75,17.6,340.97,179.87,7.86,2205.63,2.89,1.19,1.48,5,Rice,East,Summer,2021-05-10,F0083,5.98
174,8.04,37.22,30.12,472.04,198.28,2.14,1796.36,2.52,1.14,0.72,3,Corn,West,Summer,2021-09-10,F0008,5.86
175,5.59,23.33,29.82,1081.23,237.49,0.96,2285.15,1.94,0.41,0.54,2,Barley,North,Summer,2021-03-16,F0486,8.1
176,8.14,42.69,19.41,926.72,195.34,14.17,1160.86,1.92,0.81,0.51,6,Soybean,Central,Summer,2021-12-13,F0311,5.85
177,5.79,35.96,26.02,290.2,109.07,3.25,2519.45,2.78,1.35,0.74,5,Wheat,Central,Autumn,2021-02-21,F0332,5.92
178,7.0,25.08,24.59,244.55,97.96,13.34,2359.28,2.28,0.83,1.23,2,Barley,Central,Spring,2021-05-19,F0229,4.0
179,7.77,23.72,27.37,473.39,108.54,9.39,2315.32,1.87,1.29,0.73,5,Rice,West,Spring,2021-02-23,F0080,3.94
180,5.11,43.04,17.32,754.31,112.87,2.67,1348.29,1.36,1.07,0.64,6,Corn,West,Summer,2021-12-23,F0117,5.12
181,6.02,40.79,14.1,1054.7,183.92,2.13,2496.35,1.69,1.34,1.85,2,Corn,Central,Summer,2021-10-10,F0225,7.71
182,6.26,41.68,13.35,289.78,197.67,10.61,1145.62,1.43,0.57,1.14,1,Soybean,East,Spring,2021-10-09,F0343,6.16
183,6.88,42.7,12.04,558.51,101.31,6.38,1107.68,2.84,1.11,1.96,4,Soybean,South,Summer,2021-02-18,F0128,6.04
184,7.45,34.11,26.76,565.2,264.9,1.77,1278.32,2.2,1.3,1.56,3,Soybean,South,Spring,2021-10-05,F0371,7.21
185,7.47,47.16,33.49,336.83,126.76,6.51,1150.03,1.24,1.32,0.78,5,Corn,North,Summer,2021-09-20,F0169,4.8
186,5.76,33.22,23.88,799.31,73.49,3.59,2111.01,2.55,0.6,1.46,4,Soybean,South,Summer,2021-09-27,F0271,4.64
187,8.29,16.8,27.34,731.37,276.7,14.9,2390.99,1.69,0.84,1.03,5,Barley,North,Spring,2021-01-21,F0072,6.8
188,8.04,47.31,10.95,386.69,181.99,3.03,1693.48,2.26,0.87,1.1,1,Soybean,Central,Summer,2021-02-24,F0242,6.87
189,5.01,29.67,33.77,786.83,74.91,4.75,2245.52,0.86,1.39,1.37,2,Barley,North,Spring,2021-09-09,F0328,5.85
190,5.59,31.19,33.4,544.81,172.98,14.52,2591.18,0.58,0.97,0.61,4,Barley,West,Summer,2021-05-26,F0312,6.86
191,5.1,29.06,34.36,793.05,136.28,5.06,1407.31,1.37,0.89,0.91,5,Wheat,West,Autumn,2021-06-01,F0346,5.91
192,6.59,49.04,34.22,550.51,289.15,10.56,2198.4,1.11,1.18,1.7,5,Wheat,Central,Spring,2021-06-08,F0146,7.64
