Crop,Rainfall_mm,Temperature_C,Fertilizer_Used,Irrigation_Used,Weather_Condition,Soil_Type,Region,Nitrogen,Phosphorus,Potassium,Soil_pH,Yield_kg_per_acre
Rice,1042.6,18.0,1,1,Windy,Silty,North,48,88,74,5.83,3585.2
Sugarcane,1049.9,28.8,1,1,Sunny,Peaty,Central,75,72,74,6.18,5219.6
Wheat,1278.0,26.4,1,1,Rainy,Loamy,Central,68,64,100,8.01,3171.0
Soybean,846.0,26.6,0,0,Stormy,Clay,Central,55,70,64,6.18,1393.6
Cotton,1095.7,30.1,0,0,Rainy,Loamy,East,131,25,81,5.86,1602.1
Sugarcane,740.8,36.9,0,1,Windy,Sandy,Central,60,52,50,7.44,4966.3
Rice,584.0,28.9,1,1,Rainy,Silty,East,103,98,57,5.66,3627.8
Rice,1438.3,25.8,0,0,Sunny,Sandy,North,105,34,73,5.95,2845.9
Maize,1010.7,19.9,1,0,Sunny,Loamy,North,98,33,109,6.96,3171.7
Maize,1093.4,12.7,1,0,Stormy,Loamy,North,138,58,85,7.25,2766.1
Barley,575.9,27.8,0,0,Cloudy,Peaty,South,67,82,39,7.48,1843.8
Wheat,1053.1,19.4,1,1,Windy,Clay,South,94,24,52,5.9,2732.1
Sorghum,1433.5,11.8,0,1,Windy,Clay,West,139,71,77,6.98,2346.2
Sugarcane,816.8,24.9,1,0,Cloudy,Sandy,West,70,35,81,6.13,4760.1
Sugarcane,523.3,28.4,1,0,Sunny,Silty,West,72,57,44,6.02,5363.4
Sorghum,955.2,31.5,0,0,Sunny,Chalky,South,126,72,84,7.46,1682.8
Barley,589.2,33.4,1,0,Rainy,Clay,South,99,96,72,6.06,2546.0
Soybean,432.7,32.3,0,1,Stormy,Peaty,West,80,72,79,6.72,1597.1
Soybean,679.6,32.4,1,0,Stormy,Sandy,West,120,65,35,6.62,1737.9
Barley,752.2,18.2,0,0,Stormy,Sandy,Central,85,34,62,5.64,1525.1
Soybean,603.8,26.1,1,0,Rainy,Chalky,West,88,78,91,7.27,1852.2
Maize,1297.9,30.5,0,1,Stormy,Peaty,Central,104,69,84,6.95,2839.3
Sugarcane,1466.9,27.3,0,1,Cloudy,Silty,East,81,28,68,4.91,5634.7
Barley,1085.4,26.1,1,1,Rainy,Peaty,South,62,45,41,6.72,2733.4
Sugarcane,1015.3,27.2,0,0,Cloudy,Silty,West,66,22,60,5.88,5288.8
Sorghum,857.4,28.5,1,0,Rainy,Peaty,South,128,66,103,7.38,2181.2
Rice,631.1,26.5,1,0,Stormy,Peaty,South,71,24,82,5.34,2873.2
Maize,1380.9,21.9,0,1,Cloudy,Loamy,South,122,81,63,6.21,3349.2
Cotton,881.1,16.8,0,1,Cloudy,Sandy,East,127,24,70,6.79,1374.2
Maize,761.2,25.8,0,0,Cloudy,Peaty,North,42,29,39,6.54,2421.1
Barley,1204.4,27.3,0,0,Rainy,Chalky,West,99,99,81,7.11,2102.9
Cotton,877.9,27.3,0,1,Windy,Peaty,North,115,82,104,5.29,1402.6
Rice,1193.2,32.7,1,0,Stormy,Clay,North,138,44,86,7.82,3280.9
Barley,777.1,33.8,0,0,Cloudy,Sandy,North,118,63,107,6.92,1940.5
Wheat,1205.3,26.4,1,0,Windy,Clay,South,56,44,32,7.59,2535.0
Sugarcane,1193.9,26.4,0,1,Stormy,Sandy,Central,71,49,86,7.2,4899.1
Rice,1297.4,30.4,0,0,Stormy,Clay,South,46,33,62,6.49,3078.6
Sugarcane,687.2,29.6,0,0,Cloudy,Peaty,South,122,62,36,5.47,4661.0
Soybean,875.1,24.3,1,0,Cloudy,Peaty,North,110,47,33,6.05,1927.9
Wheat,1484.3,31.0,0,0,Rainy,Loamy,South,108,38,68,7.77,2504.6
Wheat,826.1,26.1,1,1,Windy,Chalky,North,97,61,77,7.61,2466.7
Rice,1143.3,26.2,1,1,Windy,Clay,Central,79,39,103,6.0,3453.0
Wheat,1587.2,29.6,1,1,Cloudy,Silty,West,124,98,108,4.5,3198.8
Cotton,345.3,25.2,0,0,Stormy,Loamy,North,87,30,45,6.33,981.6
Wheat,816.1,27.6,1,1,Cloudy,Clay,Central,90,73,67,6.27,2887.1
Sugarcane,900.6,28.8,0,0,Stormy,Clay,West,96,43,33,6.3,4621.8
Sugarcane,360.3,31.9,1,1,Stormy,Loamy,East,110,89,33,6.92,5308.3
Barley,763.2,31.5,0,0,Cloudy,Peaty,North,76,36,56,7.2,2021.9
Sugarcane,608.6,28.6,1,1,Sunny,Clay,North,126,47,115,7.29,5752.2
Barley,1157.3,11.3,0,1,Windy,Peaty,East,114,69,115,6.86,2236.0
Sugarcane,380.2,28.5,0,1,Stormy,Loamy,East,113,74,46,5.06,5163.6
Cotton,1466.8,29.4,0,0,Stormy,Peaty,North,124,92,99,6.23,1267.6
Sorghum,1107.0,30.6,1,0,Sunny,Sandy,East,94,29,83,8.34,2028.0
Barley,583.9,21.3,1,0,Rainy,Silty,South,80,40,37,6.8,2302.8
Maize,1207.9,14.3,0,1,Sunny,Clay,West,136,77,82,6.79,3083.3
Soybean,1079.1,31.8,1,0,Sunny,Chalky,West,59,53,34,6.79,1945.1
Rice,888.4,19.7,1,0,Stormy,Silty,West,72,62,98,6.83,3059.9
Sugarcane,683.6,34.3,1,0,Windy,Peaty,South,79,30,76,4.59,4944.6
Wheat,1064.3,23.5,1,0,Sunny,Clay,East,138,52,103,6.31,2938.9
Sorghum,936.9,20.8,1,0,Rainy,Peaty,Central,73,77,69,6.47,1830.6
Sugarcane,693.2,29.1,1,0,Cloudy,Sandy,East,101,65,36,7.53,5273.2
Wheat,497.0,30.7,1,1,Sunny,Loamy,North,139,80,41,6.54,2991.1
Soybean,644.8,30.3,0,1,Sunny,Clay,West,130,81,54,5.18,2082.2
Soybean,749.0,30.0,0,0,Rainy,Sandy,East,58,20,57,6.84,1590.3
Soybean,1248.7,22.8,1,1,Windy,Sandy,Central,82,40,72,5.86,2576.2
Wheat,1158.2,17.8,0,1,Sunny,Clay,North,108,81,106,5.53,2677.1
Sugarcane,765.0,24.7,0,0,Sunny,Peaty,South,102,83,76,5.83,4915.1
Soybean,776.6,20.1,0,0,Windy,Chalky,South,132,92,78,6.93,1525.8
Cotton,1197.4,29.6,1,1,Rainy,Sandy,Central,49,75,115,7.51,1881.9
Barley,980.2,32.2,1,0,Sunny,Silty,North,52,20,83,6.89,2410.3
Wheat,976.0,28.0,1,1,Windy,Sandy,West,132,40,47,7.01,2637.8
Wheat,689.0,27.0,1,1,Sunny,Chalky,East,44,41,56,6.88,2744.8
Sugarcane,863.0,25.1,1,1,Cloudy,Peaty,North,97,73,101,6.58,5491.4
Wheat,901.3,32.9,0,0,Stormy,Peaty,South,98,23,35,7.06,1627.6
Wheat,872.6,16.0,1,1,Cloudy,Silty,Central,115,84,104,4.56,2891.8
Soybean,1120.2,19.8,0,0,Sunny,Sandy,Central,98,70,98,6.59,1783.3
Sugarcane,1129.6,38.0,1,0,Rainy,Peaty,East,116,93,100,5.66,5315.2
Soybean,624.3,19.5,0,0,Stormy,Chalky,Central,125,82,51,7.43,1490.5
Barley,749.9,30.2,1,0,Cloudy,Clay,Central,54,34,88,6.38,2272.8
Sorghum,693.8,31.4,1,0,Windy,Loamy,North,116,55,76,6.52,2086.9
Barley,1316.6,15.4,1,1,Rainy,Loamy,West,40,48,97,5.3,3122.5
Sorghum,1576.0,16.6,1,0,Cloudy,Loamy,East,77,71,61,7.31,2503.0
Soybean,760.9,34.6,1,0,Windy,Sandy,North,92,65,112,7.0,1914.4
Barley,849.9,21.2,1,0,Sunny,Silty,West,91,88,30,6.95,2862.6
Sugarcane,1152.7,21.3,0,0,Windy,Peaty,North,40,48,83,5.85,4782.2
Rice,687.8,23.9,1,0,Cloudy,Clay,North,50,66,75,5.88,2792.7
Soybean,1159.5,21.2,0,1,Cloudy,Chalky,Central,97,44,70,6.68,2080.4
Sorghum,893.7,30.2,1,0,Sunny,Clay,West,79,99,70,5.94,1980.0
Cotton,376.9,19.9,0,0,Windy,Chalky,East,125,35,37,6.85,923.9
Sorghum,509.9,15.2,0,1,Windy,Sandy,East,138,60,61,4.77,1343.4
Cotton,798.6,33.9,0,0,Sunny,Loamy,West,99,84,59,6.11,1545.8
Wheat,1266.9,20.2,0,1,Windy,Sandy,Central,83,88,75,7.94,2269.9
Barley,632.2,22.5,0,1,Sunny,Silty,South,45,39,81,6.85,2268.3
Cotton,739.8,32.0,0,1,Rainy,Silty,North,67,88,118,6.63,1729.5
Sorghum,963.3,27.4,1,1,Cloudy,Chalky,Central,70,55,90,8.09,2283.9
Wheat,399.4,33.7,0,0,Rainy,Peaty,West,47,77,42,4.63,1878.8
Rice,989.6,32.1,1,0,Stormy,Peaty,North,44,67,118,5.85,2806.3
Sugarcane,436.9,24.3,1,1,Stormy,Chalky,East,93,21,69,6.18,4700.0
Sugarcane,1070.2,33.1,0,1,Stormy,Silty,South,56,99,90,7.19,5039.8
Sugarcane,657.4,28.0,0,0,Sunny,Silty,East,77,48,73,7.2,5176.2
Cotton,617.4,23.4,1,1,Windy,Silty,West,48,35,91,5.81,1625.2
Rice,981.8,28.7,0,1,Rainy,Sandy,North,113,54,73,7.3,2910.0
Cotton,1138.2,19.1,0,1,Rainy,Silty,West,123,81,77,6.18,2004.0
Barley,1012.9,32.0,0,0,Rainy,Clay,North,117,23,103,7.47,2397.7
Cotton,962.3,31.2,0,1,Rainy,Loamy,Central,53,87,88,5.67,1857.9
Rice,966.5,27.7,0,0,Stormy,Silty,South,65,70,86,6.4,2660.9
Rice,1014.7,15.5,0,0,Rainy,Chalky,Central,132,52,40,6.11,2752.4
Barley,1034.4,33.9,0,0,Windy,Loamy,Central,101,97,54,7.34,2185.7
Rice,781.7,29.6,1,1,Stormy,Sandy,West,130,43,90,6.08,3019.3
Sorghum,1096.4,26.9,0,1,Rainy,Chalky,South,64,94,75,6.47,1587.4
Rice,660.5,25.9,1,0,Sunny,Loamy,North,119,44,83,6.91,3282.0
Sugarcane,1227.4,23.8,1,0,Cloudy,Chalky,North,75,47,63,6.94,4991.0
Sorghum,1134.7,24.9,1,0,Cloudy,Sandy,East,137,26,113,7.21,2074.8
Sorghum,1554.3,31.6,1,1,Cloudy,Clay,North,119,55,36,6.67,2588.7
Barley,1054.2,23.9,0,1,Stormy,Sandy,West,72,29,91,6.17,1957.4
Maize,1172.7,25.4,1,0,Rainy,Sandy,Central,42,55,86,6.22,2954.4
Maize,431.8,26.2,1,0,Stormy,Chalky,Central,126,37,105,6.52,2197.5
Rice,1182.5,26.4,1,1,Windy,Peaty,Central,50,25,34,6.7,3407.8
Sorghum,1252.9,23.3,1,0,Sunny,Silty,South,97,26,105,6.38,2598.5
Maize,1351.4,26.0,1,1,Sunny,Silty,North,103,31,64,6.52,3418.0
Maize,936.1,29.1,0,1,Cloudy,Clay,West,57,60,113,5.29,2999.7
Rice,797.4,21.6,0,0,Cloudy,Clay,South,86,82,66,7.03,2773.5
Maize,573.1,26.0,1,0,Cloudy,Silty,East,83,44,89,6.64,3037.0
Cotton,600.6,38.6,0,1,Rainy,Peaty,West,132,72,94,7.3,1654.8
Wheat,892.3,26.6,0,1,Windy,Silty,West,98,52,45,6.5,2874.3
Barley,374.6,21.4,1,1,Windy,Peaty,West,89,92,59,5.11,2335.7
Wheat,669.5,20.7,1,1,Windy,Clay,Central,108,25,102,6.21,2695.1
Rice,926.9,19.4,1,1,Windy,Loamy,West,127,81,71,6.34,3471.9
Sugarcane,920.2,36.8,0,0,Cloudy,Chalky,North,68,85,90,7.09,4720.4
Barley,609.2,33.0,1,1,Sunny,Clay,West,132,28,103,4.84,2898.6
Rice,529.8,19.3,0,1,Cloudy,Clay,Central,129,86,106,6.53,3090.5
Sorghum,574.6,28.3,0,1,Windy,Sandy,West,106,35,77,6.91,1532.0
Sugarcane,833.7,34.3,0,0,Cloudy,Sandy,East,41,74,91,5.97,4450.4
Wheat,1538.9,26.8,1,0,Windy,Sandy,East,64,59,113,6.56,2566.3
Rice,1218.1,24.1,0,1,Stormy,Chalky,Central,58,45,93,6.0,2693.0
Sorghum,964.3,40.4,1,1,Sunny,Sandy,North,79,57,86,5.92,2065.5
Barley,1066.2,15.6,1,0,Stormy,Peaty,North,41,54,97,6.17,2013.0
Barley,1204.8,42.8,1,0,Rainy,Silty,South,122,87,75,5.93,2560.3
Soybean,1102.7,27.4,1,0,Cloudy,Loamy,Central,104,78,57,7.05,2453.5
Sorghum,807.5,34.7,1,0,Rainy,Clay,West,101,33,106,5.91,2123.7
Cotton,646.3,19.8,0,1,Cloudy,Peaty,Central,130,66,32,5.78,1383.0
Maize,862.4,22.6,0,0,Stormy,Loamy,South,93,90,66,7.91,2594.6
Sugarcane,1201.3,20.5,0,1,Windy,Peaty,Central,84,91,77,7.27,5235.4
Sorghum,818.9,26.4,0,1,Windy,Peaty,Central,88,61,48,5.01,1603.1
Soybean,568.6,28.8,0,0,Cloudy,Clay,South,138,70,112,5.89,1994.9
Maize,383.0,33.4,1,0,Windy,Silty,North,108,38,46,6.69,2822.1
Maize,863.7,16.7,1,0,Stormy,Sandy,West,77,85,111,6.76,2468.2
Rice,592.3,27.9,0,0,Windy,Chalky,South,43,66,111,5.31,2552.3
Maize,769.0,32.4,0,1,Stormy,Silty,East,56,84,116,7.43,2693.3
Cotton,1336.9,33.5,0,1,Rainy,Chalky,North,92,61,69,7.16,1659.4
Barley,883.8,24.4,1,1,Stormy,Clay,East,124,57,79,6.89,2517.6
Soybean,674.9,24.4,1,0,Sunny,Clay,North,92,32,102,7.59,2165.4
Maize,992.6,26.4,1,1,Sunny,Clay,West,70,63,58,6.86,3421.1
Rice,1476.3,28.1,0,0,Sunny,Loamy,West,61,43,80,6.86,3260.2
Cotton,863.8,34.8,0,1,Cloudy,Chalky,Central,50,49,71,7.75,1260.9
Wheat,193.3,19.7,0,0,Cloudy,Silty,East,73,89,58,7.38,2096.4
Barley,1095.0,22.3,0,1,Cloudy,Silty,North,54,57,95,5.83,2526.3
Barley,1003.9,19.0,1,1,Stormy,Peaty,West,49,42,46,7.01,2113.5
Soybean,927.0,29.6,0,0,Cloudy,Peaty,South,135,93,60,5.97,1918.2
Barley,834.2,33.6,0,1,Rainy,Peaty,West,92,76,81,6.9,2250.9
Maize,657.8,18.5,0,1,Sunny,Clay,South,87,98,68,6.88,2714.6
Rice,1354.5,27.5,1,0,Stormy,Silty,North,70,42,89,5.39,3139.2
Barley,348.5,33.2,1,0,Sunny,Chalky,West,76,55,80,6.4,2050.1
Barley,807.3,31.7,0,0,Cloudy,Clay,West,67,76,113,6.71,2099.4
Wheat,800.3,31.6,1,0,Stormy,Loamy,North,70,20,45,6.15,2248.5
Wheat,1156.0,19.9,1,0,Windy,Peaty,West,109,91,43,6.75,2234.3
Sugarcane,1270.7,31.6,1,1,Rainy,Clay,South,53,22,119,7.14,5765.5
Cotton,832.0,25.9,1,0,Cloudy,Clay,West,126,33,113,6.48,1719.5
Maize,957.9,33.4,1,1,Cloudy,Loamy,East,55,53,71,6.68,3359.5
Barley,983.4,29.7,0,1,Rainy,Sandy,Central,64,89,80,7.61,2213.0
Sorghum,1216.0,22.1,0,0,Rainy,Silty,South,78,88,53,6.88,2058.8
Barley,1209.8,28.7,0,1,Windy,Chalky,East,105,70,111,6.66,2077.5
Rice,738.5,31.9,1,1,Cloudy,Sandy,North,77,48,72,5.73,3017.2
Sugarcane,1031.4,24.0,1,0,Cloudy,Peaty,South,80,67,102,7.04,5275.1
Cotton,1015.0,27.8,1,1,Sunny,Clay,Central,137,98,48,6.76,2113.9
Sorghum,865.2,19.0,1,0,Stormy,Loamy,Central,79,98,113,7.53,1957.6
Sugarcane,1012.1,30.3,0,0,Stormy,Loamy,North,103,35,90,6.54,4959.7
Soybean,906.1,26.7,0,0,Sunny,Silty,North,128,76,92,5.05,2129.6
Cotton,947.4,32.5,0,1,Stormy,Sandy,South,139,29,55,5.14,1007.8
Barley,493.2,30.1,0,1,Rainy,Silty,West,55,38,64,7.09,2705.8
Barley,624.6,24.6,0,1,Stormy,Clay,North,121,86,96,6.04,1982.5
Cotton,1145.3,21.9,0,1,Stormy,Silty,West,116,55,85,6.85,1646.6
Barley,536.8,20.5,1,0,Sunny,Chalky,East,98,23,69,6.59,2386.9
Maize,1041.0,24.0,1,1,Windy,Loamy,Central,130,94,58,6.37,3530.0
Cotton,875.6,32.3,0,0,Stormy,Loamy,West,137,52,35,6.42,1229.2
Sugarcane,1209.2,16.5,1,1,Stormy,Peaty,Central,50,47,81,5.81,5050.8
Cotton,1094.6,20.8,0,1,Windy,Peaty,West,40,99,30,6.49,1225.7
Sorghum,764.0,32.2,0,1,Sunny,Clay,East,52,28,81,6.03,2150.4
Barley,833.0,35.0,1,1,Windy,Chalky,North,69,94,53,6.2,2290.0
Maize,304.3,21.1,0,1,Sunny,Sandy,East,108,25,63,6.24,2568.6
Maize,860.9,20.7,0,0,Rainy,Silty,North,57,68,36,6.32,2626.8
Soybean,519.0,35.4,0,1,Sunny,Clay,North,117,95,104,7.24,1977.0
Sugarcane,834.4,26.3,1,1,Rainy,Peaty,Central,52,41,40,6.4,5552.1
Wheat,708.6,21.6,1,1,Rainy,Silty,East,71,67,65,7.32,2949.2
Wheat,637.0,33.3,1,1,Sunny,Peaty,West,110,40,49,7.73,2731.8
Cotton,1256.3,30.0,1,0,Cloudy,Silty,East,111,52,92,7.18,1827.5
Soybean,517.1,31.4,0,1,Sunny,Sandy,Central,89,75,109,6.93,1739.6
Rice,611.1,21.9,1,0,Stormy,Clay,North,110,48,92,6.76,2976.1
Cotton,690.5,29.2,1,1,Stormy,Silty,Central,119,72,98,7.19,1776.6
Soybean,755.7,34.5,1,0,Cloudy,Chalky,South,70,59,117,6.57,1998.5
Sugarcane,637.0,30.8,0,0,Rainy,Loamy,South,90,93,59,7.29,5114.1
Sugarcane,792.3,32.5,1,0,Cloudy,Chalky,West,66,37,59,6.99,4905.3
Sugarcane,990.6,35.4,1,0,Stormy,Chalky,Central,99,66,113,6.21,4878.0
Sugarcane,1101.0,29.6,0,0,Cloudy,Loamy,West,72,32,51,7.22,5273.3
Sugarcane,1086.4,23.6,0,1,Sunny,Chalky,West,92,46,90,6.57,5281.4
Soybean,327.5,32.3,0,0,Cloudy,Silty,South,132,81,50,6.42,1838.8
Soybean,1014.1,20.4,0,1,Rainy,Silty,West,111,93,66,6.12,2484.3
Maize,1032.6,25.7,1,0,Sunny,Silty,South,72,64,56,6.63,3400.3
Sorghum,701.3,30.5,0,0,Windy,Loamy,North,80,22,64,7.3,1709.3
Wheat,1400.3,10.0,1,1,Stormy,Chalky,Central,58,41,67,7.21,2176.4
Barley,1226.3,28.5,1,0,Stormy,Loamy,West,124,46,89,6.78,2621.6
Sugarcane,845.1,28.8,1,0,Cloudy,Silty,South,80,74,99,6.98,5316.1
Rice,721.2,20.2,1,0,Sunny,Chalky,East,124,86,61,7.52,3128.1
Barley,1395.4,29.0,1,0,Windy,Chalky,West,128,52,109,6.38,2258.0
Soybean,894.3,28.1,0,1,Sunny,Peaty,North,81,21,109,5.61,1823.9
Rice,925.5,27.2,1,0,Stormy,Peaty,North,62,94,56,7.54,2941.1
Rice,921.7,34.1,1,0,Sunny,Sandy,East,114,65,32,6.08,2680.8
Rice,1590.9,32.3,1,1,Windy,Clay,South,72,93,78,5.95,3228.1
Maize,835.0,30.8,0,1,Cloudy,Peaty,West,59,52,114,5.06,2828.7
Soybean,892.9,20.9,1,0,Rainy,Loamy,South,64,77,59,6.96,2453.0
Rice,650.7,26.9,1,0,Sunny,Peaty,North,129,26,51,5.2,3038.4
Sugarcane,783.2,34.1,0,1,Rainy,Sandy,South,91,34,48,5.9,5053.8
Cotton,590.6,25.7,1,0,Stormy,Chalky,North,51,45,60,6.97,627.0
Rice,656.8,36.3,1,1,Cloudy,Sandy,South,71,30,49,7.08,3165.1
Maize,357.0,31.0,0,0,Cloudy,Chalky,East,72,57,48,5.98,2282.2
Barley,1164.5,37.3,1,1,Sunny,Chalky,Central,113,46,31,6.39,2511.3
Soybean,947.0,20.6,1,1,Cloudy,Clay,East,107,26,69,5.8,2439.0
Sorghum,971.7,26.1,1,1,Sunny,Peaty,East,54,20,68,6.06,2337.5
Maize,884.3,26.6,1,0,Sunny,Loamy,Central,90,93,101,6.71,3316.9
Rice,921.5,30.6,1,0,Rainy,Loamy,Central,45,40,83,6.1,3080.3
Soybean,1385.7,22.6,0,0,Cloudy,Silty,West,130,98,56,6.3,2552.6
Cotton,669.4,17.4,0,0,Sunny,Chalky,West,108,49,108,5.33,1340.1
Rice,983.5,29.3,0,1,Rainy,Loamy,East,108,27,41,7.41,3213.4
Maize,981.9,24.8,1,1,Windy,Clay,East,121,22,107,6.91,3153.4
Wheat,1242.6,24.2,1,1,Rainy,Chalky,North,131,74,100,7.13,2845.1
Sugarcane,1031.6,22.8,1,0,Rainy,Clay,North,74,34,46,7.53,5520.5
Sorghum,1046.7,27.7,0,0,Sunny,Loamy,West,125,55,119,5.84,1874.1
Barley,522.5,20.5,1,0,Stormy,Loamy,West,73,25,113,6.21,2002.9
Maize,657.3,25.8,1,1,Stormy,Silty,North,102,61,39,4.98,2742.4
Soybean,549.9,22.0,1,0,Stormy,Loamy,North,107,69,48,8.5,1911.9
Sorghum,157.2,23.3,0,0,Rainy,Chalky,South,57,37,111,6.38,1289.9
Sorghum,1019.2,29.1,0,1,Sunny,Chalky,South,65,69,59,7.33,1928.9
Sorghum,821.5,30.9,1,1,Cloudy,Chalky,North,125,49,59,5.51,2022.9
Rice,1019.7,25.2,1,0,Rainy,Silty,South,136,96,54,7.3,3413.1
Sugarcane,910.6,32.8,1,1,Rainy,Silty,Central,100,58,117,7.99,5843.0
Rice,972.1,21.2,0,0,Sunny,Loamy,West,117,31,103,6.45,3253.6
Soybean,1301.4,17.9,0,1,Windy,Sandy,West,134,78,95,5.69,2073.0
Rice,902.2,19.0,0,1,Rainy,Sandy,North,113,95,64,6.39,3021.6
Wheat,1100.7,20.5,1,1,Windy,Silty,East,127,63,80,4.72,2840.3
Sugarcane,809.3,19.1,0,0,Windy,Loamy,North,124,23,100,6.47,4980.4
Sugarcane,1147.4,39.1,1,0,Stormy,Sandy,South,87,55,100,7.16,4872.9
Soybean,528.1,17.7,1,0,Sunny,Loamy,East,111,67,56,6.47,1987.0
Barley,348.7,32.6,0,1,Windy,Loamy,South,135,33,39,6.27,2286.1
Wheat,1532.0,26.8,1,1,Sunny,Loamy,Central,70,68,72,6.92,3349.4
Maize,1450.9,28.3,0,1,Stormy,Peaty,South,73,86,84,6.98,2701.9
Rice,316.3,21.6,1,1,Sunny,Chalky,Central,126,96,100,5.17,3184.3
Cotton,889.2,29.0,1,0,Rainy,Loamy,Central,128,28,35,6.57,1573.7
Rice,945.0,21.5,0,0,Windy,Peaty,South,46,40,35,8.45,2461.0
Sorghum,1116.9,32.5,1,0,Sunny,Silty,South,122,91,106,5.43,2707.3
Rice,1421.8,33.0,1,1,Cloudy,Sandy,Central,46,35,77,6.43,3304.0
Maize,581.6,26.2,1,1,Sunny,Chalky,East,86,35,106,8.05,2980.4
Rice,597.7,26.6,1,0,Windy,Sandy,Central,47,47,31,7.38,2731.4
Wheat,899.6,29.6,1,1,Stormy,Chalky,West,117,70,112,6.09,2434.6
Wheat,610.9,29.3,1,0,Stormy,Sandy,Central,40,75,80,6.66,2069.1
Sugarcane,100.0,33.1,1,1,Windy,Chalky,East,116,99,90,6.5,4962.9
Soybean,831.8,33.0,1,1,Rainy,Sandy,West,42,76,48,5.9,2281.1
Barley,1157.3,26.8,0,0,Rainy,Sandy,North,92,71,31,6.44,2337.0
Cotton,893.9,24.1,0,0,Stormy,Sandy,North,131,65,80,6.28,1128.6
Sorghum,1087.2,31.9,1,1,Stormy,Sandy,East,77,97,55,6.59,2248.8
Rice,1044.3,26.1,1,0,Windy,Silty,Central,90,57,99,5.9,3165.9
Rice,591.9,27.7,0,0,Rainy,Loamy,South,54,67,49,5.48,3261.1
Maize,920.4,30.2,1,1,Stormy,Clay,East,139,60,52,6.47,2908.0
Soybean,442.5,32.9,0,1,Rainy,Peaty,West,106,78,83,7.87,2019.7
Wheat,746.4,28.6,0,1,Stormy,Clay,West,103,86,44,6.57,2363.1
Cotton,915.1,23.5,0,0,Sunny,Clay,North,107,93,35,6.23,1465.3
Sugarcane,899.7,37.8,1,1,Cloudy,Chalky,West,44,85,64,7.1,5191.1
Wheat,512.7,36.2,1,1,Sunny,Loamy,East,129,46,104,6.37,3130.7
Sorghum,573.3,20.9,1,1,Stormy,Chalky,West,128,51,37,7.99,1605.7
Soybean,987.3,21.5,0,1,Cloudy,Loamy,East,49,75,86,6.5,2518.1
Sorghum,1148.2,22.3,0,1,Cloudy,Loamy,South,47,29,79,7.06,1973.0
