farm_id,region,crop_type,yield_kg_per_hectare,rainfall_mm,temperature_C,pesticide_usage_ml,soil_pH,soil_moisture_%,humidity_%,sunlight_hours,total_days,sowing_date,harvest_date,irrigation_type,fertilizer_type,crop_disease_status,NDVI_index
FARM00035,Albania,Wheat,2174.1,1485.0,15.64,31396.0,7.09,44.31,62.31,6.59,134,1996-01-15,1996-05-15,Sprinkler,NPK 15-15-15,None,0.52
FARM00036,Albania,Maize,3186.2,1485.0,15.9,37693.0,6.07,45.29,66.23,7.71,120,1997-01-15,1997-05-15,Drip,NPK 15-15-15,None,0.58
FARM00037,Albania,Potatoes,10987.4,1485.0,15.9,37693.0,5.87,47.41,61.1,7.02,103,1997-01-15,1997-05-15,Drip,NPK 15-15-15,None,0.8
FARM00038,Albania,Soybeans,1276.8,1485.0,15.9,37693.0,5.91,51.04,64.38,7.28,120,1997-01-15,1997-05-15,Sprinkler,Urea,None,0.34
FARM00039,Albania,Wheat,2851.6,1485.0,15.9,37693.0,6.34,40.76,59.43,5.11,133,1997-01-15,1997-05-15,Sprinkler,Urea,None,0.58
FARM00040,Albania,Maize,3341.6,1485.0,16.27,43989.0,6.57,46.73,65.1,6.09,118,1998-01-15,1998-05-15,Drip,Urea,None,0.61
FARM00041,Albania,Potatoes,12721.2,1485.0,16.27,43989.0,6.06,33.68,64.45,7.2,105,1998-01-15,1998-05-15,Sprinkler,Urea,None,0.8
FARM00042,Albania,Soybeans,1432.7,1485.0,16.27,43989.0,6.66,44.86,66.39,5.99,109,1998-01-15,1998-05-15,Flood,NPK 15-15-15,None,0.45
FARM00043,Albania,Wheat,2803.7,1485.0,16.27,43989.0,6.76,51.58,66.06,6.54,142,1998-01-15,1998-05-15,Sprinkler,NPK 15-15-15,None,0.59
FARM00044,Albania,Maize,3745.5,1485.0,16.57,50286.0,6.39,42.58,64.16,7.76,120,1999-01-15,1999-05-15,Drip,Urea,None,0.61
FARM00045,Albania,Potatoes,14201.8,1485.0,16.57,50286.0,5.28,47.1,72.2,7.43,106,1999-01-15,1999-05-15,Sprinkler,NPK 15-15-15,None,0.82
FARM00046,Albania,Soybeans,1714.3,1485.0,16.57,50286.0,6.35,43.57,63.97,7.95,118,1999-01-15,1999-05-15,Drip,NPK 15-15-15,None,0.39
FARM00047,Albania,Wheat,2495.4,1485.0,16.57,50286.0,6.64,41.92,64.2,7.03,144,1999-01-15,1999-05-15,Drip,NPK 15-15-15,None,0.54
FARM00048,Albania,Maize,3881.1,1485.0,16.67,56582.0,6.87,51.07,63.65,6.47,110,2000-01-15,2000-05-15,Drip,Organic Compost,None,0.6
FARM00049,Albania,Potatoes,14122.8,1485.0,16.67,56582.0,5.92,40.99,64.8,8.14,106,2000-01-15,2000-05-15,Sprinkler,NPK 15-15-15,None,0.84
FARM00050,Albania,Soybeans,1500.0,1485.0,16.67,56582.0,5.98,47.68,62.85,7.05,115,2000-01-15,2000-05-15,Drip,NPK 15-15-15,None,0.47
FARM00051,Albania,Wheat,3045.5,1485.0,16.67,56582.0,6.91,47.76,62.52,6.16,131,2000-01-15,2000-05-15,Sprinkler,DAP,None,0.64
FARM00052,Albania,Maize,3813.5,1485.0,16.59,62879.0,6.37,41.96,67.04,8.32,124,2001-01-15,2001-05-15,Drip,NPK 15-15-15,None,0.57
FARM00053,Albania,Potatoes,14881.8,1485.0,16.59,62879.0,5.56,46.99,63.84,7.07,118,2001-01-15,2001-05-15,Rainfed,Organic Compost,None,0.83
FARM00054,Albania,Soybeans,2000.0,1485.0,16.59,62879.0,6.81,41.54,68.25,7.8,117,2001-01-15,2001-05-15,Drip,Urea,None,0.52
FARM00055,Albania,Wheat,2822.0,1485.0,16.59,62879.0,7.16,48.82,56.45,7.25,133,2001-01-15,2001-05-15,Drip,NPK 15-15-15,None,0.63
FARM00056,Albania,Maize,3946.0,1485.0,16.47,69175.0,6.83,39.64,70.18,7.8,110,2002-01-15,2002-05-15,Drip,NPK 15-15-15,None,0.61
FARM00057,Albania,Potatoes,15386.8,1485.0,16.47,69175.0,5.51,44.52,67.67,7.53,103,2002-01-15,2002-05-15,Drip,Organic Compost,None,0.83
FARM00058,Albania,Soybeans,2000.0,1485.0,16.47,69175.0,6.49,44.95,63.88,6.77,106,2002-01-15,2002-05-15,Sprinkler,Organic Compost,None,0.46
FARM00059,Albania,Wheat,3161.7,1485.0,16.47,69175.0,6.92,51.78,63.78,6.72,139,2002-01-15,2002-05-15,Flood,Urea,None,0.6
FARM00060,Albania,Maize,4619.7,1485.0,16.16,81768.0,6.84,46.91,66.81,7.59,116,2004-01-15,2004-05-15,Sprinkler,NPK 15-15-15,None,0.61
FARM00061,Albania,Potatoes,14934.6,1485.0,16.16,81768.0,5.63,50.99,60.14,7.11,100,2004-01-15,2004-05-15,Sprinkler,Organic Compost,None,0.78
FARM00062,Albania,Soybeans,1333.3,1485.0,16.16,81768.0,6.54,48.99,64.4,7.01,111,2004-01-15,2004-05-15,Rainfed,Organic Compost,None,0.46
FARM00063,Albania,Wheat,3113.0,1485.0,16.16,81768.0,6.41,48.96,64.87,6.67,144,2004-01-15,2004-05-15,Sprinkler,NPK 15-15-15,None,0.62
FARM00064,Albania,Maize,4544.2,1485.0,15.67,88064.0,6.08,44.55,56.31,6.8,123,2005-01-15,2005-05-15,Rainfed,Organic Compost,None,0.66
FARM00065,Albania,Potatoes,16706.1,1485.0,15.67,88064.0,6.08,51.32,65.88,5.81,101,2005-01-15,2005-05-15,Sprinkler,Organic Compost,None,0.81
FARM00066,Albania,Soybeans,1750.0,1485.0,15.67,88064.0,7.07,44.43,59.08,7.42,114,2005-01-15,2005-05-15,Drip,DAP,None,0.39
FARM00067,Albania,Wheat,3158.2,1485.0,15.67,88064.0,6.77,37.57,68.82,6.5,141,2005-01-15,2005-05-15,Sprinkler,NPK 15-15-15,None,0.63
FARM00068,Albania,Maize,5011.1,1485.0,15.92,94361.0,6.85,45.14,69.72,7.1,129,2006-01-15,2006-05-15,Sprinkler,NPK 15-15-15,None,0.66
FARM00069,Albania,Potatoes,17074.5,1485.0,15.92,94361.0,5.93,48.48,70.41,6.96,103,2006-01-15,2006-05-15,Drip,DAP,None,0.87
FARM00070,Albania,Soybeans,2000.0,1485.0,15.92,94361.0,6.37,38.18,63.08,7.17,124,2006-01-15,2006-05-15,Drip,NPK 15-15-15,None,0.49
FARM00071,Albania,Wheat,3078.7,1485.0,15.92,94361.0,6.93,41.79,63.02,7.04,133,2006-01-15,2006-05-15,Sprinkler,Organic Compost,None,0.61
FARM00072,Albania,Maize,4673.2,1485.0,16.67,100657.0,7.04,40.06,56.08,7.38,124,2007-01-15,2007-05-15,Drip,Organic Compost,Moderate,0.66
FARM00073,Albania,Potatoes,18890.2,1485.0,16.67,100657.0,5.79,50.15,66.71,6.31,118,2007-01-15,2007-05-15,Sprinkler,NPK 15-15-15,None,0.83
FARM00074,Albania,Soybeans,2000.0,1485.0,16.67,100657.0,7.15,54.58,57.96,6.96,108,2007-01-15,2007-05-15,Sprinkler,NPK 15-15-15,None,0.47
FARM00075,Albania,Wheat,3549.6,1485.0,16.67,100657.0,5.88,45.17,58.19,7.04,131,2007-01-15,2007-05-15,Flood,NPK 15-15-15,None,0.62
FARM00076,Albania,Maize,5000.0,1485.0,16.71,106954.0,6.79,48.87,62.76,6.33,116,2008-01-15,2008-05-15,Drip,NPK 15-15-15,None,0.69
FARM00077,Albania,Potatoes,19387.8,1485.0,16.71,106954.0,5.83,48.74,59.55,6.23,117,2008-01-15,2008-05-15,Flood,Urea,None,0.82
FARM00078,Albania,Soybeans,2000.0,1485.0,16.71,106954.0,6.5,53.98,60.12,6.56,120,2008-01-15,2008-05-15,Drip,Organic Compost,None,0.51
FARM00079,Albania,Wheat,4016.8,1485.0,16.71,106954.0,6.83,42.95,64.16,7.15,131,2008-01-15,2008-05-15,Flood,Urea,None,0.61
FARM00080,Albania,Maize,5569.3,1485.0,16.73,113250.0,5.8,45.11,67.49,6.15,119,2009-01-15,2009-05-15,Drip,Urea,Mild,0.66
FARM00081,Albania,Potatoes,21978.0,1485.0,16.73,113250.0,5.72,44.51,66.12,7.77,119,2009-01-15,2009-05-15,Flood,Urea,Moderate,0.89
FARM00082,Albania,Soybeans,1666.7,1485.0,16.73,113250.0,6.72,46.59,64.72,6.53,125,2009-01-15,2009-05-15,Sprinkler,Urea,None,0.46
FARM00083,Albania,Wheat,4022.9,1485.0,16.73,113250.0,7.32,58.74,68.55,7.01,134,2009-01-15,2009-05-15,Drip,Urea,None,0.67
FARM00084,Albania,Maize,6679.0,1485.0,16.52,131117.0,6.32,46.37,64.58,7.55,112,2010-01-15,2010-05-15,Drip,NPK 15-15-15,Mild,0.81
FARM00085,Albania,Potatoes,23111.1,1485.0,16.52,131117.0,5.52,41.94,61.96,5.84,100,2010-01-15,2010-05-15,Drip,Organic Compost,None,0.87
FARM00086,Albania,Soybeans,1666.7,1485.0,16.52,131117.0,6.42,40.44,60.98,8.11,114,2010-01-15,2010-05-15,Rainfed,NPK 15-15-15,None,0.46
FARM00087,Albania,Wheat,3990.5,1485.0,16.52,131117.0,7.12,52.48,66.27,6.31,145,2010-01-15,2010-05-15,Rainfed,NPK 15-15-15,None,0.64
FARM00088,Albania,Maize,5986.9,1485.0,16.45,130263.0,6.62,41.92,59.7,8.08,119,2011-01-15,2011-05-15,Drip,Urea,None,0.67
FARM00089,Albania,Potatoes,24221.1,1485.0,16.45,130263.0,5.61,49.53,65.5,7.43,120,2011-01-15,2011-05-15,Drip,Organic Compost,None,0.8
FARM00090,Albania,Soybeans,1851.9,1485.0,16.45,130263.0,6.78,42.82,62.39,5.57,117,2011-01-15,2011-05-15,Drip,NPK 15-15-15,None,0.46
FARM00091,Albania,Wheat,4230.1,1485.0,16.45,130263.0,6.83,39.88,60.75,6.89,134,2011-01-15,2011-05-15,Sprinkler,NPK 15-15-15,None,0.67
FARM00092,Albania,Maize,6729.0,1485.0,16.7,76625.0,6.84,49.24,60.55,6.39,113,2012-01-15,2012-05-15,Sprinkler,Urea,None,0.67
FARM00093,Albania,Potatoes,25053.8,1485.0,16.7,76625.0,5.55,43.06,67.84,8.33,116,2012-01-15,2012-05-15,Rainfed,NPK 15-15-15,None,0.88
FARM00094,Albania,Soybeans,1333.3,1485.0,16.7,76625.0,6.49,48.34,60.54,7.18,112,2012-01-15,2012-05-15,Drip,Organic Compost,Mild,0.37
FARM00095,Albania,Wheat,4109.6,1485.0,16.7,76625.0,6.66,48.71,62.86,5.46,137,2012-01-15,2012-05-15,Sprinkler,Organic Compost,None,0.62
FARM00096,Albania,Maize,6953.3,1485.0,17.41,98232.0,5.99,48.95,61.75,8.02,120,2013-01-15,2013-05-15,Sprinkler,Urea,None,0.74
FARM00097,Albania,Potatoes,26011.0,1485.0,17.41,98232.0,5.9,44.87,67.86,7.45,103,2013-01-15,2013-05-15,Drip,NPK 15-15-15,None,0.89
FARM00098,Albania,Soybeans,1000.0,1485.0,17.41,98232.0,6.69,49.65,69.77,7.35,123,2013-01-15,2013-05-15,Sprinkler,NPK 15-15-15,None,0.43
FARM00099,Albania,Wheat,4129.2,1485.0,17.41,98232.0,6.8,41.6,67.26,7.03,142,2013-01-15,2013-05-15,Sprinkler,Urea,None,0.69
FARM00100,Algeria,Maize,1650.0,89.0,17.48,182892.0,6.42,15.0,45.8,7.27,120,1990-01-15,1990-05-15,Sprinkler,Urea,None,0.5
FARM00101,Algeria,Potatoes,7893.6,89.0,17.48,182892.0,5.3,29.81,48.67,9.68,115,1990-01-15,1990-05-15,Sprinkler,NPK 15-15-15,Moderate,0.73
FARM00102,Algeria,"Rice, paddy",2800.0,89.0,17.48,182892.0,6.35,27.1,43.66,8.22,116,1990-01-15,1990-05-15,Drip,NPK 15-15-15,None,0.48
FARM00103,Algeria,Sorghum,1657.1,89.0,17.48,182892.0,6.58,23.22,48.14,9.56,133,1990-01-15,1990-05-15,Drip,Organic Compost,None,0.43
FARM00104,Algeria,Wheat,631.5,89.0,17.48,182892.0,6.52,18.92,40.27,8.42,133,1990-01-15,1990-05-15,Sprinkler,NPK 15-15-15,None,0.35
FARM00105,Algeria,Maize,1923.1,89.0,16.26,246180.0,6.44,16.09,48.85,8.26,123,1991-01-15,1991-05-15,Drip,DAP,None,0.5
FARM00106,Algeria,Potatoes,9074.7,89.0,16.26,246180.0,5.94,26.53,47.69,7.03,115,1991-01-15,1991-05-15,Sprinkler,Urea,None,0.75
FARM00107,Algeria,"Rice, paddy",2678.6,89.0,16.26,246180.0,7.16,34.52,49.67,7.84,110,1991-01-15,1991-05-15,Sprinkler,NPK 15-15-15,None,0.58
FARM00108,Algeria,Sorghum,2423.1,89.0,16.26,246180.0,6.76,25.58,47.86,9.47,134,1991-01-15,1991-05-15,Sprinkler,NPK 15-15-15,None,0.56
FARM00109,Algeria,Wheat,1080.9,89.0,16.26,246180.0,6.89,24.46,51.25,8.99,142,1991-01-15,1991-05-15,Drip,Urea,None,0.39
FARM00110,Algeria,Maize,2282.8,89.0,16.27,121547.0,6.47,26.15,44.85,8.83,122,1992-01-15,1992-05-15,Sprinkler,Urea,None,0.53
FARM00111,Algeria,Potatoes,10791.7,89.0,16.27,121547.0,5.13,37.17,50.93,8.88,113,1992-01-15,1992-05-15,Flood,Urea,None,0.78
FARM00112,Algeria,"Rice, paddy",2473.3,89.0,16.27,121547.0,6.49,30.03,49.79,8.41,126,1992-01-15,1992-05-15,Sprinkler,Urea,None,0.53
FARM00113,Algeria,Sorghum,4000.0,89.0,16.27,121547.0,6.72,21.6,52.26,8.04,124,1992-01-15,1992-05-15,Drip,Urea,None,0.57
FARM00114,Algeria,Wheat,993.9,89.0,16.27,121547.0,7.66,26.41,52.53,7.77,149,1992-01-15,1992-05-15,Sprinkler,Organic Compost,None,0.42
FARM00115,Algeria,Maize,1250.0,89.0,17.0,102189.0,6.43,27.93,43.73,8.04,121,1993-01-15,1993-05-15,Sprinkler,Organic Compost,None,0.43
FARM00116,Algeria,Potatoes,11121.5,89.0,17.0,102189.0,5.91,20.99,49.61,8.52,105,1993-01-15,1993-05-15,Sprinkler,NPK 15-15-15,None,0.76
FARM00117,Algeria,"Rice, paddy",2311.1,89.0,17.0,102189.0,6.49,30.07,42.88,7.79,118,1993-01-15,1993-05-15,Drip,NPK 15-15-15,None,0.52
FARM00118,Algeria,Sorghum,5000.0,89.0,17.0,102189.0,6.29,22.18,52.18,8.42,122,1993-01-15,1993-05-15,Sprinkler,NPK 15-15-15,None,0.65
FARM00119,Algeria,Wheat,809.7,89.0,17.0,102189.0,7.2,18.72,44.13,8.47,148,1993-01-15,1993-05-15,Drip,NPK 15-15-15,None,0.42
FARM00120,Algeria,Maize,451.2,89.0,17.88,125502.0,6.76,26.65,45.58,8.27,126,1994-01-15,1994-05-15,Drip,Urea,None,0.32
FARM00121,Algeria,Potatoes,9507.8,89.0,17.88,125502.0,6.08,25.86,47.97,7.1,118,1994-01-15,1994-05-15,Sprinkler,NPK 15-15-15,None,0.75
FARM00122,Algeria,"Rice, paddy",2137.4,89.0,17.88,125502.0,6.18,26.27,50.05,7.57,119,1994-01-15,1994-05-15,Sprinkler,Organic Compost,None,0.48
FARM00123,Algeria,Wheat,799.9,89.0,17.88,125502.0,7.29,22.45,48.58,8.28,138,1994-01-15,1994-05-15,Sprinkler,Urea,Moderate,0.4
FARM00124,Algeria,Maize,1611.5,89.0,17.36,269709.0,6.01,23.15,50.42,6.7,111,1995-01-15,1995-05-15,Rainfed,Urea,None,0.47
FARM00125,Algeria,Potatoes,13676.8,89.0,17.36,269709.0,6.01,31.91,47.41,9.23,108,1995-01-15,1995-05-15,Drip,NPK 15-15-15,None,0.82
FARM00126,Algeria,"Rice, paddy",1959.8,89.0,17.36,269709.0,7.27,28.48,48.33,9.45,126,1995-01-15,1995-05-15,Drip,Urea,None,0.44
FARM00127,Algeria,Sorghum,1266.7,89.0,17.36,269709.0,6.35,21.49,40.29,9.09,116,1995-01-15,1995-05-15,Drip,NPK 15-15-15,None,0.43
FARM00128,Algeria,Wheat,892.4,89.0,17.36,269709.0,6.6,16.52,51.46,8.64,150,1995-01-15,1995-05-15,Flood,Urea,None,0.37
FARM00129,Algeria,Maize,1715.4,89.0,16.76,47977.0,6.53,21.7,46.49,7.42,124,1996-01-15,1996-05-15,Sprinkler,NPK 15-15-15,None,0.49
FARM00130,Algeria,Potatoes,13462.9,89.0,16.76,47977.0,5.62,27.06,45.94,8.66,107,1996-01-15,1996-05-15,Sprinkler,NPK 15-15-15,None,0.74
FARM00131,Algeria,"Rice, paddy",1786.1,89.0,16.76,47977.0,5.96,23.11,55.41,9.53,127,1996-01-15,1996-05-15,Drip,Urea,None,0.49
FARM00132,Algeria,Sorghum,1475.0,89.0,16.76,47977.0,6.72,22.72,36.82,7.5,122,1996-01-15,1996-05-15,Sprinkler,NPK 15-15-15,None,0.47
FARM00133,Algeria,Wheat,1309.0,89.0,16.76,47977.0,6.43,23.33,48.04,10.45,148,1996-01-15,1996-05-15,Drip,Urea,None,0.39
FARM00134,Algeria,Maize,2141.7,89.0,17.84,40122.0,6.67,25.91,38.16,9.07,123,1997-01-15,1997-05-15,Drip,NPK 15-15-15,None,0.58
FARM00135,Algeria,Potatoes,14104.2,89.0,17.84,40122.0,5.48,30.19,48.48,7.56,102,1997-01-15,1997-05-15,Rainfed,DAP,None,0.75
FARM00136,Algeria,"Rice, paddy",1500.0,89.0,17.84,40122.0,7.04,26.27,44.32,7.6,125,1997-01-15,1997-05-15,Rainfed,Organic Compost,None,0.45
FARM00137,Algeria,Sorghum,4000.0,89.0,17.84,40122.0,6.43,26.58,35.38,8.01,133,1997-01-15,1997-05-15,Sprinkler,Urea,None,0.57
FARM00138,Algeria,Wheat,801.6,89.0,17.84,40122.0,6.69,25.15,51.47,8.37,138,1997-01-15,1997-05-15,Flood,Organic Compost,None,0.32
FARM00139,Algeria,Maize,1722.2,89.0,17.14,32284.0,6.78,23.77,42.31,8.11,126,1998-01-15,1998-05-15,Drip,NPK 15-15-15,None,0.44
FARM00140,Algeria,Potatoes,16025.6,89.0,17.14,32284.0,5.37,30.74,51.26,6.17,105,1998-01-15,1998-05-15,Rainfed,NPK 15-15-15,Mild,0.88
FARM00141,Algeria,"Rice, paddy",1500.0,89.0,17.14,32284.0,6.58,29.98,43.57,7.37,118,1998-01-15,1998-05-15,Sprinkler,NPK 15-15-15,Mild,0.43
FARM00142,Algeria,Sorghum,2450.0,89.0,17.14,32284.0,7.16,36.5,45.61,8.41,134,1998-01-15,1998-05-15,Flood,Organic Compost,None,0.56
FARM00143,Algeria,Wheat,884.7,89.0,17.14,32284.0,6.24,29.32,38.33,8.56,144,1998-01-15,1998-05-15,Sprinkler,Urea,None,0.4
FARM00144,Algeria,Maize,2237.5,89.0,17.97,65445.0,6.56,23.78,48.75,9.13,126,1999-01-15,1999-05-15,Sprinkler,NPK 15-15-15,Moderate,0.44
FARM00145,Algeria,Potatoes,15353.2,89.0,17.97,65445.0,5.89,21.75,44.76,7.88,107,1999-01-15,1999-05-15,Drip,NPK 15-15-15,Mild,0.74
FARM00146,Algeria,"Rice, paddy",1394.2,89.0,17.97,65445.0,6.77,31.04,45.59,8.53,118,1999-01-15,1999-05-15,Flood,NPK 15-15-15,Moderate,0.48
FARM00147,Algeria,Sorghum,2700.0,89.0,17.97,65445.0,6.27,22.2,46.67,8.42,119,1999-01-15,1999-05-15,Drip,Urea,None,0.58
FARM00148,Algeria,Wheat,1071.1,89.0,17.97,65445.0,6.34,30.32,40.46,7.74,134,1999-01-15,1999-05-15,Sprinkler,Urea,None,0.34
FARM00149,Algeria,Maize,3618.6,89.0,17.9,60367.0,6.68,22.47,49.85,8.91,126,2000-01-15,2000-05-15,Rainfed,NPK 15-15-15,Severe,0.6
FARM00150,Algeria,Potatoes,16614.3,89.0,17.9,60367.0,5.9,28.02,44.83,8.8,103,2000-01-15,2000-05-15,Sprinkler,Organic Compost,None,0.86
FARM00151,Algeria,"Rice, paddy",1305.2,89.0,17.9,60367.0,6.59,20.97,56.27,10.27,123,2000-01-15,2000-05-15,Flood,Urea,None,0.49
FARM00152,Algeria,Sorghum,6950.0,89.0,17.9,60367.0,6.82,30.17,45.17,9.26,127,2000-01-15,2000-05-15,Rainfed,NPK 15-15-15,None,0.68
FARM00153,Algeria,Wheat,919.4,89.0,17.9,60367.0,6.56,20.1,45.53,7.17,140,2000-01-15,2000-05-15,Drip,Urea,None,0.42
FARM00154,Algeria,Maize,2717.5,89.0,18.13,71011.0,6.58,27.64,41.55,9.16,123,2001-01-15,2001-05-15,Rainfed,Organic Compost,None,0.59
FARM00155,Algeria,Potatoes,14701.8,89.0,18.13,71011.0,5.9,25.28,40.52,7.27,116,2001-01-15,2001-05-15,Rainfed,DAP,None,0.8
FARM00156,Algeria,"Rice, paddy",1231.4,89.0,18.13,71011.0,6.25,26.78,50.48,9.59,118,2001-01-15,2001-05-15,Flood,Organic Compost,Mild,0.4
FARM00157,Algeria,Sorghum,2775.0,89.0,18.13,71011.0,7.35,24.29,51.22,8.18,123,2001-01-15,2001-05-15,Sprinkler,NPK 15-15-15,None,0.65
FARM00158,Algeria,Wheat,1110.4,89.0,18.13,71011.0,6.97,24.18,44.71,8.66,148,2001-01-15,2001-05-15,Flood,NPK 15-15-15,Mild,0.41
FARM00159,Algeria,Maize,3348.0,89.0,17.85,81655.0,6.08,27.05,47.6,9.46,125,2002-01-15,2002-05-15,Sprinkler,DAP,None,0.65
FARM00160,Algeria,Potatoes,18377.4,89.0,17.85,81655.0,6.03,21.26,52.08,8.79,106,2002-01-15,2002-05-15,Rainfed,Urea,None,0.82
