State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year
Telangana,Wheat,Sandy,Compost,78,52,119,150,25.86,4253,7.13,2003
Punjab,Rice,Black Soil,Organic,14,69,185,120,25.75,4827,7.2,2006
West Bengal,Barley,Loamy,Organic,29,57,42,223,23.74,1673,7.38,2009
Tamil Nadu,Rice,Black Soil,Compost,88,71,107,212,23.38,6020,6.76,2014
Gujarat,Cotton,Red Soil,Urea,120,94,70,222,35.19,1840,7.74,2011
Haryana,Groundnut,Sandy,Compost,11,22,19,190,19.41,2090,7.84,2000
Punjab,Groundnut,Red Soil,Compost,102,13,191,187,31.53,1650,7.52,2019
Andhra Pradesh,Wheat,Black Soil,Compost,22,42,93,115,21.47,2724,7.09,2017
Punjab,Wheat,Loamy,Urea,13,91,74,247,24.89,3655,6.26,2024
Tamil Nadu,Sugarcane,Clay,DAP,118,25,86,121,19.25,64267,7.96,2015
Andhra Pradesh,Wheat,Alluvial,DAP,83,69,10,277,23.4,4144,6.19,2004
Haryana,Rice,Alluvial,Organic,104,25,142,74,33.34,5482,6.01,2018
Tamil Nadu,Maize,Black Soil,Organic,114,31,89,221,35.67,4553,6.61,2003
Odisha,Wheat,Loamy,Urea,17,110,24,109,22.44,2343,5.64,2005
Gujarat,Barley,Sandy,NPK,76,74,37,224,27.26,2204,7.95,2016
Haryana,Rice,Red Soil,DAP,119,48,32,89,27.4,4368,6.97,2006
West Bengal,Groundnut,Red Soil,Organic,18,104,118,56,35.44,2195,6.89,2023
Telangana,Maize,Red Soil,DAP,126,32,116,223,33.23,3148,7.14,2022
Odisha,Rice,Sandy,Urea,20,49,154,200,28.25,4629,6.74,2006
Madhya Pradesh,Rice,Alluvial,Urea,108,21,122,260,31.39,5153,5.58,2008
Haryana,Rice,Loamy,NPK,51,44,107,95,34.92,4018,7.03,2012
Madhya Pradesh,Rice,Sandy,NPK,129,7,150,135,18.21,4274,7.29,2019
Andhra Pradesh,Sugarcane,Red Soil,Urea,21,80,151,190,26.05,73260,6.54,2013
Odisha,Soybean,Black Soil,Organic,46,107,148,70,36.11,2558,7.39,2015
Gujarat,Wheat,Clay,DAP,83,80,37,50,32.78,1925,6.07,2022
West Bengal,Soybean,Sandy,Compost,82,70,51,172,28.84,2761,6.05,2008
Kerala,Sugarcane,Sandy,NPK,61,50,108,196,28.58,77626,5.9,2014
West Bengal,Groundnut,Loamy,Compost,139,90,70,174,24.95,2118,6.43,2004
Tamil Nadu,Barley,Loamy,Organic,65,91,132,237,28.4,2851,7.62,2017
West Bengal,Rice,Sandy,NPK,69,34,73,82,31.09,3850,7.57,2020
Bihar,Sugarcane,Red Soil,Compost,32,73,40,53,26.36,69114,6.46,2019
Uttar Pradesh,Pulses,Clay,Organic,112,13,90,283,32.26,1379,6.97,2007
Kerala,Barley,Loamy,DAP,49,89,19,52,35.19,2196,7.3,2014
Punjab,Barley,Red Soil,Organic,73,15,17,140,21.1,2611,6.1,2020
Telangana,Wheat,Black Soil,NPK,94,73,158,101,27.02,2005,5.92,2024
Karnataka,Rice,Loamy,Urea,98,103,68,282,26.16,6019,7.93,2008
Gujarat,Groundnut,Red Soil,DAP,40,95,187,276,31.73,1563,7.04,2018
Odisha,Cotton,Red Soil,Compost,29,117,39,77,23.0,1431,7.95,2021
Uttar Pradesh,Rice,Clay,NPK,139,70,154,119,30.79,4086,6.34,2005
Gujarat,Rice,Clay,Urea,22,92,29,247,35.52,5942,7.26,2003
Odisha,Wheat,Black Soil,Organic,131,35,57,232,26.36,2916,6.06,2010
Telangana,Rice,Red Soil,Urea,112,37,139,106,36.19,5170,6.15,2009
Maharashtra,Barley,Alluvial,NPK,115,43,46,157,37.82,3021,6.78,2002
Maharashtra,Rice,Red Soil,NPK,128,98,138,264,20.14,6321,6.3,2000
Madhya Pradesh,Maize,Clay,Urea,79,50,141,274,22.67,2728,5.92,2011
Gujarat,Sugarcane,Alluvial,Organic,108,41,109,193,36.97,80701,6.16,2022
Maharashtra,Pulses,Loamy,Urea,91,119,63,73,37.13,920,5.59,2014
Bihar,Rice,Loamy,NPK,84,96,131,246,19.97,4925,7.26,2014
Kerala,Sugarcane,Sandy,NPK,127,64,34,218,18.32,77872,6.73,2020
Odisha,Pulses,Clay,Compost,93,35,140,283,21.23,1362,5.74,2013
Madhya Pradesh,Millets,Sandy,Compost,78,15,18,126,37.88,1466,5.93,2006
West Bengal,Cotton,Alluvial,DAP,68,91,43,224,21.61,2137,5.76,2016
Odisha,Wheat,Clay,NPK,135,6,52,125,28.04,2873,7.03,2023
Madhya Pradesh,Wheat,Black Soil,Compost,120,108,83,118,34.94,4157,5.74,2018
Telangana,Soybean,Red Soil,Urea,71,109,103,150,18.43,1580,7.39,2006
Gujarat,Maize,Black Soil,Organic,137,31,31,208,30.07,3975,5.55,2002
Telangana,Sugarcane,Alluvial,Urea,114,103,79,141,23.54,73619,6.12,2002
Kerala,Barley,Clay,Organic,77,6,139,141,35.21,2675,7.73,2024
Kerala,Cotton,Alluvial,Compost,24,107,103,79,23.67,1200,7.3,2017
Uttar Pradesh,Barley,Red Soil,DAP,44,105,41,67,31.71,2526,5.68,2019
Telangana,Maize,Loamy,Urea,23,25,115,93,31.46,2033,7.55,2021
Tamil Nadu,Maize,Loamy,Urea,111,62,153,204,22.44,3126,6.73,2013
West Bengal,Millets,Alluvial,Urea,109,9,10,148,18.71,728,7.62,2002
Haryana,Maize,Sandy,Organic,16,56,81,203,26.18,2927,7.0,2006
Telangana,Wheat,Clay,Compost,39,49,185,170,23.79,1906,7.2,2006
Uttar Pradesh,Barley,Clay,Urea,58,89,59,280,34.15,1978,7.98,2004
Andhra Pradesh,Wheat,Loamy,Urea,120,97,150,290,33.98,2215,6.08,2002
Bihar,Soybean,Black Soil,DAP,81,24,24,164,27.13,1995,7.06,2017
Odisha,Barley,Red Soil,DAP,89,65,62,109,30.11,3360,6.65,2014
Kerala,Wheat,Black Soil,Compost,92,42,181,195,30.07,4077,5.6,2019
Andhra Pradesh,Sugarcane,Black Soil,Compost,51,24,17,274,34.51,57444,5.54,2013
Uttar Pradesh,Wheat,Alluvial,NPK,26,118,83,266,26.49,3081,5.8,2003
Madhya Pradesh,Barley,Loamy,DAP,16,29,55,105,23.51,2711,7.12,2023
Haryana,Cotton,Loamy,NPK,19,6,78,80,23.3,1447,6.92,2007
West Bengal,Pulses,Loamy,Organic,43,36,123,150,28.71,1233,6.88,2020
West Bengal,Sugarcane,Alluvial,NPK,45,30,156,108,26.98,62945,5.58,2012
West Bengal,Cotton,Sandy,Urea,15,74,175,173,26.8,1584,6.67,2021
Bihar,Rice,Black Soil,NPK,38,45,132,179,19.84,4236,7.81,2007
Haryana,Pulses,Alluvial,Compost,135,71,148,146,32.35,598,6.49,2014
Bihar,Rice,Clay,Organic,90,101,126,216,22.28,5410,7.06,2016
Kerala,Cotton,Red Soil,Urea,84,5,52,238,21.95,1720,7.45,2004
Bihar,Rice,Sandy,NPK,35,55,29,284,26.25,4331,7.46,2019
Karnataka,Rice,Clay,Organic,136,9,157,156,22.56,5143,6.8,2003
Haryana,Sugarcane,Black Soil,Organic,124,17,30,240,29.66,81360,7.64,2010
Tamil Nadu,Maize,Loamy,Urea,135,23,91,273,25.43,4288,6.48,2017
Haryana,Wheat,Black Soil,NPK,37,16,66,67,26.97,3176,7.72,2009
Uttar Pradesh,Cotton,Alluvial,Organic,84,52,187,194,28.73,1602,6.1,2016
Karnataka,Maize,Red Soil,Organic,87,29,83,275,22.08,3433,6.2,2014
West Bengal,Wheat,Alluvial,DAP,99,61,107,216,21.13,3001,5.63,2005
Uttar Pradesh,Cotton,Sandy,Organic,30,119,163,120,35.58,1079,7.49,2022
Uttar Pradesh,Millets,Sandy,DAP,63,39,167,155,26.67,1101,6.54,2020
Kerala,Maize,Red Soil,NPK,112,80,119,103,26.24,3503,6.07,2015
Rajasthan,Maize,Clay,NPK,68,98,124,294,18.73,3353,6.08,2014
Punjab,Barley,Clay,NPK,81,9,168,276,27.95,3489,7.75,2007
Karnataka,Rice,Sandy,Compost,29,102,51,143,29.07,5025,7.58,2008
Uttar Pradesh,Barley,Sandy,NPK,121,26,77,125,29.16,2278,6.88,2010
Punjab,Rice,Loamy,Organic,68,107,198,84,32.12,3532,7.04,2001
Punjab,Soybean,Clay,Urea,80,81,198,60,21.56,1570,6.69,2012
Karnataka,Wheat,Red Soil,DAP,118,61,79,110,23.05,3933,6.48,2003
Rajasthan,Rice,Clay,Compost,138,51,87,93,34.19,5511,7.79,2008
Andhra Pradesh,Maize,Loamy,NPK,65,58,99,170,36.91,4223,5.81,2004
Madhya Pradesh,Soybean,Alluvial,NPK,44,7,120,117,20.73,2059,6.55,2018
Tamil Nadu,Cotton,Sandy,Urea,132,57,121,74,27.94,1757,6.36,2021
Madhya Pradesh,Groundnut,Sandy,Urea,113,88,112,225,22.29,1988,6.75,2002
Haryana,Groundnut,Loamy,Compost,16,35,154,209,19.22,2084,6.64,2020
West Bengal,Sugarcane,Red Soil,DAP,36,73,28,133,24.51,79514,6.8,2002
Tamil Nadu,Groundnut,Sandy,NPK,10,92,188,163,20.89,1765,5.85,2005
Haryana,Maize,Black Soil,Compost,96,108,79,272,32.18,3471,6.78,2009
Uttar Pradesh,Rice,Sandy,Organic,50,37,72,181,28.66,5203,6.11,2004
West Bengal,Rice,Black Soil,Organic,132,76,84,295,20.89,5527,5.96,2024
Odisha,Barley,Loamy,Compost,84,92,167,215,18.2,1993,5.66,2002
Karnataka,Wheat,Loamy,NPK,51,54,162,294,34.13,1690,7.41,2021
Tamil Nadu,Sugarcane,Sandy,Compost,126,88,113,240,21.53,71286,6.57,2023
Tamil Nadu,Wheat,Clay,NPK,72,20,84,224,30.11,3218,7.07,2006
Telangana,Wheat,Black Soil,Urea,136,118,137,50,24.74,2434,7.32,2021
Uttar Pradesh,Pulses,Red Soil,Compost,57,80,163,180,29.69,815,7.2,2017
Andhra Pradesh,Cotton,Sandy,NPK,12,81,65,278,24.31,1610,6.68,2022
Punjab,Soybean,Red Soil,Compost,125,113,31,135,19.75,2444,6.47,2007
West Bengal,Sugarcane,Sandy,Compost,108,110,98,111,22.47,64468,6.44,2000
Uttar Pradesh,Soybean,Clay,NPK,125,43,28,113,21.77,1743,7.1,2024
Maharashtra,Barley,Clay,NPK,23,93,168,194,26.55,1811,6.74,2003
Rajasthan,Wheat,Clay,DAP,121,50,35,175,31.15,2476,7.62,2023
Punjab,Millets,Alluvial,Compost,70,100,179,255,23.28,1695,7.69,2006
Karnataka,Maize,Clay,Organic,104,92,178,154,18.26,2881,5.93,2013
Punjab,Maize,Loamy,Compost,26,116,32,111,28.37,3325,5.84,2012
Andhra Pradesh,Millets,Loamy,Compost,133,51,56,84,30.1,1338,7.08,2009
Kerala,Wheat,Alluvial,NPK,33,48,22,299,37.22,3784,6.25,2022
Telangana,Pulses,Black Soil,Compost,125,13,75,62,29.77,800,5.55,2017
Punjab,Cotton,Red Soil,Compost,91,108,153,212,27.42,1298,7.72,2000
Karnataka,Rice,Sandy,Organic,59,118,82,92,29.45,3175,6.07,2003
Andhra Pradesh,Groundnut,Sandy,NPK,88,91,165,179,36.52,1477,7.82,2015
Madhya Pradesh,Rice,Alluvial,Compost,88,54,86,233,34.54,5614,7.29,2015
Tamil Nadu,Cotton,Loamy,Urea,79,81,172,160,24.46,1113,7.41,2017
Kerala,Barley,Sandy,DAP,36,64,178,254,22.75,2020,6.0,2007
Telangana,Barley,Loamy,Organic,24,100,40,177,23.26,3059,6.09,2009
Tamil Nadu,Pulses,Black Soil,Compost,59,118,94,100,28.08,1141,6.8,2015
Rajasthan,Cotton,Red Soil,Urea,45,19,169,231,32.86,1238,5.93,2022
Haryana,Maize,Black Soil,Compost,17,40,191,193,28.05,1728,6.26,2023
Kerala,Rice,Alluvial,Compost,88,117,68,195,19.37,3842,6.3,2010
Kerala,Wheat,Clay,NPK,56,67,50,184,32.45,3909,5.9,2005
Madhya Pradesh,Wheat,Clay,NPK,114,73,121,94,34.09,4012,6.01,2000
Madhya Pradesh,Wheat,Clay,NPK,107,90,105,213,23.79,4113,7.47,2011
West Bengal,Maize,Black Soil,Urea,105,84,191,218,31.26,4360,5.92,2024
Bihar,Rice,Sandy,Compost,125,45,177,271,26.53,5597,5.57,2005
Punjab,Wheat,Red Soil,DAP,22,78,131,91,35.75,1989,7.07,2012
Kerala,Soybean,Clay,Organic,10,28,165,282,34.87,1742,7.94,2016
Tamil Nadu,Soybean,Alluvial,NPK,43,86,174,184,28.5,2350,6.33,2000
Karnataka,Soybean,Alluvial,NPK,88,53,114,64,31.81,2766,5.8,2007
Gujarat,Pulses,Clay,Compost,87,22,83,109,35.63,978,6.93,2021
Bihar,Soybean,Clay,Compost,130,11,192,89,27.9,2423,7.77,2007
Gujarat,Soybean,Red Soil,Urea,102,8,141,260,24.27,2905,7.46,2023
Telangana,Groundnut,Clay,Urea,107,94,108,284,33.05,1360,7.06,2010
Andhra Pradesh,Sugarcane,Red Soil,NPK,91,73,135,214,22.41,84318,6.29,2013
Tamil Nadu,Pulses,Alluvial,Compost,47,64,147,243,25.77,675,6.85,2023
Tamil Nadu,Sugarcane,Clay,DAP,23,59,184,283,35.28,71451,5.73,2009
Bihar,Maize,Black Soil,Organic,100,20,84,161,32.46,2702,7.2,2014
Kerala,Rice,Black Soil,Compost,63,103,23,232,26.07,5199,7.31,2006
Rajasthan,Soybean,Alluvial,Compost,139,94,47,126,22.3,2493,7.91,2006
Bihar,Pulses,Red Soil,Urea,110,86,149,281,25.12,918,6.15,2009
Gujarat,Sugarcane,Black Soil,Organic,98,33,54,154,23.69,84352,5.55,2003
Bihar,Maize,Red Soil,NPK,65,27,154,284,21.53,3472,6.86,2024
Tamil Nadu,Sugarcane,Black Soil,Compost,103,18,172,156,32.84,79520,7.27,2017
Rajasthan,Maize,Black Soil,NPK,102,83,84,296,23.05,2560,7.48,2024
Punjab,Maize,Red Soil,Compost,93,53,178,171,27.08,4182,5.98,2009
Maharashtra,Pulses,Sandy,NPK,94,37,38,272,25.71,683,6.15,2018
West Bengal,Millets,Black Soil,Organic,31,29,27,129,37.6,889,6.78,2013
Odisha,Maize,Clay,Urea,44,25,29,283,25.82,2102,6.33,2012
Madhya Pradesh,Maize,Alluvial,Organic,25,21,23,174,19.61,2687,7.65,2014
Bihar,Soybean,Sandy,DAP,59,27,171,233,19.81,2667,6.68,2015
Telangana,Maize,Red Soil,Urea,131,61,186,221,29.8,2997,7.5,2001
Haryana,Soybean,Sandy,Organic,137,111,63,234,29.97,2208,6.95,2003
Andhra Pradesh,Rice,Loamy,DAP,122,85,40,183,26.37,6107,7.43,2020
Maharashtra,Pulses,Loamy,Compost,26,62,67,269,26.63,1179,6.33,2017
West Bengal,Rice,Black Soil,Compost,89,18,113,81,19.1,5190,7.58,2016
West Bengal,Rice,Black Soil,NPK,139,97,179,157,28.32,4496,6.19,2009
West Bengal,Groundnut,Clay,Urea,94,24,195,251,28.08,2113,6.87,2020
West Bengal,Cotton,Alluvial,Compost,103,34,137,163,21.0,1276,6.04,2008
Gujarat,Sugarcane,Sandy,Urea,90,23,167,195,20.09,88568,6.69,2014
Telangana,Cotton,Loamy,Compost,78,57,34,117,20.48,1549,6.3,2011
Telangana,Cotton,Black Soil,NPK,78,107,28,176,20.03,1817,6.17,2020
Rajasthan,Wheat,Alluvial,Organic,25,60,145,250,30.18,1781,7.92,2008
Madhya Pradesh,Sugarcane,Sandy,NPK,60,81,12,184,21.94,63522,5.9,2013
Tamil Nadu,Sugarcane,Black Soil,DAP,114,86,95,163,23.03,59751,7.47,2012
West Bengal,Soybean,Black Soil,Compost,75,27,154,57,21.48,1985,7.96,2005
Haryana,Wheat,Loamy,DAP,18,66,151,113,37.12,2033,5.55,2018
Tamil Nadu,Rice,Loamy,DAP,116,114,18,284,35.06,6169,7.25,2003
Telangana,Maize,Black Soil,Urea,109,37,199,184,22.62,2513,6.13,2019
Karnataka,Maize,Red Soil,Compost,95,107,103,90,24.55,3894,5.6,2016
Karnataka,Wheat,Black Soil,DAP,73,108,158,89,22.21,2014,6.51,2018
Haryana,Rice,Alluvial,Organic,31,22,174,52,27.83,3181,7.84,2002
Rajasthan,Rice,Black Soil,DAP,119,77,148,194,18.41,5987,5.53,2013
Telangana,Barley,Clay,Organic,106,37,29,243,31.41,3266,6.97,2016
Haryana,Rice,Clay,Urea,27,36,44,256,28.45,4678,6.75,2012
Gujarat,Wheat,Clay,DAP,80,65,62,159,35.94,1860,7.68,2008
Bihar,Wheat,Red Soil,NPK,136,58,184,270,21.3,3760,5.71,2000
Haryana,Rice,Red Soil,Urea,106,21,119,163,34.05,4757,7.2,2024
Punjab,Sugarcane,Black Soil,Organic,10,23,189,161,33.81,65761,7.2,2016
Tamil Nadu,Rice,Clay,Urea,13,95,145,229,20.56,4885,7.17,2015
Maharashtra,Maize,Red Soil,DAP,134,74,13,199,25.97,3442,7.86,2017
Uttar Pradesh,Sugarcane,Loamy,Compost,91,103,164,53,21.41,58142,7.56,2001
Rajasthan,Rice,Black Soil,Compost,36,105,181,298,23.1,6061,5.6,2013
Haryana,Wheat,Alluvial,Organic,68,38,177,293,23.27,3727,6.68,2021
Telangana,Barley,Sandy,Organic,41,88,111,183,29.11,1706,6.49,2022
Andhra Pradesh,Wheat,Black Soil,Compost,37,29,56,215,26.22,2888,6.28,2016
Karnataka,Rice,Sandy,Organic,115,72,103,75,36.92,3636,6.63,2002
Punjab,Pulses,Clay,Urea,114,78,181,188,20.54,1421,6.46,2001
Madhya Pradesh,Soybean,Sandy,NPK,79,78,57,267,37.44,2335,6.58,2007
West Bengal,Cotton,Clay,NPK,71,92,100,66,22.62,1021,7.95,2024
Uttar Pradesh,Wheat,Loamy,Urea,43,89,189,265,33.43,1606,5.72,2001
Kerala,Millets,Sandy,NPK,96,15,93,141,24.78,641,7.81,2001
Rajasthan,Soybean,Black Soil,DAP,123,95,77,276,20.87,2353,6.7,2008
Maharashtra,Soybean,Clay,Urea,115,20,148,80,35.13,2661,7.06,2019
Uttar Pradesh,Soybean,Black Soil,Organic,65,94,134,254,24.18,1541,7.58,2020
Haryana,Soybean,Red Soil,Urea,122,65,82,295,31.16,1919,6.4,2024
Gujarat,Soybean,Clay,Compost,22,98,13,212,29.31,1678,6.58,2005
Karnataka,Rice,Sandy,Organic,27,117,85,193,27.43,3754,6.52,2011
Telangana,Rice,Clay,Compost,122,84,82,256,27.91,5217,6.44,2024
Karnataka,Groundnut,Black Soil,Organic,48,11,86,156,32.62,1771,7.81,2008
Madhya Pradesh,Wheat,Loamy,NPK,88,20,57,195,19.77,3675,7.57,2006
Gujarat,Soybean,Clay,Urea,39,103,163,160,31.34,2701,5.77,2011
West Bengal,Wheat,Sandy,DAP,107,20,111,150,35.88,4137,5.77,2024
Telangana,Rice,Red Soil,Organic,67,44,115,161,19.17,4862,6.57,2004
Tamil Nadu,Sugarcane,Alluvial,Organic,76,16,86,111,20.82,79961,5.75,2015
Odisha,Soybean,Loamy,Compost,80,39,48,161,32.31,2846,7.05,2004
Punjab,Rice,Red Soil,NPK,115,117,67,290,26.74,4497,5.86,2011
Karnataka,Groundnut,Clay,Compost,16,25,28,282,26.07,955,6.81,2023
Andhra Pradesh,Barley,Black Soil,Compost,49,54,97,204,20.75,1698,5.52,2019
Karnataka,Maize,Black Soil,NPK,79,47,122,296,28.12,3348,6.29,2008
Uttar Pradesh,Rice,Sandy,DAP,77,104,86,212,20.54,5647,7.19,2022
Karnataka,Groundnut,Black Soil,Compost,58,116,86,165,27.52,1551,6.71,2006
Rajasthan,Millets,Loamy,Compost,61,21,195,222,33.25,1308,7.95,2018
Karnataka,Soybean,Black Soil,Organic,123,36,37,295,23.17,2366,7.69,2019
Odisha,Soybean,Sandy,NPK,116,45,75,84,27.61,1706,6.4,2022
Odisha,Wheat,Alluvial,Urea,38,10,19,77,37.8,2232,5.61,2010
West Bengal,Cotton,Clay,DAP,87,92,135,152,31.71,1025,7.61,2020
Maharashtra,Pulses,Clay,DAP,18,31,67,174,34.8,621,7.78,2011
Tamil Nadu,Sugarcane,Black Soil,NPK,85,24,151,151,26.29,82603,7.55,2002
Andhra Pradesh,Groundnut,Red Soil,Organic,51,29,134,186,33.33,2131,5.82,2016
Karnataka,Rice,Clay,Organic,137,70,121,253,18.83,6393,7.99,2006
Karnataka,Pulses,Alluvial,NPK,29,13,93,192,20.47,1299,6.15,2021
Punjab,Barley,Black Soil,Organic,81,96,152,70,22.07,3232,7.31,2009
Telangana,Rice,Sandy,DAP,74,57,105,101,26.03,4940,7.77,2022
Odisha,Millets,Alluvial,DAP,122,65,42,212,34.88,1470,6.09,2014
Andhra Pradesh,Pulses,Black Soil,Urea,33,42,154,283,24.92,1234,7.77,2001
West Bengal,Sugarcane,Alluvial,NPK,137,7,161,146,31.07,72477,6.27,2012
Madhya Pradesh,Soybean,Clay,Compost,92,88,167,100,32.16,2013,7.94,2003
Maharashtra,Wheat,Sandy,Compost,72,74,199,132,29.71,3538,6.2,2017
Tamil Nadu,Barley,Black Soil,Urea,69,107,150,104,25.14,2282,7.88,2023
Gujarat,Groundnut,Loamy,Urea,108,101,199,264,29.53,1929,5.63,2022
Tamil Nadu,Barley,Sandy,Organic,71,59,56,126,24.84,2535,7.27,2000
Rajasthan,Cotton,Loamy,Urea,39,5,121,176,19.69,1356,6.83,2001
Uttar Pradesh,Soybean,Alluvial,Urea,31,105,153,221,37.82,2686,6.69,2001
Rajasthan,Wheat,Red Soil,Compost,135,74,52,242,20.56,2922,6.06,2003
Karnataka,Soybean,Sandy,Organic,51,49,17,292,19.46,1767,7.26,2002
Kerala,Pulses,Alluvial,Urea,107,102,12,142,35.54,677,5.98,2016
Maharashtra,Barley,Loamy,Urea,40,51,134,137,24.04,3081,6.88,2013
Uttar Pradesh,Sugarcane,Clay,Organic,121,83,21,129,30.99,74944,6.13,2001
Andhra Pradesh,Maize,Clay,NPK,131,113,93,202,24.58,3826,7.89,2015
Gujarat,Cotton,Red Soil,Organic,26,30,25,296,25.83,2194,5.57,2010
Odisha,Rice,Sandy,Compost,47,18,87,264,23.25,4523,6.0,2024
Maharashtra,Rice,Sandy,NPK,119,58,68,141,24.86,4219,6.11,2012
Maharashtra,Rice,Sandy,DAP,31,75,186,96,26.21,3347,6.54,2000
Rajasthan,Groundnut,Alluvial,Organic,65,50,72,257,32.39,2047,6.08,2024
Kerala,Rice,Red Soil,Compost,128,35,199,284,28.22,5956,6.73,2022
Karnataka,Rice,Sandy,NPK,66,92,58,233,36.83,4196,7.68,2001
Haryana,Pulses,Alluvial,Organic,44,63,60,87,18.86,659,7.28,2001
West Bengal,Barley,Clay,Urea,123,99,42,188,28.05,2232,6.95,2020
Rajasthan,Rice,Loamy,Organic,134,33,39,244,29.67,5880,5.72,2004
Maharashtra,Maize,Alluvial,DAP,138,110,196,64,36.37,2466,7.23,2003
Bihar,Sugarcane,Clay,Organic,61,100,85,50,19.0,55622,5.92,2011
