Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","1214.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01371","Almonds, in shell","2020","2020","t","10874","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","10156","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","1110.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01371","Almonds, in shell","2021","2021","t","11282","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","10282","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","1171.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01371","Almonds, in shell","2022","2022","t","12046","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01371","Almonds, in shell","2023","2023","ha","9944","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01371","Almonds, in shell","2023","2023","kg/ha","1252.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01371","Almonds, in shell","2023","2023","t","12455","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01371","Almonds, in shell","2024","2024","ha","9680","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01371","Almonds, in shell","2024","2024","kg/ha","1275.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01371","Almonds, in shell","2024","2024","t","12345.47","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","ha","1482000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","kg/ha","680.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2015","2015","t","1008000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","ha","1465550","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","kg/ha","830.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2016","2016","t","1217610","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","ha","1546000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","kg/ha","989","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","t","1529000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","ha","1564000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","kg/ha","961","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2018","2018","t","1503000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","ha","1587000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","kg/ha","912.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2019","2019","t","1448000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","ha","1888000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","kg/ha","928.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2020","2020","t","1753000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","ha","1826000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","kg/ha","998.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","1823000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","ha","1487207","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","kg/ha","945.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","t","1406040","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","ha","1736508","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","kg/ha","980.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2023","2023","t","1703183","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","ha","2122427","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","kg/ha","992.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2024","2024","t","2107138","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2015","2015","ha","319000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2015","2015","kg/ha","6689.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2015","2015","t","2134000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2016","2016","ha","277000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2016","2016","kg/ha","9101.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2016","2016","t","2521000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2017","2017","ha","305000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2017","2017","kg/ha","7426.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2017","2017","t","2265000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2018","2018","ha","301000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2018","2018","kg/ha","7730.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2018","2018","t","2327000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2019","2019","ha","308000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2019","2019","kg/ha","7519.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2019","2019","t","2316000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2020","2020","ha","310000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2020","2020","kg/ha","9077.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2020","2020","t","2814000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2021","2021","ha","313000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2021","2021","kg/ha","7271.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2021","2021","t","2276000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2022","2022","ha","315000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2022","2022","kg/ha","8219","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2022","2022","t","2589000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2023","2023","ha","304000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2023","2023","kg/ha","9460.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2023","2023","t","2876000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01341","Apples","2024","2024","ha","304130","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01341","Apples","2024","2024","kg/ha","8634.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01341","Apples","2024","2024","t","2625899","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2015","2015","ha","5014","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2015","2015","kg/ha","2814.7","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2015","2015","t","14113.22","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2016","2016","ha","5419","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2016","2016","kg/ha","2818.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2016","2016","t","15274.89","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2017","2017","ha","5496","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2017","2017","kg/ha","2826","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2017","2017","t","15531.76","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2018","2018","ha","5603","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2018","2018","kg/ha","2825.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2018","2018","t","15832.74","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2019","2019","ha","5709","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2019","2019","kg/ha","2825.8","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2019","2019","t","16133.71","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2020","2020","ha","5603","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2020","2020","kg/ha","2825.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2020","2020","t","15832.74","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2021","2021","ha","5638","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2021","2021","kg/ha","2825.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2021","2021","t","15933.06","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2022","2022","ha","5650","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2022","2022","kg/ha","2825.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2022","2022","t","15966.5","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2023","2023","ha","5630","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2023","2023","kg/ha","2825.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2023","2023","t","15910.77","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01343","Apricots","2024","2024","ha","5640","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01343","Apricots","2024","2024","kg/ha","2825.9","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01343","Apricots","2024","2024","t","15936.78","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2015","2015","ha","450000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2015","2015","kg/ha","1660","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2015","2015","t","747000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2016","2016","ha","474000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2016","2016","kg/ha","1506.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2016","2016","t","714000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2017","2017","ha","455000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2017","2017","kg/ha","1589","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2017","2017","t","723000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2018","2018","ha","497000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2018","2018","kg/ha","1676.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2018","2018","t","833000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2019","2019","ha","522000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2019","2019","kg/ha","1726.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2019","2019","t","901000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2020","2020","ha","747000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2020","2020","kg/ha","1850.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2020","2020","t","1382000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2021","2021","ha","794000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2021","2021","kg/ha","1968.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2021","2021","t","1563000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2022","2022","ha","849000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2022","2022","kg/ha","1962.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2022","2022","t","1666000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2023","2023","ha","938000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2023","2023","kg/ha","1459.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2023","2023","t","1369000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01379.01","Areca nuts","2024","2024","ha","949403","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01379.01","Areca nuts","2024","2024","kg/ha","1486.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01379.01","Areca nuts","2024","2024","t","1410966","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2015","2015","ha","822000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2015","2015","kg/ha","35548.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2015","2015","t","29221000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2016","2016","ha","841000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2016","2016","kg/ha","34643.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2016","2016","t","29135000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2017","2017","ha","860000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2017","2017","kg/ha","35438.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2017","2017","t","30477000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2018","2018","ha","884000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2018","2018","kg/ha","34850.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2018","2018","t","30808000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2019","2019","ha","866000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2019","2019","kg/ha","35173.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2019","2019","t","30460000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2020","2020","ha","897000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2020","2020","kg/ha","36340","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2020","2020","t","32597000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2021","2021","ha","924000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2021","2021","kg/ha","35781.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2021","2021","t","33062000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2022","2022","ha","963000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2022","2022","kg/ha","35854.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2022","2022","t","34528000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2023","2023","ha","994000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2023","2023","kg/ha","36835","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2023","2023","t","36614000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01312","Bananas","2024","2024","ha","948469","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01312","Bananas","2024","2024","kg/ha","39658","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01312","Bananas","2024","2024","t","37614362","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2015","2015","ha","707000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2015","2015","kg/ha","2281.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2015","2015","t","1613000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2016","2016","ha","590000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2016","2016","kg/ha","2440.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2016","2016","t","1440000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2017","2017","ha","656250","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2017","2017","kg/ha","2662.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2017","2017","t","1747450","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2018","2018","ha","660800","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2018","2018","kg/ha","2694.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2018","2018","t","1780810","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2019","2019","ha","575600","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2019","2019","kg/ha","2837.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2019","2019","t","1633070","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2020","2020","ha","589570","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2020","2020","kg/ha","2920.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2020","2020","t","1721830","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2021","2021","ha","592470","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2021","2021","kg/ha","2795.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2021","2021","t","1656340","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2022","2022","ha","453320","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2022","2022","kg/ha","3025.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2022","2022","t","1371360","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2023","2023","ha","628325","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2023","2023","kg/ha","3044.5","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2023","2023","t","1912919.44","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0115","Barley","2024","2024","ha","551317","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0115","Barley","2024","2024","kg/ha","3082.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0115","Barley","2024","2024","t","1699235.48","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2015","2015","ha","10210401","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2015","2015","kg/ha","589.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2015","2015","t","6023531.63","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2016","2016","ha","12045276","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2016","2016","kg/ha","620","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2016","2016","t","7468601.53","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2017","2017","ha","12432165","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2017","2017","kg/ha","640.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2017","2017","t","7961142.08","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2018","2018","ha","13225137","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2018","2018","kg/ha","596.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2018","2018","t","7885365.98","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2019","2019","ha","11812814","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2019","2019","kg/ha","579.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2019","2019","t","6847843.72","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2020","2020","ha","11559011","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2020","2020","kg/ha","625.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2020","2020","t","7225166.79","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01701","Beans, dry","2021","2021","ha","12469911","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","597.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","01701","Beans, dry","2021","2021","t","7454701.48","A","Official value",""
