Year,State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
2015,Meghalaya,Castor seed,Rabi,72.0,3870.8,11369.52,23.76,1.004
2010,West Bengal,Niger seed,Kharif,3714.0,1096.0,616932.54,891.36,0.555
2005,Punjab,Barley,Rabi,19000.0,566.7,2278480.0,3990.0,3.23125
2017,Tamil Nadu,Rice,Autumn,235255.0,970.9,37038547.2,89396.9,3.967857
2004,Tamil Nadu,Urad,Kharif,226364.0,1034.0,24524275.76,47536.44,0.4075
2007,Meghalaya,Maize,Kharif,17048.0,4702.0,2274203.2,2727.68,1.504286
2003,Assam,Tapioca,Whole Year,2873.0,2213.7,284369.54,689.52,4.383636
2009,Tripura,Rice,Kharif,245538.0,2004.2,38259731.16,41741.46,2.5225
2002,Manipur,Other Kharif pulses,Kharif,1280.0,1743.7,121177.6,320.0,0.5175
2012,Maharashtra,Linseed,Rabi,27200.0,1003.4,4101760.0,8432.0,0.243636
2003,Jharkhand,Gram,Rabi,15155.21,1258.3,1500062.69,3637.25,0.9075
2000,Manipur,Onion,Whole Year,350.0,1969.7,34359.5,91.0,2.1
2007,Maharashtra,Other  Rabi pulses,Rabi,142200.0,1257.2,18969480.0,22752.0,0.580357
2015,Uttarakhand,Moong(Green Gram),Kharif,3.0,1247.6,473.73,0.99,0.75
2002,Bihar,Potato,Whole Year,147819.0,1105.8,13994024.73,36954.75,10.271351
2005,Uttar Pradesh,Arhar/Tur,Kharif,385652.2,1012.5,33019.43,1633.99,0.9224
2000,Andhra Pradesh,Niger seed,Kharif,18452.0,935.6,1811432.84,4797.52,0.36
2004,Andhra Pradesh,Dry chillies,Kharif,186120.0,781.8,20164240.8,39085.2,2.911364
2006,Himachal Pradesh,Rice,Kharif,79206.0,1207.0,10115398.26,17425.32,1.750909
2000,Delhi,Maize,Kharif,55.0,544.3,5399.35,14.3,1.64
2010,Nagaland,Moong(Green Gram),Kharif,200.0,1771.8,33222.0,48.0,0.98625
2007,West Bengal,Bajra,Kharif,64.0,2007.5,8537.6,10.24,0.36
2006,Odisha,Sesamum,Autumn,3320.0,1716.9,423997.2,730.4,0.184706
2008,Nagaland,Arhar/Tur,Kharif,3160.0,1540.9,452006.4,284.4,0.951818
2002,Meghalaya,Cotton(lint),Kharif,7310.0,4355.3,692037.7,1827.5,1.046667
2005,Karnataka,Coriander,Whole Year,9163.0,1316.2,1098826.96,1924.23,0.125714
2005,Karnataka,Arecanut,Whole Year,161151.0,1316.2,19325227.92,33841.71,6.212381
2000,Odisha,Rapeseed &Mustard,Rabi,12395.0,1066.0,1216817.15,3222.7,0.132759
2012,Chhattisgarh,Peas & beans (Pulses),Rabi,13666.0,1366.8,2060832.8,4236.46,0.3496
2004,Karnataka,Safflower,Rabi,94450.0,1117.7,10232713.0,19834.5,0.488125
2010,Karnataka,Mesta,Whole Year,1907.0,1317.7,316771.77,457.68,1.21
2011,West Bengal,Bajra,Kharif,59.0,1686.5,9883.68,19.47,0.37
2018,Tripura,Mesta,Kharif,493.0,2169.1,79964.6,172.55,8.14625
2010,Madhya Pradesh,Wheat,Rabi,4633125.0,856.3,769608393.7,1111950.0,1.8744
2008,Chhattisgarh,Dry chillies,Whole Year,6013.0,1117.9,860099.52,541.17,0.508333
2003,Madhya Pradesh,Rapeseed &Mustard,Rabi,535540.0,1163.0,53007749.2,128529.6,0.743404
2013,Maharashtra,Linseed,Rabi,12100.0,1409.8,1748329.0,3267.0,0.34375
2005,Madhya Pradesh,Small millets,Kharif,33926.0,1032.7,4068405.92,7124.46,0.513611
2011,Rajasthan,Cotton(lint),Kharif,2579251.59,532.8,333386.44,17181.29,0.529636
2010,Nagaland,Rapeseed &Mustard,Rabi,27050.0,1771.8,4493275.5,6492.0,1.0
2015,Gujarat,Wheat,Rabi,857696.0,584.3,135438775.4,283039.68,2.675938
2011,Gujarat,Moong(Green Gram),Kharif,200000.0,890.5,33504000.0,66000.0,0.468261
2014,Uttar Pradesh,Gram,Rabi,558142.0,616.4,84257116.32,184186.86,0.490746
2006,Uttarakhand,Sugarcane,Whole Year,118869.0,1178.9,15180759.99,26151.18,61.44
2016,Haryana,Moth,Kharif,600.0,554.7,91950.0,210.0,0.21
2001,Goa,Cashewnut,Whole Year,54060.0,2530.6,5521147.8,14055.6,0.43
2002,Mizoram,Moong(Green Gram),Kharif,13.0,2627.0,1230.71,3.25,0.69
2018,Meghalaya,Cotton(lint),Kharif,7260.0,5649.1,1177572.0,2541.0,1.174
2016,Mizoram,Soyabean,Kharif,1019.0,2626.8,156161.75,356.65,1.4825
2009,Chhattisgarh,Tobacco,Whole Year,22.0,956.9,3428.04,3.74,0.39
2014,Himachal Pradesh,Rapeseed &Mustard,Rabi,8626.0,1019.9,1302180.96,2846.58,0.491818
2018,Nagaland,Sesamum,Kharif,3700.0,1372.7,600140.0,1295.0,0.611818
2003,Goa,Sugarcane,Whole Year,1210.0,3011.6,119765.8,290.4,47.61
2003,Karnataka,Cardamom,Whole Year,19480.0,867.6,1928130.4,4675.2,0.061429
2014,Chhattisgarh,Sunflower,Kharif,2883.0,1274.7,435217.68,951.39,0.370526
2008,Bihar,Turmeric,Whole Year,2610.0,1197.7,373334.4,234.9,1.153
2011,Manipur,Potato,Whole Year,14400.0,1533.6,2412288.0,4752.0,8.478889
2008,Maharashtra,Maize,Kharif,550100.0,1052.8,78686304.0,49509.0,1.992222
2007,Tripura,Sugarcane,Whole Year,959.0,2831.8,127930.6,153.44,49.0375
2018,Tamil Nadu,Ginger,Whole Year,377.0,986.2,61149.4,131.95,19.864286
2008,Gujarat,Wheat,Rabi,1091400.0,746.1,156113856.0,98226.0,2.349615
2008,Uttarakhand,Sesamum,Kharif,2228.0,1363.7,318693.12,200.52,0.2125
2015,Kerala,Small millets,Whole Year,14.0,2602.9,2210.74,4.62,0.71
2016,Bihar,Mesta,Kharif,16323.0,1205.6,2501499.75,5713.05,2.346875
2016,Karnataka,Banana,Whole Year,28977.83,2829.4,7879.62,111.72,32.827313
2018,Uttar Pradesh,Onion,Rabi,14729.0,792.8,2389043.8,5155.15,15.801467
2001,Himachal Pradesh,Gram,Rabi,1144.0,918.1,116836.72,297.44,0.763
2009,Meghalaya,Gram,Rabi,561.0,2995.9,87415.02,95.37,0.59
2018,Gujarat,Rice,Kharif,809367.0,1125.4,131279327.4,283278.45,2.131
2007,Mizoram,other oilseeds,Kharif,3398.0,3095.2,453293.2,543.68,0.2225
2000,Tamil Nadu,Ragi,Kharif,165144.0,971.1,16212186.48,42937.44,1.63125
2009,Meghalaya,Potato,Whole Year,17712.0,2995.9,2759883.84,3011.04,7.318571
2001,Jammu and Kashmir,Cotton(lint),Kharif,69.0,953.8,7046.97,17.94,0.49
2005,Punjab,Guar seed,Whole Year,23900.0,566.7,2866088.0,5019.0,0.786667
2016,Nagaland,Rapeseed &Mustard,Rabi,27400.0,1959.8,4199050.0,9590.0,1.012727
2002,Karnataka,Cardamom,Whole Year,19405.0,860.8,1837071.35,4851.25,0.062857
2017,Tripura,Sesamum,Kharif,7035.0,3326.8,1107590.4,2673.3,0.59625
2014,Uttar Pradesh,Sesamum,Kharif,322820.0,616.4,48732907.2,106530.6,0.180857
2009,Assam,Sweet potato,Whole Year,6806.0,1727.1,1060510.92,1157.02,3.410741
2015,Karnataka,Tomato,Whole Year,16699.96,2027.6,2915.88,44.29,22.126779
2010,Andhra Pradesh,Safflower,Rabi,13090.0,1297.0,2174379.9,3141.6,0.705
2005,Uttar Pradesh,Sugarcane,Kharif,2155791.0,751.9,258522456.7,452716.11,48.789286
2005,Rajasthan,Sesamum,Kharif,19436.92,331.6,3712.57,210.97,0.45572
2019,Bihar,Maize,Autumn,209307.0,1194.7,35950570.32,77443.59,2.31625
2004,West Bengal,Ginger,Kharif,9125.0,1612.9,988602.5,1916.25,1.765556
2007,Jharkhand,Arhar/Tur,Rabi,17977.63,1444.7,2398215.84,2876.42,1.472273
2007,Nagaland,Jowar,Kharif,800.0,1769.0,106720.0,128.0,1.315714
2014,Assam,Urad,Rabi,52830.0,1899.0,7975216.8,17433.9,0.634444
2018,Maharashtra,Urad,Kharif,366614.0,1387.4,59464790.8,128314.9,0.411379
2018,Haryana,Wheat,Rabi,2553100.0,533.2,414112820.0,893585.0,4.825
2009,Chhattisgarh,Sesamum,Kharif,19601.0,956.9,3054227.82,3332.17,0.457778
2008,Uttar Pradesh,Maize,Kharif,769793.0,891.6,110111190.7,69281.37,1.366765
2000,Puducherry,Other  Rabi pulses,Rabi,64.0,1434.6,6282.88,16.64,1.18
2006,Tamil Nadu,Sweet potato,Whole Year,1127.0,927.9,143929.17,247.94,17.747407
2016,Tamil Nadu,Tapioca,Whole Year,76420.0,912.4,11711365.0,26747.0,26.677419
2007,Gujarat,Sugarcane,Whole Year,211000.0,1021.6,28147400.0,33760.0,71.189375
2007,Haryana,Potato,Whole Year,9917.0,443.8,1322927.8,1586.72,15.531667
2011,Gujarat,Guar seed,Whole Year,128300.0,890.5,21492816.0,42339.0,0.628462
2008,Meghalaya,Tobacco,Whole Year,664.0,3114.3,94978.56,59.76,0.7275
2018,Puducherry,Other Summer Pulses,Summer,10.0,1693.9,1622.0,3.5,1.0
2015,Rajasthan,Barley,Rabi,31638.03,578.8,8579.22,320.79,2.82389
2014,Andhra Pradesh,Arecanut,Kharif,483.0,687.6,72913.68,159.39,1.775
2014,West Bengal,Masoor,Rabi,65972.0,1483.5,9959133.12,21770.76,0.870556
2006,Kerala,Rubber,Whole Year,37339.39,3007.5,6144.13,270.27,1.352297
2011,Puducherry,Groundnut,Kharif,16.0,1434.6,2680.32,5.28,1.88
2020,Maharashtra,Bajra,Kharif,1493165.5,2115.1,201880.37,7924.53,1.918662
2016,Meghalaya,Cowpea(Lobia),Rabi,1661.0,3837.1,254548.25,581.35,1.630909
2020,Telangana,Rice,Kharif,677441.15,637.8,175133.35,9354.76,3.739421
2000,Sikkim,Rice,Kharif,15218.0,2504.8,1493951.06,3956.68,1.4225
2003,West Bengal,Onion,Rabi,179126.62,1598.9,35651.53,284.02,15.648009
2000,Delhi,Cotton(lint),Kharif,1.0,544.3,98.17,0.26,1.0
2017,Bihar,Urad,Kharif,7924.0,1112.0,1247554.56,3011.12,0.884815
2004,Punjab,Urad,Kharif,3400.0,366.4,368356.0,714.0,0.633333
2019,Jharkhand,Onion,Rabi,156233.14,1214.7,42034.91,336.37,19.151578
2017,Bihar,Potato,Rabi,87938.0,1112.0,13844958.72,33416.44,14.397838
2005,Odisha,Moong(Green Gram),Autumn,20063.0,1503.4,2405954.96,4213.23,0.175333
2002,Punjab,Masoor,Rabi,4000.0,301.8,378680.0,1000.0,0.751111
2005,Puducherry,Dry chillies,Whole Year,8.0,1434.6,959.36,1.68,2.07
2013,Tamil Nadu,Cardamom,Whole Year,4044.0,740.9,584317.56,1091.88,0.064167
2005,Jharkhand,Rapeseed &Mustard,Rabi,5989.03,965.2,718204.48,1257.7,0.665556
2011,Madhya Pradesh,Masoor,Rabi,586000.0,852.6,98166720.0,193380.0,0.395625
2007,Maharashtra,Onion,Rabi,172916.98,2274.4,22808.67,833.74,17.833018
2007,Madhya Pradesh,Sweet potato,Whole Year,3752.0,740.4,500516.8,600.32,5.651739
2020,Rajasthan,Mustard,Rabi,1228586.27,264.9,110140.0,7208.55,1.689874
2014,Tamil Nadu,Rice,Kharif,1794991.0,911.3,270971841.4,592347.03,4.730323
