Rainfall,Temperature,Humidity,Month,Year,Region
5.1,31.2,63.5,3,2003,Andhra Pradesh
1.3,34.7,63.5,4,2003,Andhra Pradesh
1.6,33.5,58.9,5,2003,Andhra Pradesh
77.1,32.3,63.2,6,2003,Andhra Pradesh
149.0,29.5,71.3,7,2003,Andhra Pradesh
33.8,28.2,66.7,8,2003,Andhra Pradesh
14.8,28.2,68.4,9,2003,Andhra Pradesh
3.5,27.3,62.3,10,2003,Andhra Pradesh
9.8,26.2,67.8,11,2003,Andhra Pradesh
10.5,23.5,75.0,12,2003,Andhra Pradesh
1.4,22.6,70.4,1,2004,Andhra Pradesh
3.5,23.5,66.2,2,2004,Andhra Pradesh
4.5,30.7,66.9,3,2004,Andhra Pradesh
3.5,34.6,65.5,4,2004,Andhra Pradesh
3.1,35.0,60.9,5,2004,Andhra Pradesh
139.2,33.0,71.0,6,2004,Andhra Pradesh
190.7,29.9,68.4,7,2004,Andhra Pradesh
79.6,29.0,64.9,8,2004,Andhra Pradesh
18.2,27.3,66.7,9,2004,Andhra Pradesh
4.1,27.0,61.8,10,2004,Andhra Pradesh
2.3,24.5,68.9,11,2004,Andhra Pradesh
4.9,21.9,72.2,12,2004,Andhra Pradesh
8.9,21.9,66.5,1,2005,Andhra Pradesh
3.5,24.3,66.9,2,2005,Andhra Pradesh
5.7,29.5,62.8,3,2005,Andhra Pradesh
5.4,33.5,64.3,4,2005,Andhra Pradesh
0.9,33.8,59.4,5,2005,Andhra Pradesh
63.8,31.0,70.6,6,2005,Andhra Pradesh
75.2,29.6,67.2,7,2005,Andhra Pradesh
200.0,27.8,68.2,8,2005,Andhra Pradesh
42.4,28.4,65.1,9,2005,Andhra Pradesh
6.0,26.6,71.3,10,2005,Andhra Pradesh
5.2,24.8,64.5,11,2005,Andhra Pradesh
3.6,23.8,61.7,12,2005,Andhra Pradesh
17.4,23.3,65.2,1,2006,Andhra Pradesh
5.4,25.4,65.5,2,2006,Andhra Pradesh
2.8,29.3,65.4,3,2006,Andhra Pradesh
9.1,32.7,62.9,4,2006,Andhra Pradesh
5.7,35.2,63.2,5,2006,Andhra Pradesh
41.0,31.6,64.7,6,2006,Andhra Pradesh
150.0,29.7,66.8,7,2006,Andhra Pradesh
89.7,29.4,67.6,8,2006,Andhra Pradesh
26.7,28.2,63.2,9,2006,Andhra Pradesh
5.1,26.3,67.0,10,2006,Andhra Pradesh
3.6,24.5,70.9,11,2006,Andhra Pradesh
7.7,23.1,70.9,12,2006,Andhra Pradesh
1.7,21.8,64.1,1,2007,Andhra Pradesh
3.3,25.1,66.9,2,2007,Andhra Pradesh
6.0,31.0,65.2,3,2007,Andhra Pradesh
4.0,31.6,62.1,4,2007,Andhra Pradesh
3.4,33.5,61.2,5,2007,Andhra Pradesh
34.6,31.9,66.3,6,2007,Andhra Pradesh
35.4,28.6,69.3,7,2007,Andhra Pradesh
3.3,27.2,63.2,8,2007,Andhra Pradesh
13.0,28.7,66.8,9,2007,Andhra Pradesh
1.8,26.7,64.0,10,2007,Andhra Pradesh
0.7,23.4,68.1,11,2007,Andhra Pradesh
4.6,23.1,69.9,12,2007,Andhra Pradesh
1.1,22.1,64.5,1,2008,Andhra Pradesh
2.3,22.1,64.8,2,2008,Andhra Pradesh
4.2,29.2,66.0,3,2008,Andhra Pradesh
4.3,34.2,58.8,4,2008,Andhra Pradesh
3.1,34.1,60.3,5,2008,Andhra Pradesh
62.2,30.3,69.1,6,2008,Andhra Pradesh
69.0,29.1,65.5,7,2008,Andhra Pradesh
45.0,27.0,71.2,8,2008,Andhra Pradesh
13.6,26.7,64.0,9,2008,Andhra Pradesh
2.3,25.2,68.3,10,2008,Andhra Pradesh
1.2,24.1,65.0,11,2008,Andhra Pradesh
2.2,20.6,67.6,12,2008,Andhra Pradesh
1.1,21.7,65.3,1,2009,Andhra Pradesh
0.9,24.2,65.2,2,2009,Andhra Pradesh
2.1,31.0,64.8,3,2009,Andhra Pradesh
1.2,34.0,61.2,4,2009,Andhra Pradesh
2.6,34.4,60.7,5,2009,Andhra Pradesh
46.2,31.9,67.2,6,2009,Andhra Pradesh
14.4,29.3,64.3,7,2009,Andhra Pradesh
92.9,29.8,68.7,8,2009,Andhra Pradesh
24.8,28.2,67.9,9,2009,Andhra Pradesh
3.1,28.3,60.6,10,2009,Andhra Pradesh
7.3,25.1,65.5,11,2009,Andhra Pradesh
5.4,22.4,71.6,12,2009,Andhra Pradesh
4.1,20.6,65.8,1,2010,Andhra Pradesh
2.7,23.8,65.6,2,2010,Andhra Pradesh
3.2,28.4,68.8,3,2010,Andhra Pradesh
4.1,32.0,64.3,4,2010,Andhra Pradesh
2.8,33.7,60.3,5,2010,Andhra Pradesh
33.5,32.4,65.3,6,2010,Andhra Pradesh
150.2,28.2,72.8,7,2010,Andhra Pradesh
100.8,28.9,66.9,8,2010,Andhra Pradesh
66.3,27.6,64.5,9,2010,Andhra Pradesh
2.9,26.4,63.3,10,2010,Andhra Pradesh
9.9,23.1,69.4,11,2010,Andhra Pradesh
5.7,22.5,64.8,12,2010,Andhra Pradesh
1.0,23.9,72.3,1,2011,Andhra Pradesh
1.4,24.8,60.7,2,2011,Andhra Pradesh
6.7,31.2,65.0,3,2011,Andhra Pradesh
4.4,33.4,62.8,4,2011,Andhra Pradesh
7.1,35.0,60.7,5,2011,Andhra Pradesh
144.1,31.4,72.7,6,2011,Andhra Pradesh
119.7,30.1,72.4,7,2011,Andhra Pradesh
157.3,29.7,64.5,8,2011,Andhra Pradesh
36.1,29.0,67.8,9,2011,Andhra Pradesh
2.4,28.8,69.7,10,2011,Andhra Pradesh
1.3,23.7,64.9,11,2011,Andhra Pradesh
1.5,23.6,72.6,12,2011,Andhra Pradesh
5.4,23.7,72.3,1,2012,Andhra Pradesh
6.6,24.1,67.2,2,2012,Andhra Pradesh
3.8,31.0,63.3,3,2012,Andhra Pradesh
4.5,34.2,65.1,4,2012,Andhra Pradesh
8.4,34.0,64.2,5,2012,Andhra Pradesh
26.0,32.2,63.0,6,2012,Andhra Pradesh
140.6,30.7,69.2,7,2012,Andhra Pradesh
41.5,29.4,68.3,8,2012,Andhra Pradesh
38.2,27.0,68.4,9,2012,Andhra Pradesh
5.9,27.7,66.9,10,2012,Andhra Pradesh
1.4,27.0,71.0,11,2012,Andhra Pradesh
1.2,23.3,72.6,12,2012,Andhra Pradesh
3.9,21.7,68.3,1,2013,Andhra Pradesh
11.2,24.9,67.6,2,2013,Andhra Pradesh
3.3,30.2,64.7,3,2013,Andhra Pradesh
2.5,35.0,58.9,4,2013,Andhra Pradesh
1.7,33.8,57.7,5,2013,Andhra Pradesh
26.5,31.8,62.6,6,2013,Andhra Pradesh
19.8,29.0,65.2,7,2013,Andhra Pradesh
27.5,28.4,71.1,8,2013,Andhra Pradesh
51.9,26.5,68.0,9,2013,Andhra Pradesh
4.2,26.5,64.8,10,2013,Andhra Pradesh
2.7,24.0,62.5,11,2013,Andhra Pradesh
2.4,23.0,68.5,12,2013,Andhra Pradesh
3.9,21.8,69.5,1,2014,Andhra Pradesh
2.3,25.4,64.9,2,2014,Andhra Pradesh
0.8,30.2,63.4,3,2014,Andhra Pradesh
1.4,34.4,62.5,4,2014,Andhra Pradesh
2.3,33.1,66.0,5,2014,Andhra Pradesh
56.6,32.2,67.3,6,2014,Andhra Pradesh
98.3,30.0,63.3,7,2014,Andhra Pradesh
60.0,28.9,65.5,8,2014,Andhra Pradesh
33.7,28.8,66.1,9,2014,Andhra Pradesh
1.1,26.8,67.4,10,2014,Andhra Pradesh
2.7,23.4,67.2,11,2014,Andhra Pradesh
10.2,21.5,66.6,12,2014,Andhra Pradesh
6.9,22.5,67.1,1,2015,Andhra Pradesh
5.7,24.9,59.8,2,2015,Andhra Pradesh
1.9,29.4,62.9,3,2015,Andhra Pradesh
3.5,35.1,60.8,4,2015,Andhra Pradesh
4.6,33.6,59.7,5,2015,Andhra Pradesh
35.4,29.8,67.5,6,2015,Andhra Pradesh
63.7,29.7,66.5,7,2015,Andhra Pradesh
96.3,28.2,66.5,8,2015,Andhra Pradesh
3.1,27.9,66.7,9,2015,Andhra Pradesh
4.9,27.5,64.2,10,2015,Andhra Pradesh
1.6,25.2,67.0,11,2015,Andhra Pradesh
2.9,24.6,65.2,12,2015,Andhra Pradesh
3.0,22.1,67.4,1,2016,Andhra Pradesh
2.7,24.7,73.6,2,2016,Andhra Pradesh
4.7,29.9,62.9,3,2016,Andhra Pradesh
2.9,32.5,63.3,4,2016,Andhra Pradesh
8.1,33.8,61.6,5,2016,Andhra Pradesh
52.9,31.1,69.9,6,2016,Andhra Pradesh
115.8,30.3,71.7,7,2016,Andhra Pradesh
42.2,29.6,64.2,8,2016,Andhra Pradesh
67.2,28.5,64.9,9,2016,Andhra Pradesh
2.9,26.5,67.7,10,2016,Andhra Pradesh
3.1,24.2,68.1,11,2016,Andhra Pradesh
1.7,22.0,69.4,12,2016,Andhra Pradesh
2.2,22.5,72.6,1,2017,Andhra Pradesh
2.4,24.1,68.6,2,2017,Andhra Pradesh
2.5,29.6,63.7,3,2017,Andhra Pradesh
0.5,33.0,60.7,4,2017,Andhra Pradesh
4.0,35.1,62.5,5,2017,Andhra Pradesh
39.7,32.8,59.6,6,2017,Andhra Pradesh
58.8,30.1,66.9,7,2017,Andhra Pradesh
31.0,30.3,67.5,8,2017,Andhra Pradesh
76.2,28.8,67.6,9,2017,Andhra Pradesh
1.7,28.4,68.1,10,2017,Andhra Pradesh
4.9,24.6,71.8,11,2017,Andhra Pradesh
4.1,23.9,63.0,12,2017,Andhra Pradesh
3.9,23.3,64.7,1,2018,Andhra Pradesh
0.4,25.3,67.1,2,2018,Andhra Pradesh
2.5,30.8,58.3,3,2018,Andhra Pradesh
2.9,34.3,60.6,4,2018,Andhra Pradesh
4.0,34.4,63.2,5,2018,Andhra Pradesh
10.3,31.6,63.5,6,2018,Andhra Pradesh
140.0,29.7,73.2,7,2018,Andhra Pradesh
312.5,29.4,74.6,8,2018,Andhra Pradesh
40.4,28.3,69.0,9,2018,Andhra Pradesh
1.5,26.9,65.3,10,2018,Andhra Pradesh
0.9,26.1,68.9,11,2018,Andhra Pradesh
2.1,22.3,68.6,12,2018,Andhra Pradesh
5.5,24.0,70.2,1,2019,Andhra Pradesh
0.6,26.1,65.4,2,2019,Andhra Pradesh
4.8,31.5,59.8,3,2019,Andhra Pradesh
6.4,34.3,64.5,4,2019,Andhra Pradesh
10.7,33.4,61.5,5,2019,Andhra Pradesh
76.5,32.9,63.5,6,2019,Andhra Pradesh
91.2,30.0,66.0,7,2019,Andhra Pradesh
24.7,29.8,63.1,8,2019,Andhra Pradesh
51.4,28.1,67.4,9,2019,Andhra Pradesh
7.9,28.2,68.1,10,2019,Andhra Pradesh
2.1,25.1,61.8,11,2019,Andhra Pradesh
2.4,23.1,70.2,12,2019,Andhra Pradesh
3.2,22.1,71.2,1,2020,Andhra Pradesh
1.9,24.1,59.5,2,2020,Andhra Pradesh
3.0,30.8,65.9,3,2020,Andhra Pradesh
1.5,32.9,63.7,4,2020,Andhra Pradesh
3.1,33.5,63.4,5,2020,Andhra Pradesh
39.7,31.7,67.6,6,2020,Andhra Pradesh
52.3,30.2,63.4,7,2020,Andhra Pradesh
94.7,27.4,69.6,8,2020,Andhra Pradesh
115.8,28.7,74.3,9,2020,Andhra Pradesh
1.6,25.9,67.7,10,2020,Andhra Pradesh
7.4,24.3,70.2,11,2020,Andhra Pradesh
1.5,22.2,71.9,12,2020,Andhra Pradesh
4.8,10.5,81.3,1,1997,Arunachal Pradesh
4.6,14.4,81.4,2,1997,Arunachal Pradesh
3.0,19.1,74.4,3,1997,Arunachal Pradesh
2.8,24.9,74.7,4,1997,Arunachal Pradesh
7.5,26.0,68.6,5,1997,Arunachal Pradesh
66.2,22.5,71.7,6,1997,Arunachal Pradesh
29.7,19.8,79.9,7,1997,Arunachal Pradesh
186.6,18.8,88.1,8,1997,Arunachal Pradesh
41.5,17.9,83.0,9,1997,Arunachal Pradesh
1.6,16.7,78.4,10,1997,Arunachal Pradesh
4.8,13.5,78.2,11,1997,Arunachal Pradesh
2.0,10.6,79.6,12,1997,Arunachal Pradesh
2.7,9.4,81.1,1,1998,Arunachal Pradesh
9.0,13.1,76.3,2,1998,Arunachal Pradesh
0.2,20.2,79.0,3,1998,Arunachal Pradesh
9.6,24.7,76.1,4,1998,Arunachal Pradesh
5.8,25.0,70.7,5,1998,Arunachal Pradesh
70.1,23.0,76.6,6,1998,Arunachal Pradesh
57.4,21.3,83.7,7,1998,Arunachal Pradesh
99.5,20.1,88.4,8,1998,Arunachal Pradesh
88.2,18.4,80.1,9,1998,Arunachal Pradesh
5.2,15.8,77.4,10,1998,Arunachal Pradesh
10.4,13.4,84.8,11,1998,Arunachal Pradesh
5.1,9.8,78.6,12,1998,Arunachal Pradesh
5.7,10.2,81.4,1,1999,Arunachal Pradesh
3.7,13.3,76.9,2,1999,Arunachal Pradesh
19.9,20.5,76.6,3,1999,Arunachal Pradesh
4.5,25.9,79.2,4,1999,Arunachal Pradesh
7.8,24.6,80.2,5,1999,Arunachal Pradesh
36.8,25.2,74.9,6,1999,Arunachal Pradesh
27.1,21.5,81.2,7,1999,Arunachal Pradesh
81.1,19.6,81.3,8,1999,Arunachal Pradesh
47.8,19.2,79.4,9,1999,Arunachal Pradesh
8.6,16.8,78.6,10,1999,Arunachal Pradesh
1.9,14.4,81.0,11,1999,Arunachal Pradesh
17.2,10.7,81.1,12,1999,Arunachal Pradesh
7.2,9.8,86.6,1,2000,Arunachal Pradesh
4.2,13.0,82.1,2,2000,Arunachal Pradesh
34.9,21.2,76.6,3,2000,Arunachal Pradesh
9.0,24.3,76.1,4,2000,Arunachal Pradesh
12.6,25.1,78.3,5,2000,Arunachal Pradesh
90.3,22.7,82.0,6,2000,Arunachal Pradesh
90.2,19.3,79.6,7,2000,Arunachal Pradesh
82.6,18.9,80.7,8,2000,Arunachal Pradesh
94.4,18.3,84.9,9,2000,Arunachal Pradesh
3.8,15.0,85.6,10,2000,Arunachal Pradesh
6.9,13.0,80.3,11,2000,Arunachal Pradesh
11.6,11.5,81.2,12,2000,Arunachal Pradesh
1.7,9.4,82.9,1,2001,Arunachal Pradesh
3.2,13.3,75.5,2,2001,Arunachal Pradesh
2.5,20.2,73.3,3,2001,Arunachal Pradesh
12.6,26.2,77.0,4,2001,Arunachal Pradesh
13.9,26.2,81.8,5,2001,Arunachal Pradesh
58.1,21.4,83.1,6,2001,Arunachal Pradesh
699.5,19.5,98.0,7,2001,Arunachal Pradesh
361.7,19.5,92.8,8,2001,Arunachal Pradesh
21.6,19.5,76.5,9,2001,Arunachal Pradesh
3.6,17.0,81.9,10,2001,Arunachal Pradesh
6.6,13.4,87.2,11,2001,Arunachal Pradesh
1.5,11.1,82.3,12,2001,Arunachal Pradesh
10.7,10.3,82.1,1,2002,Arunachal Pradesh
9.3,13.8,77.3,2,2002,Arunachal Pradesh
6.0,21.7,76.1,3,2002,Arunachal Pradesh
2.8,25.8,73.0,4,2002,Arunachal Pradesh
4.3,27.1,74.1,5,2002,Arunachal Pradesh
47.4,23.4,78.8,6,2002,Arunachal Pradesh
112.8,20.3,81.7,7,2002,Arunachal Pradesh
14.2,18.4,81.7,8,2002,Arunachal Pradesh
61.8,18.3,78.8,9,2002,Arunachal Pradesh
8.8,17.0,84.4,10,2002,Arunachal Pradesh
11.7,12.8,75.3,11,2002,Arunachal Pradesh
11.3,9.3,88.3,12,2002,Arunachal Pradesh
6.3,11.2,81.6,1,2003,Arunachal Pradesh
4.3,12.8,78.2,2,2003,Arunachal Pradesh
11.6,20.8,78.1,3,2003,Arunachal Pradesh
4.1,25.4,71.5,4,2003,Arunachal Pradesh
15.8,26.4,77.3,5,2003,Arunachal Pradesh
76.0,24.3,77.4,6,2003,Arunachal Pradesh
74.7,21.2,77.6,7,2003,Arunachal Pradesh
111.8,18.9,83.4,8,2003,Arunachal Pradesh
36.8,17.4,79.9,9,2003,Arunachal Pradesh
3.2,17.4,81.2,10,2003,Arunachal Pradesh
8.7,13.0,81.8,11,2003,Arunachal Pradesh
1.5,11.9,81.3,12,2003,Arunachal Pradesh
9.8,9.9,89.4,1,2004,Arunachal Pradesh
11.9,13.7,85.0,2,2004,Arunachal Pradesh
37.4,20.1,79.4,3,2004,Arunachal Pradesh
9.3,23.9,73.5,4,2004,Arunachal Pradesh
1.0,25.3,68.3,5,2004,Arunachal Pradesh
190.2,20.9,79.9,6,2004,Arunachal Pradesh
238.7,19.1,84.4,7,2004,Arunachal Pradesh
96.8,16.9,88.2,8,2004,Arunachal Pradesh
33.0,16.8,82.8,9,2004,Arunachal Pradesh
9.5,15.2,77.6,10,2004,Arunachal Pradesh
6.4,13.5,79.0,11,2004,Arunachal Pradesh
1.3,10.2,79.9,12,2004,Arunachal Pradesh
11.5,9.8,85.0,1,2005,Arunachal Pradesh
10.0,13.4,81.8,2,2005,Arunachal Pradesh
6.1,20.7,76.9,3,2005,Arunachal Pradesh
4.2,23.9,76.9,4,2005,Arunachal Pradesh
9.7,25.1,79.3,5,2005,Arunachal Pradesh
38.3,23.4,76.9,6,2005,Arunachal Pradesh
221.4,20.3,84.5,7,2005,Arunachal Pradesh
42.8,19.1,75.3,8,2005,Arunachal Pradesh
66.6,18.6,79.0,9,2005,Arunachal Pradesh
10.0,16.7,81.6,10,2005,Arunachal Pradesh
1.3,12.4,81.1,11,2005,Arunachal Pradesh
20.7,11.4,79.3,12,2005,Arunachal Pradesh
6.2,9.0,83.9,1,2006,Arunachal Pradesh
5.2,12.3,75.7,2,2006,Arunachal Pradesh
5.5,19.4,79.3,3,2006,Arunachal Pradesh
13.5,25.7,74.9,4,2006,Arunachal Pradesh
10.4,24.2,73.4,5,2006,Arunachal Pradesh
57.8,23.3,77.5,6,2006,Arunachal Pradesh
27.6,18.7,82.7,7,2006,Arunachal Pradesh
13.1,19.4,78.2,8,2006,Arunachal Pradesh
48.3,16.6,73.9,9,2006,Arunachal Pradesh
20.0,16.8,77.5,10,2006,Arunachal Pradesh
8.7,12.9,86.3,11,2006,Arunachal Pradesh
3.8,10.1,81.0,12,2006,Arunachal Pradesh
7.3,11.7,78.3,1,2007,Arunachal Pradesh
21.0,13.6,84.2,2,2007,Arunachal Pradesh
4.6,20.4,76.9,3,2007,Arunachal Pradesh
19.6,25.2,77.4,4,2007,Arunachal Pradesh
1.6,26.0,75.0,5,2007,Arunachal Pradesh
82.2,21.5,76.6,6,2007,Arunachal Pradesh
235.1,18.9,86.4,7,2007,Arunachal Pradesh
182.8,18.7,80.7,8,2007,Arunachal Pradesh
149.5,17.5,88.6,9,2007,Arunachal Pradesh
2.6,17.6,80.0,10,2007,Arunachal Pradesh
6.6,12.9,84.5,11,2007,Arunachal Pradesh
4.8,10.5,88.7,12,2007,Arunachal Pradesh
7.1,10.8,78.7,1,2008,Arunachal Pradesh
5.5,14.5,82.1,2,2008,Arunachal Pradesh
5.1,21.8,71.8,3,2008,Arunachal Pradesh
5.6,26.6,64.3,4,2008,Arunachal Pradesh
8.4,27.8,71.8,5,2008,Arunachal Pradesh
16.0,24.1,77.6,6,2008,Arunachal Pradesh
102.0,20.5,74.4,7,2008,Arunachal Pradesh
141.1,19.6,84.4,8,2008,Arunachal Pradesh
41.4,18.8,79.3,9,2008,Arunachal Pradesh
0.7,18.1,81.0,10,2008,Arunachal Pradesh
5.1,14.0,81.6,11,2008,Arunachal Pradesh
0.9,11.6,81.6,12,2008,Arunachal Pradesh
12.1,10.9,78.8,1,2009,Arunachal Pradesh
5.3,12.4,80.8,2,2009,Arunachal Pradesh
4.7,19.8,74.8,3,2009,Arunachal Pradesh
8.3,23.8,74.1,4,2009,Arunachal Pradesh
8.0,25.4,72.0,5,2009,Arunachal Pradesh
64.6,21.0,82.1,6,2009,Arunachal Pradesh
115.8,18.2,81.7,7,2009,Arunachal Pradesh
87.5,19.1,82.5,8,2009,Arunachal Pradesh
67.5,19.8,75.7,9,2009,Arunachal Pradesh
5.6,14.9,82.5,10,2009,Arunachal Pradesh
11.5,12.6,86.3,11,2009,Arunachal Pradesh
4.5,9.7,86.7,12,2009,Arunachal Pradesh
17.3,10.8,82.9,1,2010,Arunachal Pradesh
13.4,13.5,79.2,2,2010,Arunachal Pradesh
8.4,22.0,71.8,3,2010,Arunachal Pradesh
2.7,27.5,69.8,4,2010,Arunachal Pradesh
1.2,26.0,70.2,5,2010,Arunachal Pradesh
65.8,24.3,73.9,6,2010,Arunachal Pradesh
140.6,19.8,81.0,7,2010,Arunachal Pradesh
49.7,18.9,84.0,8,2010,Arunachal Pradesh
36.6,19.3,82.9,9,2010,Arunachal Pradesh
13.3,15.4,80.6,10,2010,Arunachal Pradesh
3.7,13.5,85.3,11,2010,Arunachal Pradesh
3.3,11.2,82.6,12,2010,Arunachal Pradesh
4.9,12.3,81.9,1,2011,Arunachal Pradesh
6.1,14.8,81.7,2,2011,Arunachal Pradesh
5.2,19.8,77.2,3,2011,Arunachal Pradesh
15.7,26.3,68.1,4,2011,Arunachal Pradesh
14.9,27.8,73.7,5,2011,Arunachal Pradesh
147.9,23.3,86.5,6,2011,Arunachal Pradesh
26.3,19.3,77.3,7,2011,Arunachal Pradesh
230.0,20.0,84.4,8,2011,Arunachal Pradesh
37.8,19.5,80.6,9,2011,Arunachal Pradesh
9.2,18.1,75.4,10,2011,Arunachal Pradesh
23.0,14.0,77.0,11,2011,Arunachal Pradesh
0.7,12.4,87.7,12,2011,Arunachal Pradesh
2.8,11.2,81.0,1,2012,Arunachal Pradesh
4.2,14.3,77.2,2,2012,Arunachal Pradesh
4.2,21.8,73.6,3,2012,Arunachal Pradesh
1.9,26.0,77.9,4,2012,Arunachal Pradesh
6.7,26.8,69.2,5,2012,Arunachal Pradesh
66.1,22.2,80.5,6,2012,Arunachal Pradesh
39.6,21.6,81.4,7,2012,Arunachal Pradesh
34.9,20.0,80.5,8,2012,Arunachal Pradesh
46.1,19.8,82.7,9,2012,Arunachal Pradesh
4.3,17.1,77.5,10,2012,Arunachal Pradesh
21.4,14.2,81.1,11,2012,Arunachal Pradesh
8.7,10.4,84.9,12,2012,Arunachal Pradesh
10.7,10.9,77.5,1,2013,Arunachal Pradesh
3.5,14.8,79.9,2,2013,Arunachal Pradesh
7.1,22.7,72.1,3,2013,Arunachal Pradesh
5.2,26.2,69.6,4,2013,Arunachal Pradesh
13.7,27.4,75.1,5,2013,Arunachal Pradesh
93.9,23.0,81.5,6,2013,Arunachal Pradesh
38.3,21.6,78.0,7,2013,Arunachal Pradesh
159.5,21.2,82.0,8,2013,Arunachal Pradesh
57.1,20.0,82.5,9,2013,Arunachal Pradesh
3.1,17.7,79.3,10,2013,Arunachal Pradesh
5.9,15.7,78.2,11,2013,Arunachal Pradesh
10.3,12.3,82.6,12,2013,Arunachal Pradesh
1.9,9.2,81.6,1,2014,Arunachal Pradesh
7.0,12.0,81.7,2,2014,Arunachal Pradesh
4.2,20.0,76.7,3,2014,Arunachal Pradesh
9.4,25.2,71.3,4,2014,Arunachal Pradesh
12.8,25.6,78.2,5,2014,Arunachal Pradesh
68.3,21.7,80.9,6,2014,Arunachal Pradesh
9.7,19.6,78.1,7,2014,Arunachal Pradesh
51.0,18.1,80.1,8,2014,Arunachal Pradesh
53.4,18.0,75.7,9,2014,Arunachal Pradesh
5.4,16.4,78.2,10,2014,Arunachal Pradesh
4.0,13.9,76.8,11,2014,Arunachal Pradesh
0.8,11.0,80.5,12,2014,Arunachal Pradesh
2.5,9.0,83.5,1,2015,Arunachal Pradesh
10.5,13.0,81.2,2,2015,Arunachal Pradesh
24.8,19.1,78.4,3,2015,Arunachal Pradesh
12.3,25.8,75.3,4,2015,Arunachal Pradesh
