State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year,Humidity_pct,Solar_Radiation_W_m2,Irrigation_Method,Pesticide_Usage_kg_ha
Andhra Pradesh,Cotton,Loamy,Organic,52.0,57.0,158.0,110.0,23.17,285.906061589174,7.11,2004,41.00427059120603,470.220384377604,Sprinkler,0.8117339151702787
Punjab,Sugarcane,Red Soil,Organic,35.0,112.0,20.0,146.0,37.96,242.89621331072158,8.0,2004,48.254534577572265,563.3225310115093,Sprinkler,2.1546655665097543
Uttar Pradesh,Wheat,Red Soil,DAP,85.0,82.0,10.0,202.0,29.27,348.3348237658741,6.59,2006,61.48538589793427,461.2370167336754,Flood,4.770250143209196
Haryana,Rice,Black Soil,Compost,39.0,27.0,78.0,202.0,27.3,522.9804563495369,5.5,2008,55.916701118526944,306.5035882759529,Sprinkler,0.5347551080656509
Punjab,Soybean,Loamy,Compost,20.0,119.0,132.0,111.0,33.72,434.442968053149,7.25,2006,47.47374841188251,485.0638504350359,Sprinkler,1.5578461406036266
Odisha,Groundnut,Clay,Organic,129.0,102.0,167.0,141.0,29.59,1056.2325337532316,7.48,2008,66.71117368334276,263.2522346626722,,1.5443436355972535
Haryana,Maize,Sandy,Urea,65.0,81.0,77.0,256.0,30.46,407.31535969560497,5.63,2019,38.36963163912251,535.3770630891389,Sprinkler,4.145716423555887
Andhra Pradesh,Cotton,Sandy,Compost,76.0,54.0,80.0,213.0,37.96,243.14308047360058,6.9,2009,47.52867891211309,402.0699769717365,Sprinkler,0.1036750734681418
Uttar Pradesh,Soybean,Red Soil,Urea,20.0,29.0,165.0,299.0,26.56,377.62836412371803,7.09,2003,51.9817105976215,516.3360354915801,Drip,1.1049471723253654
Karnataka,Groundnut,Loamy,DAP,53.0,49.0,10.0,264.0,26.31,276.88316730736375,6.72,2005,57.36419905302216,631.4074981524604,Drip,0.4029247781401976
Madhya Pradesh,Cotton,Clay,Compost,78.0,97.0,81.0,261.0,28.82,278.68641700218774,6.2,2023,77.11055768358082,405.1251304732,Drip,0.0435356186132708
Punjab,Maize,Sandy,Compost,30.0,119.0,112.0,75.0,34.34,388.3828918869352,7.5,2013,41.98042692950158,606.1256258512118,,0.3180640094794922
Andhra Pradesh,Wheat,Loamy,DAP,88.0,113.0,126.0,233.0,19.44,762.9176047863841,6.48,2008,60.8540663048167,456.6610433313847,Sprinkler,7.499015343970598
Odisha,Sugarcane,Clay,Compost,51.0,45.0,74.0,173.0,18.02,269.0224098322924,5.7,2000,65.54487413172255,675.3194802065585,Sprinkler,0.4837571966308401
Punjab,Sugarcane,Alluvial,Organic,62.0,24.0,104.0,136.0,24.76,284.1194073960499,5.5,2016,32.78702476319987,463.4847386801787,Flood,5.467683114256123
Gujarat,Cotton,Red Soil,Organic,51.0,66.0,10.0,189.0,18.71,164.40716572028748,7.68,2012,66.45269111408629,415.9507014493309,Sprinkler,0.4594662867065923
Gujarat,Groundnut,Black Soil,DAP,139.0,5.0,66.0,246.0,25.69,491.68972189250553,7.21,2023,40.23144742123749,568.7238450395289,Sprinkler,5.355873223561655
Uttar Pradesh,Sugarcane,Sandy,Urea,73.0,72.0,127.0,214.0,31.05,607.03955769708,6.83,2006,33.90309557911677,456.4210270376364,Drip,2.1262254531447726
Karnataka,Sugarcane,Sandy,Urea,34.0,56.0,49.0,112.0,23.0,226.63337421654168,6.45,2008,86.93313223519999,415.85504858709913,Flood,0.2403135007580821
Uttar Pradesh,Wheat,Clay,Compost,104.0,46.0,105.0,232.0,19.9,687.158528095306,6.39,2010,87.93792198447356,452.2160149296209,Drip,1.7441417777771593
Uttar Pradesh,Maize,Black Soil,Urea,27.0,8.0,126.0,130.0,28.55,293.1360305274676,6.0,2002,78.50384088698766,495.5393467816999,Drip,0.7669592521250049
Maharashtra,Rice,Alluvial,Urea,81.0,78.0,83.0,193.0,33.14,1044.635249090399,6.46,2011,48.27682615040224,634.2180131244854,Drip,0.966269025517942
Karnataka,Sugarcane,Loamy,DAP,10.0,44.0,111.0,154.0,18.35,326.3251499654105,5.5,2020,35.86032684038303,306.5912254540423,Drip,1.1602476474181953
Maharashtra,Cotton,Red Soil,Urea,23.0,22.0,50.0,161.0,32.89,100.0,6.24,2002,71.05398159072942,502.3080658950421,Drip,1.098810762855433
Haryana,Soybean,Loamy,Urea,81.0,5.0,91.0,233.0,32.87,333.0386753354591,6.55,2014,56.40914962437608,562.4903594654043,Sprinkler,2.18193650072472
Andhra Pradesh,Maize,Clay,Urea,101.0,60.0,135.0,100.0,33.66,715.8261822224941,7.21,2020,37.32229409068673,519.3448574991796,Drip,2.9252113393800823
Andhra Pradesh,Wheat,Sandy,Organic,80.0,119.0,111.0,299.0,35.19,694.483938340939,6.74,2009,59.71061460667621,630.9865169433534,Sprinkler,0.7985019791995641
Karnataka,Maize,Alluvial,Organic,69.0,116.0,70.0,50.0,37.96,256.8695902614356,7.34,2000,32.063311266913104,492.5654670241476,Drip,5.163644824202934
Karnataka,Wheat,Sandy,DAP,62.0,46.0,114.0,133.0,26.09,406.6337927015364,7.74,2013,84.55922412472692,481.5448557814055,Drip,5.5763410291874855
Haryana,Maize,Loamy,Compost,18.0,41.0,141.0,204.0,28.78,379.84658657497386,7.53,2019,45.52679889600101,559.2329547013343,Sprinkler,0.08308291727656
Andhra Pradesh,Rice,Alluvial,DAP,46.0,77.0,10.0,220.0,25.74,664.551956236855,7.11,2005,69.75133706123893,509.931381495135,,0.0300420839568231
Haryana,Cotton,Red Soil,Compost,56.0,28.0,165.0,169.0,28.16,205.17448918644268,6.78,2001,48.70266456536466,460.9591261719529,Flood,1.1070012032466925
Madhya Pradesh,Soybean,Clay,Compost,113.0,71.0,84.0,173.0,37.01,661.5263488915143,6.06,2022,61.20408127066865,551.6144039586379,,1.786346283755323
Odisha,Sugarcane,Red Soil,Urea,86.0,87.0,125.0,207.0,20.38,712.7439817767098,7.3,2007,62.80261676059678,434.74717067833546,Sprinkler,0.651196440108769
Gujarat,Rice,Clay,Urea,10.0,102.0,167.0,160.0,23.17,1065.5331255022768,7.98,2000,41.091267331531625,438.8822847980673,Sprinkler,0.6006263563372439
Madhya Pradesh,Cotton,Red Soil,DAP,86.0,58.0,28.0,279.0,36.11,238.73436548630053,7.02,2003,88.17507766587352,447.2005978234386,Sprinkler,2.2684820188996637
Uttar Pradesh,Soybean,Loamy,DAP,59.0,55.0,64.0,239.0,34.05,324.3996319245779,8.0,2003,76.50796940166687,635.3069160166408,Sprinkler,1.841121092420188
Punjab,Maize,Black Soil,DAP,48.0,32.0,86.0,241.0,26.05,269.8205988508452,5.67,2004,86.36993649385136,177.89836440142864,Drip,0.3657959457630484
Maharashtra,Sugarcane,Alluvial,Organic,96.0,34.0,60.0,106.0,33.09,216.49857071082826,5.94,2019,83.68964102565893,539.5598834762942,Sprinkler,4.316986178026303
Tamil Nadu,Soybean,Clay,Organic,112.0,54.0,196.0,171.0,30.12,914.2690079756088,7.39,2008,65.8739987286651,503.42718142002224,Sprinkler,2.2787190104752977
Punjab,Groundnut,Loamy,Organic,109.0,73.0,56.0,155.0,36.82,436.44994193191667,6.96,2022,85.312454101387,331.912954076188,Sprinkler,0.9006412312852186
Karnataka,Soybean,Sandy,Organic,42.0,92.0,72.0,103.0,28.58,273.70769099764937,7.72,2012,35.30955012311517,530.9726779136003,Sprinkler,2.301652160478988
Odisha,Cotton,Sandy,Organic,62.0,35.0,113.0,203.0,34.08,208.00098204539032,6.76,2017,41.75897174514871,547.5751991831532,Drip,0.2390385292875909
Madhya Pradesh,Rice,Red Soil,Urea,86.0,111.0,37.0,137.0,37.96,734.7623479951822,6.15,2016,32.71363733463228,558.9639231357401,Sprinkler,1.263186685475709
Tamil Nadu,Sugarcane,Sandy,Compost,110.0,52.0,81.0,225.0,31.61,635.6486960372915,6.62,2024,49.519819845795865,234.81719369550515,Drip,0.3702134464863598
Tamil Nadu,Rice,Black Soil,Organic,55.0,61.0,119.0,98.0,28.44,1086.129614409864,5.67,2000,53.320637381368925,636.6389411854439,,0.0846279767470754
Karnataka,Sugarcane,Clay,DAP,66.0,36.0,84.0,299.0,32.33,311.1797776641519,5.96,2021,46.28094190643375,426.226329531516,Drip,0.8259653999173492
Madhya Pradesh,Groundnut,Red Soil,Compost,32.0,5.0,97.0,111.0,26.04,231.43695453030767,7.47,2014,79.72425054911577,568.6567746753176,Drip,0.3267691574945442
Tamil Nadu,Cotton,Clay,Organic,28.0,91.0,73.0,193.0,37.96,188.64816866783508,7.4,2001,51.40519960161536,574.1073780682286,Flood,2.007611509274008
Madhya Pradesh,Soybean,Clay,Organic,104.0,86.0,20.0,235.0,29.19,471.27907550520246,7.03,2015,46.85607058124285,412.33029143807073,Sprinkler,2.2421323663267305
Maharashtra,Groundnut,Loamy,Urea,125.0,52.0,120.0,135.0,26.57,947.7917927845208,5.53,2019,62.56176498949491,566.045995235155,Drip,0.3219632969143584
Maharashtra,Maize,Sandy,Urea,71.0,64.0,197.0,240.0,23.32,629.0374386966702,6.51,2021,38.45545349848576,461.4506759087642,Sprinkler,0.0498419388106326
Tamil Nadu,Wheat,Alluvial,Urea,111.0,78.0,103.0,86.0,34.49,672.5449316090711,5.89,2004,78.13181884524238,292.86228206618426,Drip,3.1482434860773
Tamil Nadu,Maize,Clay,Organic,87.0,9.0,114.0,284.0,33.16,492.0469887896704,7.62,2021,34.47303862078625,616.7741925527779,Drip,0.0041182786029973
Karnataka,Cotton,Black Soil,Urea,49.0,44.0,140.0,178.0,25.28,256.9463795529531,6.35,2018,89.21321619603104,422.495503698376,Drip,0.842924025626442
Madhya Pradesh,Groundnut,Black Soil,Organic,87.0,88.0,33.0,133.0,31.48,317.1090619112001,5.99,2004,76.33468615779944,414.5506537261946,Sprinkler,1.3647440751460684
Andhra Pradesh,Rice,Alluvial,Compost,131.0,20.0,195.0,155.0,19.43,1644.19097918722,6.79,2001,41.92294089205035,459.6934131963278,Flood,3.4145666804536616
Haryana,Groundnut,Sandy,Compost,72.0,71.0,113.0,236.0,29.22,590.7868347325281,6.31,2006,30.331327027416144,527.2236725327388,Sprinkler,3.647226630480212
Haryana,Wheat,Sandy,Organic,132.0,16.0,191.0,134.0,30.77,684.7416256892548,7.84,2002,78.92768570729005,494.27295891778977,Sprinkler,2.5815279791951227
Punjab,Cotton,Red Soil,DAP,10.0,77.0,62.0,122.0,37.96,118.23301187836357,6.24,2016,72.41144063085703,554.806692470717,Drip,0.5679050651192034
Punjab,Groundnut,Red Soil,Organic,104.0,60.0,199.0,160.0,23.69,831.9532344483532,5.76,2023,73.74043008245924,366.0510633471341,Sprinkler,2.547267042681084
Tamil Nadu,Sugarcane,Red Soil,Compost,77.0,8.0,144.0,90.0,20.76,319.690800143086,5.5,2023,76.27622080115674,425.7613629569265,Flood,0.5661565666793087
Gujarat,Maize,Sandy,Compost,62.0,100.0,132.0,299.0,22.97,671.3183923404116,6.75,2002,34.442679104045425,488.4002927678466,Drip,0.4831451338099465
Maharashtra,Soybean,Clay,Organic,77.0,37.0,115.0,135.0,20.42,353.7863024961623,6.37,2012,51.50794371265636,689.7887292658705,Flood,1.5842913061367971
Uttar Pradesh,Maize,Loamy,Organic,10.0,34.0,89.0,238.0,35.88,238.85497749284434,5.74,2006,36.95214357150778,488.6187461586242,Sprinkler,2.271721625255772
Madhya Pradesh,Cotton,Alluvial,Organic,65.0,68.0,167.0,192.0,37.1,343.9232819985715,7.63,2024,81.78620555253562,608.5222263661632,Flood,0.1090217006873099
Odisha,Groundnut,Alluvial,Compost,87.0,99.0,110.0,104.0,30.0,549.5077931631329,7.25,2023,67.39788760965348,503.8555168784318,Sprinkler,0.123798895513453
Odisha,Maize,Alluvial,DAP,129.0,28.0,10.0,176.0,35.21,358.1984444221989,6.75,2002,49.85388149115895,451.6341362562432,Sprinkler,3.0665348008564
Maharashtra,Groundnut,Red Soil,Organic,54.0,63.0,41.0,235.0,28.92,298.03447136411364,7.75,2014,33.81350101716142,475.3275575885559,Flood,3.925056448635511
Punjab,Maize,Loamy,Compost,43.0,76.0,92.0,163.0,27.6,392.7686939092492,7.25,2017,48.65893930293973,483.1580287971119,Flood,1.8549102263033543
Karnataka,Cotton,Black Soil,Organic,54.0,84.0,119.0,265.0,26.23,372.0635108961892,6.18,2009,49.51099932160482,560.3645738960738,Drip,1.120129811521574
Odisha,Rice,Sandy,Compost,108.0,67.0,99.0,252.0,26.36,1953.0607659765978,6.02,2022,73.77637070028385,637.4611267576554,,3.732748106503745
Tamil Nadu,Maize,Black Soil,Organic,86.0,49.0,168.0,245.0,19.2,673.7725290861194,7.36,2006,68.25344828131279,535.9680847686321,Drip,2.609923060213992
Gujarat,Soybean,Red Soil,Compost,53.0,34.0,10.0,143.0,29.68,161.98371659466667,7.06,2008,83.23276455457959,618.7077678741755,Drip,1.7330696799172898
Odisha,Maize,Clay,Organic,93.0,64.0,110.0,97.0,27.92,587.9798181713784,6.89,2004,58.33289550971696,403.5210262370314,Sprinkler,0.7706107419570648
Haryana,Cotton,Red Soil,Urea,77.0,26.0,10.0,132.0,32.46,104.23140455233627,6.16,2019,37.1756547562981,458.53694911859697,Flood,0.4412810271988765
Gujarat,Maize,Loamy,Organic,110.0,5.0,143.0,191.0,28.69,598.9801531010162,7.21,2007,72.7946872333797,427.5697465792333,,1.0848838505820622
Gujarat,Soybean,Red Soil,Compost,47.0,76.0,97.0,217.0,27.21,459.0900801172409,6.23,2013,75.64710291701385,531.4444590874853,Sprinkler,0.6760500959064772
Odisha,Sugarcane,Alluvial,Organic,61.0,91.0,125.0,50.0,23.11,430.9026513690694,6.7,2003,63.67663185416978,464.1041614820586,Drip,0.8287854450636376
Karnataka,Soybean,Clay,DAP,59.0,5.0,55.0,176.0,28.57,174.32558966957015,7.81,2019,76.25803079727366,572.9772937034195,Sprinkler,1.4498167604840495
Karnataka,Cotton,Clay,Organic,18.0,28.0,172.0,188.0,32.42,189.7353313568363,6.29,2013,59.62773578186344,406.89982883675583,Drip,0.3704771108854546
Punjab,Groundnut,Sandy,Organic,85.0,82.0,159.0,156.0,21.54,642.3049304681749,5.64,2011,61.363969762919645,504.3030973321281,Sprinkler,3.281616513816212
Maharashtra,Maize,Sandy,Organic,83.0,119.0,134.0,272.0,28.66,755.4632168966592,6.01,2001,55.652461101512976,568.6857911012256,Sprinkler,0.3145465106591249
Tamil Nadu,Rice,Alluvial,DAP,74.0,62.0,95.0,208.0,29.5,1112.448555017162,7.49,2012,31.52514760464571,293.469722495939,Drip,1.311678280880774
Uttar Pradesh,Soybean,Clay,DAP,65.0,37.0,134.0,273.0,24.0,437.70338242528584,6.95,2000,36.47348561959826,712.1631307330204,Sprinkler,2.740616352253595
Andhra Pradesh,Sugarcane,Alluvial,DAP,20.0,55.0,64.0,161.0,24.75,254.28358632387312,6.68,2019,31.885751141204054,471.6848115120124,Sprinkler,1.3272571764656418
Uttar Pradesh,Soybean,Clay,Urea,58.0,107.0,149.0,246.0,29.48,612.6380490278643,6.4,2006,68.18462467582683,297.4960086323827,Flood,0.8957707070168938
Haryana,Maize,Loamy,DAP,60.0,40.0,192.0,297.0,21.6,484.64121470262063,7.12,2024,48.8613588645796,515.8093898576786,Sprinkler,1.2883000025830484
Karnataka,Groundnut,Red Soil,Urea,43.0,35.0,160.0,273.0,30.17,389.9742460622726,6.16,2008,60.514241469882165,503.3443467973151,Drip,3.776594029013298
Punjab,Maize,Sandy,Organic,67.0,45.0,62.0,96.0,22.97,204.22809571152163,6.99,2016,84.45398843556558,491.8105620427507,Drip,9.298599096807472
Haryana,Sugarcane,Loamy,Urea,89.0,30.0,122.0,158.0,34.29,434.01621786694386,6.24,2020,44.9575337489325,599.1191112926666,Drip,1.994694056428124
Uttar Pradesh,Sugarcane,Red Soil,Organic,139.0,65.0,32.0,151.0,37.96,600.8317207119568,6.12,2022,54.62297538213778,574.7444971427055,Drip,3.1543678467600684
Gujarat,Cotton,Sandy,Urea,80.0,115.0,133.0,213.0,23.17,395.1773463854885,6.31,2012,75.33306831258292,529.7876191023845,Sprinkler,0.0291893443002491
Maharashtra,Rice,Alluvial,DAP,83.0,72.0,127.0,227.0,31.24,1644.1445940414985,6.5,2022,43.72788992949735,545.0155633946648,,4.246609805015081
Gujarat,Maize,Loamy,DAP,71.0,53.0,10.0,115.0,23.95,243.8261988562462,6.73,2009,34.61879458972758,489.56415505619134,Sprinkler,6.160392411113671
Uttar Pradesh,Soybean,Black Soil,Urea,10.0,52.0,39.0,182.0,34.17,220.11327714617084,6.94,2015,47.38508717482608,677.5490849240048,Sprinkler,1.7121292813095472
Odisha,Soybean,Black Soil,Urea,72.0,9.0,87.0,50.0,20.84,204.9925404324856,5.5,2005,39.67327723524026,352.0803981642233,Sprinkler,2.8032616276872027
Maharashtra,Cotton,Sandy,DAP,76.0,91.0,86.0,283.0,30.93,296.40436951907253,6.19,2015,85.78185914055439,513.9651674215896,Sprinkler,1.4379343028962064
Punjab,Groundnut,Loamy,Organic,139.0,59.0,36.0,139.0,23.1,616.2806511242767,6.49,2010,78.48722277386501,506.5024631188781,,0.6743154162819388
Madhya Pradesh,Maize,Red Soil,Organic,66.0,55.0,123.0,181.0,26.95,564.1255896667546,7.85,2019,68.00422539062541,581.3280406064594,,3.824439793573666
Gujarat,Wheat,Red Soil,Organic,85.0,119.0,116.0,154.0,22.19,618.9874269112252,5.99,2002,82.28763541126307,415.6146122575101,Sprinkler,1.8168272358953224
Odisha,Groundnut,Loamy,Organic,72.0,71.0,92.0,261.0,32.9,499.957513985065,6.89,2008,78.22032461394687,325.6327397603464,Drip,1.732065594582455
Haryana,Soybean,Black Soil,Compost,29.0,36.0,61.0,50.0,23.31,130.90668544836564,7.85,2014,41.19420353316215,515.6823016098193,Flood,2.152521142841149
Madhya Pradesh,Sugarcane,Loamy,Organic,116.0,47.0,159.0,176.0,31.34,839.817261868989,5.82,2012,83.55353990939867,528.1230492218604,Drip,3.875927929140733
Haryana,Maize,Black Soil,Compost,102.0,99.0,192.0,169.0,26.16,823.7073099434191,7.05,2009,62.36053451493904,648.9599409447649,Flood,2.632836165659848
Karnataka,Sugarcane,Black Soil,Compost,103.0,65.0,76.0,143.0,27.49,504.5524391405185,6.19,2019,78.44640930984374,372.9637953674914,Flood,0.4742927552872223
Madhya Pradesh,Soybean,Alluvial,DAP,39.0,14.0,69.0,299.0,29.0,230.18590017559237,6.41,2023,83.7654779954096,615.469376671672,Drip,1.2578056969108973
Maharashtra,Rice,Alluvial,DAP,126.0,92.0,129.0,111.0,23.75,2261.27536867211,6.19,2012,49.08020849831183,736.7414364027121,,7.854103952143211
Karnataka,Groundnut,Red Soil,Urea,21.0,39.0,83.0,234.0,29.37,264.6842991236405,6.24,2016,36.60311547166061,462.2235112477523,,1.6173886473086785
Maharashtra,Wheat,Sandy,Organic,96.0,119.0,95.0,203.0,37.0,640.4303227009759,8.0,2006,43.6761097525165,370.9057780506776,,5.569172117737074
Tamil Nadu,Rice,Clay,Organic,139.0,97.0,142.0,270.0,23.65,3496.7151678895843,7.38,2005,55.626467317575376,459.3025633626629,Sprinkler,3.3572489587117738
Odisha,Wheat,Loamy,DAP,36.0,46.0,10.0,128.0,34.92,196.93966836170327,7.56,2012,79.08088595534959,501.4004967371381,Drip,2.193368947049374
Uttar Pradesh,Rice,Black Soil,DAP,52.0,104.0,174.0,123.0,36.81,1139.7138723935004,7.12,2016,81.64383499538062,556.3787875006915,Sprinkler,0.8596135627486368
Haryana,Groundnut,Loamy,DAP,77.0,64.0,106.0,258.0,23.43,596.6526194500765,5.61,2014,30.417127831871444,440.8605270161953,Sprinkler,0.7257291131902426
Uttar Pradesh,Soybean,Sandy,Urea,54.0,90.0,80.0,208.0,19.74,381.0765289516252,7.05,2003,60.64483815465394,655.5198534147341,Drip,2.0623992958431745
Madhya Pradesh,Wheat,Sandy,Organic,15.0,77.0,97.0,63.0,29.9,313.0612275840959,7.54,2014,55.04466018892674,388.5467684991938,Sprinkler,1.1332448976707872
Gujarat,Groundnut,Clay,Urea,76.0,33.0,100.0,137.0,24.99,287.64273448944846,6.16,2013,43.326468628243816,326.07948478272,Sprinkler,3.206450728838588
Gujarat,Wheat,Clay,Compost,33.0,40.0,10.0,205.0,37.96,194.66302511504543,7.47,2020,37.19192204002097,610.6710424287318,Drip,2.8580425004356576
Haryana,Groundnut,Black Soil,Compost,91.0,95.0,183.0,239.0,28.35,803.9181826486869,7.28,2010,50.25691028421768,272.53789687938,Sprinkler,0.7483122399877
Karnataka,Rice,Alluvial,Organic,39.0,50.0,104.0,127.0,23.51,870.9543439976991,8.0,2023,86.57458223475115,479.5870231127284,Drip,2.426220737076023
Haryana,Groundnut,Clay,DAP,132.0,48.0,126.0,50.0,21.52,790.3481514140642,6.47,2003,49.39217592124531,811.7681129208047,Flood,1.364613066954149
Tamil Nadu,Rice,Alluvial,DAP,44.0,30.0,154.0,215.0,34.45,833.2399861063425,5.98,2002,61.12743730460197,498.79564470400686,Sprinkler,0.7810311254264417
Tamil Nadu,Soybean,Alluvial,Urea,61.0,75.0,47.0,87.0,24.85,233.3012240595879,6.51,2001,72.18113753371067,387.92323493037503,Drip,1.0653470979170665
Uttar Pradesh,Rice,Black Soil,Compost,104.0,119.0,128.0,50.0,28.4,1558.703625780534,7.8,2019,51.81777614275764,494.2602536213206,,4.514303345396117
Madhya Pradesh,Cotton,Red Soil,Compost,27.0,26.0,88.0,50.0,33.67,109.38619851680282,5.5,2009,88.30692496325764,494.9199211380466,Drip,0.8910675607767042
Tamil Nadu,Soybean,Alluvial,Organic,82.0,62.0,148.0,237.0,25.35,705.1719077358281,5.5,2012,87.74683769652668,516.0649940353117,Sprinkler,0.6776680121030608
Odisha,Sugarcane,Black Soil,Compost,123.0,108.0,10.0,186.0,27.88,537.8975153924915,6.83,2019,45.10693774952185,566.226298215962,Flood,0.8671342559395564
Karnataka,Sugarcane,Clay,DAP,13.0,59.0,97.0,160.0,28.05,376.10224632637323,6.45,2020,59.83491035354312,396.0888831632261,Flood,0.483171221537616
Karnataka,Sugarcane,Loamy,DAP,80.0,76.0,69.0,279.0,32.1,419.90104719736536,6.78,2022,48.05269858900618,668.7548055236794,Drip,1.5733119122789985
Tamil Nadu,Maize,Clay,DAP,83.0,26.0,126.0,224.0,31.56,446.35907373096,7.45,2024,47.090429662648056,524.5114284372618,,0.3190150222110793
Andhra Pradesh,Maize,Sandy,Organic,103.0,76.0,128.0,296.0,26.88,1020.2640598022027,6.37,2017,32.213216841271965,572.6794046401803,,3.4013942677282394
Gujarat,Groundnut,Clay,Urea,27.0,55.0,64.0,74.0,28.52,219.3145871687121,5.5,2020,66.57386003879381,437.18506002443576,Sprinkler,0.5112824723451704
Andhra Pradesh,Groundnut,Red Soil,Compost,24.0,94.0,63.0,174.0,26.0,258.94245956505836,8.0,2015,60.16074139373169,628.6382136995534,Sprinkler,1.822880168319247
Madhya Pradesh,Cotton,Black Soil,Organic,93.0,101.0,96.0,58.0,19.61,283.9615124834735,6.05,2010,33.08872507499936,474.2947591186936,Drip,0.2671210693437669
Madhya Pradesh,Groundnut,Alluvial,Urea,85.0,119.0,53.0,160.0,29.64,323.4900704942938,6.01,2009,46.71878785419669,527.7552513493532,Sprinkler,7.675051123872477
Maharashtra,Soybean,Sandy,Organic,83.0,81.0,148.0,158.0,37.96,626.6585501496131,7.56,2008,84.49595315799922,406.6893922812891,Sprinkler,1.2123816261099918
Madhya Pradesh,Soybean,Black Soil,Compost,86.0,72.0,82.0,223.0,23.04,500.016485955923,6.49,2011,44.37371344001835,400.3068373597873,Flood,3.453869561617156
Maharashtra,Sugarcane,Black Soil,DAP,48.0,68.0,10.0,180.0,23.68,267.5764902434816,6.72,2018,38.693692325473386,568.8205306452883,Sprinkler,2.9276284167340103
Karnataka,Rice,Alluvial,Urea,82.0,50.0,82.0,223.0,23.12,1000.1469990073261,7.12,2000,59.36716561665378,455.6393169792614,Sprinkler,2.501381563934991
Odisha,Wheat,Clay,Urea,84.0,73.0,46.0,229.0,32.34,358.9375529514781,7.55,2017,89.13902724663603,414.6176912495623,Drip,3.513149987675556
Punjab,Groundnut,Loamy,Organic,46.0,51.0,14.0,299.0,30.74,297.9216776689002,6.53,2013,44.523316290690026,435.68166579729694,Drip,0.2117515382221949
Gujarat,Cotton,Sandy,Organic,139.0,67.0,35.0,154.0,27.23,361.83938947406443,7.86,2021,70.32813284435272,569.8953071717422,Drip,2.269498036606916
Maharashtra,Sugarcane,Alluvial,DAP,91.0,105.0,108.0,107.0,22.84,574.0787006128634,5.5,2020,75.69717691972306,437.0962138796389,Drip,0.6180218075548025
Uttar Pradesh,Maize,Red Soil,Organic,28.0,28.0,174.0,195.0,28.68,330.1939884073587,7.32,2000,44.25825263954398,488.2345068397836,Sprinkler,3.0823594861708647
Odisha,Soybean,Red Soil,Compost,98.0,99.0,119.0,118.0,19.11,708.1287971917923,6.17,2016,73.69298091671158,501.5027750287097,Flood,6.287015429838278
