State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year
West Bengal,Jute,Sandy,Organic,117,103,177,107,21.49,4789,7.14,2014
Rajasthan,Cotton,Sandy,Organic,64,76,93,150,23.92,1376,5.6,2005
Rajasthan,Soybean,Black,DAP,73,114,122,161,31.28,1490,6.99,2006
Odisha,Maize,Sandy,Compost,60,82,85,222,37.31,1224,7.67,2016
Gujarat,Barley,Loamy,Organic,30,78,131,111,19.01,2341,7.73,2005
Rajasthan,Coffee,Black,NPK,82,70,152,88,35.81,2953,6.62,2007
Kerala,Sugarcane,Clay,Urea,27,50,50,273,29.54,1347,6.65,2011
Bihar,Rice,Red Soil,NPK,98,13,176,107,29.28,4270,5.69,2020
Gujarat,Jute,Red Soil,Organic,69,7,11,293,28.01,1125,7.18,2013
Uttar Pradesh,Groundnut,Black,Organic,23,89,38,258,19.39,2043,7.55,2011
Madhya Pradesh,Jute,Clay,DAP,18,30,114,148,19.8,2655,6.11,2022
West Bengal,Jute,Red Soil,DAP,99,76,60,278,30.02,3318,6.55,2009
Punjab,Pulses,Black,Urea,62,52,84,260,24.82,4022,7.6,2021
Punjab,Tea,Sandy,DAP,139,70,19,241,36.35,1753,7.69,2019
Rajasthan,Wheat,Loamy,Compost,93,74,151,93,26.13,2676,6.11,2014
Haryana,Barley,Clay,Urea,101,32,60,78,20.87,2710,6.88,2006
Madhya Pradesh,Rice,Red Soil,Compost,120,97,127,108,32.29,1236,5.98,2008
Uttar Pradesh,Maize,Loamy,DAP,17,30,130,120,23.87,29515,5.75,2009
Karnataka,Rice,Black,Urea,44,29,48,141,28.51,1135,7.78,2009
Madhya Pradesh,Tea,Red Soil,Organic,90,16,37,58,31.96,1519,7.55,2015
Kerala,Jute,Loamy,NPK,59,9,12,176,36.01,1835,7.4,2006
Odisha,Coffee,Sandy,Organic,113,102,93,269,33.84,2633,5.62,2004
Punjab,Sugarcane,Clay,Compost,11,52,164,183,31.53,1511,7.61,2022
Kerala,Sugarcane,Black,Organic,63,41,126,206,31.59,3302,6.6,2002
Haryana,Soybean,Red Soil,Organic,115,83,11,235,36.92,928,6.36,2017
Odisha,Cotton,Sandy,NPK,13,48,102,194,23.92,1562,6.87,2010
Punjab,Sugarcane,Clay,NPK,63,104,175,193,18.02,1432,5.73,2014
Uttar Pradesh,Pulses,Clay,Organic,53,19,140,264,23.44,3213,7.39,2020
Haryana,Wheat,Sandy,NPK,23,47,153,272,22.36,1664,6.96,2019
Haryana,Maize,Red Soil,Organic,104,52,103,180,31.24,1494,5.97,2004
West Bengal,Coffee,Clay,Urea,57,91,49,70,30.67,1004,5.97,2023
Kerala,Jute,Black,Organic,24,74,11,113,29.87,2774,5.96,2011
Maharashtra,Tea,Loamy,DAP,49,50,90,139,18.32,806,5.64,2003
Kerala,Groundnut,Black,NPK,91,118,178,85,32.58,28097,6.97,2014
Tamil Nadu,Sugarcane,Clay,NPK,120,112,21,283,24.47,1846,7.6,2008
Madhya Pradesh,Coffee,Loamy,Compost,62,47,172,278,31.3,1458,5.54,2006
Bihar,Groundnut,Sandy,Compost,33,113,74,294,29.13,1624,5.62,2009
Madhya Pradesh,Coffee,Loamy,DAP,133,25,64,263,24.85,1664,6.93,2022
Maharashtra,Sugarcane,Loamy,NPK,50,27,54,111,20.69,1649,7.55,2012
Karnataka,Jute,Loamy,NPK,24,111,110,219,19.89,681,6.32,2007
Haryana,Coffee,Clay,Compost,54,84,71,125,34.63,3363,6.37,2011
Punjab,Jute,Red Soil,Compost,74,51,58,219,36.37,1064,6.99,2021
Bihar,Coffee,Clay,Organic,98,19,136,238,31.0,1124,6.19,2023
Karnataka,Pulses,Red Soil,NPK,80,29,162,62,20.07,1704,5.57,2018
West Bengal,Groundnut,Sandy,NPK,18,40,32,60,26.04,2977,7.34,2000
Madhya Pradesh,Cotton,Sandy,Organic,97,79,161,103,32.58,2269,7.06,2015
West Bengal,Jute,Sandy,NPK,138,55,47,65,33.6,1148,6.95,2021
Rajasthan,Maize,Sandy,DAP,72,19,37,57,20.36,4120,7.35,2016
Bihar,Wheat,Sandy,Compost,90,72,30,153,18.0,1758,7.19,2024
Rajasthan,Pulses,Black,Compost,42,25,191,108,32.24,4999,6.01,2017
Andhra Pradesh,Cotton,Clay,Compost,132,17,116,106,25.13,2516,6.38,2010
Gujarat,Wheat,Red Soil,Urea,14,90,155,89,23.09,2572,5.82,2017
West Bengal,Cotton,Sandy,DAP,50,23,173,286,18.26,1292,5.82,2006
Rajasthan,Cotton,Black,DAP,37,38,108,236,28.81,783,7.19,2017
Rajasthan,Cotton,Black,Organic,81,82,182,179,35.02,1195,7.65,2007
Punjab,Soybean,Black,Urea,21,72,128,143,37.15,3047,7.91,2005
Andhra Pradesh,Wheat,Clay,NPK,42,116,82,271,29.31,2194,7.07,2006
Punjab,Cotton,Sandy,DAP,57,56,190,253,28.29,992,5.96,2022
Madhya Pradesh,Barley,Black,Urea,71,114,131,187,19.7,4921,5.76,2021
Odisha,Barley,Black,Urea,46,31,39,93,28.98,2048,7.53,2009
Karnataka,Coffee,Sandy,DAP,108,33,197,188,25.6,2233,6.95,2010
West Bengal,Coffee,Clay,Organic,113,115,117,256,30.14,2704,7.05,2024
Madhya Pradesh,Sugarcane,Black,Urea,44,32,107,129,25.77,57814,7.45,2012
Odisha,Maize,Red Soil,Compost,110,39,41,130,22.81,3923,7.26,2008
Uttar Pradesh,Jute,Loamy,Urea,10,12,165,267,19.9,847,7.59,2006
Haryana,Groundnut,Loamy,NPK,14,20,181,51,24.3,2735,5.64,2008
Uttar Pradesh,Jute,Loamy,DAP,112,110,88,227,19.93,6847,7.37,2012
Punjab,Sugarcane,Clay,NPK,36,40,50,189,21.54,744,7.63,2002
Tamil Nadu,Soybean,Black,Organic,24,34,72,164,37.75,920,6.22,2002
Tamil Nadu,Barley,Loamy,Compost,99,22,32,139,26.88,3202,7.1,2000
Odisha,Wheat,Loamy,DAP,51,6,113,72,28.64,784,6.29,2020
Rajasthan,Maize,Sandy,Urea,133,53,84,195,35.47,64159,7.89,2019
Punjab,Maize,Black,Compost,72,81,57,111,37.91,2005,5.58,2001
Odisha,Coffee,Black,Urea,105,8,169,273,29.65,2717,6.95,2024
West Bengal,Groundnut,Sandy,Organic,61,94,66,162,34.25,1381,5.92,2002
Punjab,Wheat,Black,DAP,105,93,127,177,24.54,1763,7.28,2014
Odisha,Coffee,Red Soil,Organic,38,98,109,111,24.11,2069,5.94,2023
Uttar Pradesh,Tea,Clay,Organic,45,79,133,87,26.05,3174,6.09,2005
Andhra Pradesh,Groundnut,Sandy,Organic,22,11,170,298,31.45,1136,6.74,2012
Punjab,Maize,Loamy,Organic,80,99,161,288,31.64,1487,7.79,2020
Andhra Pradesh,Soybean,Black,Urea,95,112,176,244,24.3,1518,6.03,2000
Haryana,Pulses,Red Soil,NPK,37,78,43,215,20.66,3718,5.86,2019
Haryana,Pulses,Red Soil,Urea,75,43,193,244,30.65,857,7.4,2018
Uttar Pradesh,Barley,Clay,Compost,54,17,165,271,20.57,4443,6.75,2000
Tamil Nadu,Maize,Red Soil,Organic,71,35,174,110,29.57,2773,7.78,2020
Maharashtra,Soybean,Black,Compost,37,75,16,178,31.87,2508,5.87,2021
Kerala,Groundnut,Black,Urea,37,67,174,271,32.01,1158,7.11,2001
Bihar,Soybean,Red Soil,Organic,117,60,65,222,33.07,2828,6.08,2014
Karnataka,Rice,Black,Urea,53,117,74,273,35.46,1846,5.89,2013
Madhya Pradesh,Groundnut,Black,Organic,93,46,56,205,28.0,2130,7.21,2018
Karnataka,Cotton,Loamy,Urea,39,65,157,198,32.6,4647,6.98,2010
Karnataka,Groundnut,Sandy,DAP,84,46,28,171,30.38,1745,7.39,2014
Kerala,Barley,Black,NPK,137,60,166,159,21.73,4142,6.27,2005
Madhya Pradesh,Coffee,Black,NPK,101,40,197,62,18.51,1653,6.62,2019
Kerala,Pulses,Clay,Organic,138,88,155,204,23.69,1091,6.51,2008
Uttar Pradesh,Groundnut,Sandy,DAP,130,72,172,149,26.86,978,7.96,2004
Uttar Pradesh,Coffee,Sandy,Compost,36,11,180,184,30.34,2247,6.23,2019
Kerala,Cotton,Sandy,DAP,130,58,135,71,35.0,2940,6.24,2001
Tamil Nadu,Rice,Red Soil,Organic,125,5,148,123,21.92,2739,6.39,2005
Maharashtra,Jute,Loamy,DAP,12,48,58,280,20.51,3447,6.91,2017
Gujarat,Jute,Loamy,Compost,112,49,122,230,37.27,2559,6.13,2022
Karnataka,Jute,Clay,Organic,71,110,47,256,20.16,935,7.79,2018
Rajasthan,Soybean,Sandy,NPK,60,51,73,256,27.57,2248,6.16,2008
Karnataka,Wheat,Sandy,DAP,68,17,78,181,29.71,1388,7.74,2020
Gujarat,Pulses,Black,NPK,127,26,145,273,28.83,2043,5.76,2023
Punjab,Soybean,Red Soil,NPK,105,25,171,72,19.72,1629,7.14,2005
Tamil Nadu,Rice,Red Soil,Urea,122,90,185,168,19.14,1508,7.77,2013
Andhra Pradesh,Jute,Clay,Compost,71,96,125,119,20.11,1681,5.92,2023
Andhra Pradesh,Wheat,Loamy,DAP,61,13,193,265,29.71,4399,7.92,2012
Gujarat,Maize,Sandy,NPK,21,30,74,133,28.89,691,6.63,2010
Karnataka,Sugarcane,Clay,NPK,48,13,40,299,22.67,1005,7.86,2011
Andhra Pradesh,Barley,Red Soil,Compost,139,19,141,150,30.76,1061,7.19,2018
Gujarat,Soybean,Red Soil,NPK,122,14,122,133,34.4,1608,6.25,2018
Kerala,Coffee,Red Soil,NPK,110,92,118,253,18.83,2639,5.97,2020
Madhya Pradesh,Tea,Sandy,NPK,122,46,187,210,27.96,1556,6.26,2018
Bihar,Wheat,Sandy,NPK,90,76,78,77,31.79,2825,5.73,2023
Uttar Pradesh,Maize,Sandy,Urea,122,28,167,185,23.05,3323,5.86,2012
Odisha,Tea,Black,Urea,11,84,129,50,24.16,799,5.76,2013
Uttar Pradesh,Sugarcane,Loamy,Organic,139,53,97,214,30.27,3238,6.56,2023
Karnataka,Sugarcane,Red Soil,DAP,63,30,196,112,35.96,2877,7.49,2017
Bihar,Pulses,Red Soil,Compost,96,95,76,71,34.2,3594,5.85,2011
Gujarat,Tea,Black,Organic,138,41,84,119,29.66,1828,5.83,2003
Punjab,Pulses,Red Soil,Urea,135,72,54,174,32.6,2147,7.11,2009
Andhra Pradesh,Pulses,Red Soil,Urea,139,54,13,198,25.3,2904,5.99,2016
Bihar,Pulses,Sandy,Urea,62,28,163,145,30.82,2061,5.74,2003
Andhra Pradesh,Jute,Sandy,Organic,77,23,164,212,27.32,829,5.92,2011
Andhra Pradesh,Pulses,Loamy,Urea,132,104,183,128,21.8,1091,7.81,2012
West Bengal,Maize,Red Soil,Organic,47,64,116,54,32.03,1843,7.55,2003
Gujarat,Barley,Clay,Urea,33,43,60,109,29.13,4336,6.39,2009
Uttar Pradesh,Groundnut,Red Soil,NPK,78,78,59,169,25.17,2489,7.14,2024
Punjab,Maize,Red Soil,NPK,125,93,15,95,36.23,81003,6.84,2002
West Bengal,Rice,Loamy,DAP,107,22,68,227,18.42,1317,7.19,2014
Gujarat,Pulses,Clay,Urea,106,23,134,225,24.32,1347,7.21,2001
Karnataka,Wheat,Red Soil,DAP,133,40,152,183,19.14,1641,7.07,2024
Tamil Nadu,Wheat,Clay,Organic,79,78,39,266,33.33,1712,6.17,2024
Karnataka,Tea,Sandy,DAP,102,101,179,105,32.04,1653,5.6,2016
Odisha,Coffee,Sandy,Urea,12,59,131,159,24.63,1675,6.64,2005
Haryana,Tea,Clay,Organic,99,118,134,236,31.51,840,7.73,2007
Tamil Nadu,Rice,Red Soil,Organic,105,73,46,297,25.92,847,6.92,2002
Karnataka,Coffee,Clay,NPK,61,51,179,281,33.13,1436,7.58,2024
Haryana,Maize,Clay,Organic,137,53,133,206,27.08,1006,7.98,2017
Punjab,Coffee,Sandy,Organic,48,103,110,248,26.25,1666,5.91,2021
Bihar,Wheat,Clay,DAP,91,112,44,153,36.69,2836,7.23,2000
Maharashtra,Cotton,Black,Organic,113,102,96,126,23.02,3521,7.19,2015
Maharashtra,Jute,Black,Compost,138,37,143,279,20.41,2825,7.95,2006
Maharashtra,Jute,Sandy,NPK,20,25,27,195,29.69,1902,7.96,2002
Haryana,Cotton,Red Soil,NPK,51,85,122,51,37.39,2563,7.22,2022
Bihar,Jute,Red Soil,Organic,108,26,38,57,25.56,71416,6.11,2003
Odisha,Groundnut,Sandy,DAP,16,52,86,124,19.24,1710,7.5,2008
Odisha,Cotton,Red Soil,NPK,99,41,68,274,24.79,2588,5.77,2004
Maharashtra,Soybean,Loamy,NPK,121,19,184,231,28.12,1592,7.45,2018
Madhya Pradesh,Pulses,Black,Compost,69,39,135,174,21.24,843,7.78,2014
Andhra Pradesh,Jute,Loamy,Organic,122,96,154,87,31.16,1556,6.46,2007
Kerala,Rice,Loamy,NPK,11,75,118,225,37.95,789,7.08,2005
Tamil Nadu,Tea,Loamy,NPK,138,36,31,76,27.03,1511,6.58,2017
Tamil Nadu,Soybean,Sandy,NPK,57,15,77,69,25.09,2280,6.59,2018
Andhra Pradesh,Barley,Loamy,NPK,46,14,78,189,26.01,2156,6.28,2023
Uttar Pradesh,Pulses,Clay,DAP,18,77,174,92,20.3,1903,7.41,2014
Madhya Pradesh,Wheat,Red Soil,Urea,108,82,58,238,35.67,1719,7.84,2006
Maharashtra,Pulses,Sandy,Compost,57,81,150,80,26.3,2192,7.85,2009
Andhra Pradesh,Jute,Clay,DAP,63,61,171,140,25.75,2577,5.94,2005
Gujarat,Tea,Clay,Compost,129,29,118,273,31.19,1519,7.69,2013
Tamil Nadu,Sugarcane,Black,NPK,125,6,95,110,26.84,1001,7.34,2016
Gujarat,Coffee,Black,Compost,84,68,62,251,30.96,2236,6.13,2008
Andhra Pradesh,Coffee,Clay,Organic,122,39,132,244,19.23,1078,5.67,2018
Andhra Pradesh,Sugarcane,Black,Organic,113,11,96,158,34.27,1167,6.17,2004
Karnataka,Soybean,Red Soil,Urea,93,89,188,140,36.81,3010,7.78,2022
Karnataka,Maize,Red Soil,Urea,121,22,140,212,30.98,2198,7.08,2006
Punjab,Wheat,Black,Compost,108,71,51,144,37.09,3936,7.3,2018
Kerala,Tea,Loamy,DAP,102,46,107,192,21.03,3268,6.14,2019
Haryana,Tea,Clay,DAP,137,43,169,193,27.55,1907,7.3,2006
Punjab,Tea,Red Soil,NPK,119,45,118,62,30.04,3049,5.57,2023
Odisha,Coffee,Black,DAP,91,117,60,162,29.63,1051,6.44,2001
West Bengal,Jute,Black,Urea,63,79,94,84,26.03,1731,7.07,2024
Odisha,Cotton,Red Soil,DAP,77,107,183,293,24.76,1944,5.87,2022
Maharashtra,Tea,Red Soil,NPK,42,28,136,252,20.54,1603,7.56,2015
Bihar,Sugarcane,Loamy,Organic,30,64,30,236,25.83,2942,6.09,2012
Karnataka,Barley,Black,DAP,57,50,53,198,21.25,2273,7.13,2007
Maharashtra,Rice,Black,DAP,137,23,148,292,32.69,2235,6.51,2005
Andhra Pradesh,Pulses,Sandy,Urea,137,72,112,231,22.18,4224,6.99,2005
Maharashtra,Rice,Loamy,Compost,42,94,77,252,19.17,1912,5.77,2008
Andhra Pradesh,Sugarcane,Red Soil,Organic,124,106,138,207,29.05,3376,5.54,2003
Tamil Nadu,Sugarcane,Red Soil,Compost,128,46,101,97,29.9,3433,7.77,2010
Karnataka,Barley,Clay,NPK,31,36,33,294,35.44,2738,6.17,2004
Bihar,Groundnut,Red Soil,NPK,47,43,134,84,29.54,4130,7.55,2024
Punjab,Soybean,Black,Compost,118,113,150,135,24.91,2064,8.0,2016
Maharashtra,Cotton,Red Soil,Urea,60,114,120,215,34.06,2289,6.03,2019
Karnataka,Jute,Black,Urea,17,40,107,208,28.81,1350,6.16,2006
Bihar,Maize,Black,Urea,36,108,148,255,19.59,1536,7.16,2014
Haryana,Tea,Loamy,Organic,36,105,188,201,29.32,2217,7.91,2024
Haryana,Tea,Red Soil,NPK,30,101,26,163,36.16,1614,7.79,2014
Tamil Nadu,Jute,Loamy,NPK,39,40,108,226,25.93,2448,6.76,2013
Gujarat,Barley,Black,NPK,106,7,91,273,23.93,1950,7.49,2012
Punjab,Groundnut,Red Soil,Organic,37,77,113,149,20.87,3436,5.84,2010
Madhya Pradesh,Tea,Red Soil,NPK,120,12,161,209,21.03,1867,7.94,2012
Rajasthan,Cotton,Loamy,Compost,70,101,28,232,26.66,3241,7.91,2021
Karnataka,Coffee,Loamy,DAP,57,74,174,256,29.91,875,5.91,2023
Uttar Pradesh,Soybean,Black,Organic,13,45,94,284,19.61,1281,6.25,2008
Karnataka,Cotton,Black,DAP,44,107,17,235,36.79,2228,5.75,2009
Bihar,Groundnut,Red Soil,Compost,58,72,37,148,33.1,1515,6.18,2003
Kerala,Sugarcane,Red Soil,Urea,26,17,14,52,29.73,1895,7.54,2016
Andhra Pradesh,Cotton,Sandy,Urea,55,53,154,257,34.57,1810,6.45,2013
Madhya Pradesh,Rice,Sandy,Urea,126,64,110,246,19.6,1788,5.72,2023
Uttar Pradesh,Cotton,Clay,Organic,15,6,173,134,27.54,878,6.36,2017
Maharashtra,Sugarcane,Black,Urea,108,64,127,174,30.6,2082,7.95,2010
Tamil Nadu,Tea,Clay,Organic,133,9,156,187,34.57,4515,7.07,2015
Haryana,Pulses,Clay,Organic,46,48,73,132,33.67,1991,6.54,2000
Uttar Pradesh,Pulses,Loamy,DAP,33,31,100,74,23.54,1981,5.92,2006
Bihar,Pulses,Loamy,Urea,102,36,126,117,36.82,4754,7.97,2009
Maharashtra,Tea,Sandy,NPK,55,25,107,110,20.49,6656,7.55,2008
Haryana,Barley,Clay,Urea,104,12,20,78,35.5,1176,6.2,2024
Maharashtra,Soybean,Sandy,Urea,108,106,63,176,37.42,4977,5.68,2002
Haryana,Jute,Black,Urea,125,76,182,68,21.54,1818,5.64,2021
Maharashtra,Soybean,Red Soil,NPK,76,54,56,220,32.44,1034,5.8,2022
Andhra Pradesh,Tea,Loamy,NPK,137,71,149,243,18.81,2941,6.95,2013
Uttar Pradesh,Cotton,Black,Organic,27,48,158,123,26.11,975,7.82,2024
Bihar,Coffee,Black,NPK,34,62,148,110,28.33,1737,6.74,2014
Odisha,Maize,Loamy,Organic,63,7,14,220,29.61,1626,7.61,2001
Tamil Nadu,Soybean,Loamy,DAP,67,90,193,202,36.72,2005,6.61,2023
Gujarat,Rice,Clay,Organic,76,74,29,69,31.45,957,7.27,2013
Karnataka,Rice,Sandy,Urea,113,6,178,97,27.63,870,7.33,2015
Bihar,Wheat,Black,Compost,33,91,55,260,34.19,2918,5.93,2006
Andhra Pradesh,Coffee,Clay,Compost,123,48,21,136,37.01,3579,6.4,2003
Punjab,Rice,Clay,Urea,41,6,79,201,18.44,3724,7.09,2017
Gujarat,Jute,Black,Organic,95,106,26,188,37.65,830,5.68,2023
Tamil Nadu,Soybean,Black,Urea,136,85,124,159,19.72,1353,6.4,2004
Andhra Pradesh,Coffee,Red Soil,NPK,139,39,156,275,34.29,6048,6.84,2005
Kerala,Coffee,Sandy,Organic,26,102,163,232,23.61,1205,7.99,2006
Gujarat,Maize,Black,Urea,113,91,57,77,20.64,822,6.69,2014
Karnataka,Sugarcane,Loamy,NPK,52,34,117,246,26.8,1471,7.54,2000
Maharashtra,Pulses,Red Soil,NPK,48,12,61,240,30.88,680,6.58,2023
Haryana,Cotton,Sandy,Organic,35,26,105,108,25.62,777,7.49,2003
Madhya Pradesh,Sugarcane,Loamy,DAP,108,48,79,182,19.09,1413,6.99,2024
Maharashtra,Maize,Loamy,DAP,59,62,192,100,29.99,1440,7.72,2000
Tamil Nadu,Barley,Sandy,NPK,22,40,111,198,36.05,756,6.53,2010
Karnataka,Pulses,Red Soil,DAP,69,73,84,61,25.66,3704,7.01,2017
Kerala,Coffee,Loamy,NPK,66,81,170,99,22.33,1537,7.08,2013
Gujarat,Wheat,Clay,DAP,45,97,199,181,26.85,1594,6.54,2021
West Bengal,Barley,Sandy,NPK,29,35,160,295,18.97,1540,5.86,2010
Rajasthan,Soybean,Sandy,NPK,74,51,152,162,34.41,1899,5.73,2009
West Bengal,Coffee,Black,NPK,17,59,164,219,34.53,4875,5.54,2016
Kerala,Maize,Red Soil,NPK,124,84,188,261,29.76,2612,7.68,2003
Madhya Pradesh,Pulses,Clay,Compost,101,110,190,215,25.06,1985,6.09,2023
Maharashtra,Coffee,Clay,DAP,107,66,91,202,34.0,1069,6.03,2014
Odisha,Coffee,Black,NPK,75,34,101,63,29.09,1234,7.34,2015
Gujarat,Wheat,Loamy,Urea,41,59,188,252,34.52,1577,6.3,2020
Maharashtra,Cotton,Loamy,Organic,95,20,184,81,30.63,1524,6.77,2012
Gujarat,Coffee,Clay,Urea,60,16,13,188,33.69,2557,5.91,2008
Madhya Pradesh,Cotton,Red Soil,Urea,72,21,144,238,29.97,39186,7.9,2010
Tamil Nadu,Tea,Loamy,Compost,134,20,118,195,26.28,3047,7.63,2010
West Bengal,Soybean,Sandy,DAP,67,16,172,204,37.16,1689,7.66,2005
Bihar,Rice,Black,Compost,67,12,57,104,28.82,975,6.52,2000
Punjab,Maize,Red Soil,DAP,95,88,82,231,30.1,2006,7.41,2021
Maharashtra,Wheat,Loamy,NPK,58,7,81,259,22.41,1682,5.86,2005
Bihar,Wheat,Clay,Compost,79,20,125,169,30.51,1284,5.52,2012
West Bengal,Rice,Black,Organic,24,34,182,264,29.43,1499,5.55,2021
Gujarat,Rice,Loamy,DAP,63,113,90,124,21.7,3296,6.97,2023
Punjab,Barley,Clay,Compost,110,27,90,70,19.19,4714,6.64,2021
West Bengal,Pulses,Loamy,Organic,17,96,122,221,30.09,2027,6.8,2004
Punjab,Barley,Black,Urea,62,119,105,182,33.27,3129,5.52,2014
Kerala,Groundnut,Sandy,NPK,69,108,81,136,28.47,2780,6.56,2017
Odisha,Groundnut,Sandy,NPK,117,9,156,218,22.54,3290,7.3,2019
Haryana,Soybean,Clay,Urea,14,88,72,108,31.33,1806,6.61,2013
Punjab,Tea,Sandy,Compost,112,108,47,138,19.6,2901,7.33,2014
Bihar,Maize,Black,Urea,15,112,76,282,26.84,2411,6.08,2004
West Bengal,Wheat,Clay,Organic,118,69,196,231,21.27,1289,7.53,2003
Kerala,Coffee,Loamy,DAP,125,34,78,251,21.69,2913,6.97,2001
Madhya Pradesh,Pulses,Red Soil,Compost,103,25,22,199,22.05,1376,6.03,2006
Karnataka,Cotton,Loamy,DAP,56,88,184,132,25.73,4422,6.09,2009
Punjab,Coffee,Black,Urea,108,74,198,114,19.02,1256,7.07,2015
Rajasthan,Cotton,Clay,NPK,64,26,40,113,25.96,1465,7.57,2009
Gujarat,Sugarcane,Loamy,DAP,61,86,123,120,28.23,1221,6.54,2017
Punjab,Rice,Clay,DAP,22,76,31,53,27.67,4711,6.15,2016
Uttar Pradesh,Soybean,Sandy,NPK,123,107,102,242,25.66,4399,7.67,2020
Karnataka,Sugarcane,Red Soil,DAP,133,36,180,192,34.78,2021,7.17,2012
Andhra Pradesh,Sugarcane,Black,DAP,115,37,76,153,20.91,1372,6.62,2000
Karnataka,Tea,Loamy,NPK,129,20,63,253,28.11,2260,6.72,2000
Tamil Nadu,Maize,Red Soil,NPK,72,80,147,199,19.24,1251,6.01,2014
Andhra Pradesh,Wheat,Black,Urea,28,42,51,263,19.42,1587,7.07,2000
Odisha,Jute,Black,Urea,101,102,73,291,29.48,61879,6.4,2005
West Bengal,Pulses,Sandy,DAP,67,18,135,224,29.32,1598,7.99,2024
Kerala,Jute,Clay,Compost,99,40,30,258,35.56,1986,6.7,2012
Karnataka,Coffee,Clay,Urea,126,101,178,142,29.16,2710,6.71,2000
Haryana,Cotton,Red Soil,Urea,71,27,161,223,37.2,2744,6.91,2004
Tamil Nadu,Cotton,Sandy,Compost,32,118,44,191,18.97,1487,7.79,2008
West Bengal,Cotton,Black,Compost,136,113,193,227,19.96,1344,7.5,2024
Karnataka,Groundnut,Sandy,NPK,138,70,39,197,18.88,2739,6.63,2016
Punjab,Maize,Sandy,Urea,67,109,66,227,21.71,1869,7.3,2015
Haryana,Soybean,Red Soil,Organic,131,89,56,161,28.83,2947,6.97,2007
Maharashtra,Coffee,Clay,Organic,10,6,172,210,30.91,1334,6.73,2016
Maharashtra,Cotton,Sandy,DAP,43,95,28,168,18.91,1570,5.98,2014
Tamil Nadu,Tea,Sandy,Urea,105,77,123,108,36.92,3059,6.66,2023
Haryana,Cotton,Sandy,Organic,135,69,17,92,34.84,1515,6.11,2000
Kerala,Jute,Loamy,Urea,127,79,35,256,23.93,509,7.79,2011
Haryana,Soybean,Sandy,Urea,57,71,122,61,19.54,2918,6.34,2004
Karnataka,Groundnut,Sandy,Organic,98,56,80,89,21.4,2350,7.88,2023
Tamil Nadu,Tea,Black,Urea,126,66,39,167,20.54,62860,6.83,2005
Odisha,Sugarcane,Loamy,Compost,138,27,144,69,20.47,4760,7.08,2024
Maharashtra,Soybean,Sandy,DAP,25,30,76,271,28.37,1097,6.86,2000
Bihar,Sugarcane,Sandy,NPK,78,72,74,215,22.92,2015,5.82,2024
Uttar Pradesh,Rice,Red Soil,Organic,31,86,45,180,25.16,1851,6.44,2000
Bihar,Barley,Red Soil,NPK,102,59,34,205,37.79,801,5.75,2009
Andhra Pradesh,Cotton,Loamy,DAP,85,10,46,233,31.69,1701,7.06,2009
